sample,r,q,p,status,max_eig,break_date,design,placebo_type,instrument_free,n_C,n_NC,lambda_1,lambda_1_lo,lambda_1_hi,lambda_min,rank1_share,eig_gap,ratio_dir,p_placebo,prop_LR,prop_p_chi2,prop_p_boot,sys_min_rel_gap,p_placebo_holm,prop_p_holm,passes_cell,n_windows,replicates,verdict
full,5,5,5,ok,0.9694928451005014,NA,calendario,permute,TRUE,98,50,4.684104671773107,1.9311507737997204,10.769108777202597,-6.14202015674064,0.34939636183756795,3.481804474834156,1.8919121654488562,0.2677322677322677,34.74819798264816,0.0016014932277685883,0.13972055888223553,0.2819301376772104,1,1,FALSE,NA,FALSE,fails
full,5,5,5,ok,0.9694928451005014,NA,episodio_s2,rotate,TRUE,69,79,3.5679275770904084,2.1968826221355644,13.229225992115822,-1.1321702830770528,0.39065956459545287,1.6565583697128625,1.9260012724993822,0.48151848151848153,20.82270589272834,0.10626291714234103,0.5548902195608783,0.07374105649026945,1,1,FALSE,NA,FALSE,fails
full,5,5,5,ok,0.9694928451005014,NA,intensidade_z,permute,FALSE,49,99,4.095449152982744,2.048873689004348,9.038871181494798,-4.144322051386792,0.39131897245782316,5.40556934865172,2.223512764818566,0.5474525474525475,49.28920400760487,8.027339054626885e-6,0.00998003992015968,0.1813478905240977,1,1,FALSE,NA,FALSE,fails
full,5,5,5,ok,0.9694928451005014,NA,volatilidade_juros,permute,TRUE,37,111,8.902164148487062,3.1241954133911207,26.98899390202871,-1.0424120654194597,0.48990163935343833,1.4979068437805878,2.7855924266421677,0.14385614385614387,29.02806152889988,0.010359387223747176,0.405189620758483,0.12571614507026022,1,1,FALSE,NA,FALSE,fails
full,5,5,5,ok,0.9694928451005014,2017-12-01,quebra_livre,rotate,TRUE,94,54,4.18550486367964,2.601315250717442,12.185032760325644,-0.7056543634326771,0.4832011495541002,1.5543755016997192,1.9880127665290315,0.3256743256743257,23.586808808796203,0.05136643119254134,0.44510978043912175,0.21507022528203393,1,1,FALSE,NA,FALSE,fails
full,5,5,6,ok,0.9648576865195531,NA,calendario,permute,TRUE,98,49,4.78747705777104,1.8393604077606862,10.887541717801946,-6.008135879286181,0.3535755200938623,3.9956593542908125,2.0071449902814353,0.2217782217782218,34.541154201665265,0.0017180189753225727,0.12574850299401197,0.16757902406504294,1,1,FALSE,NA,FALSE,fails
full,5,5,6,ok,0.9648576865195531,NA,episodio_s2,rotate,TRUE,69,78,3.5655543965826872,2.376773846080807,13.437675544128123,-1.1997287464085788,0.3757961448298006,1.5202402711904595,2.0785400310364945,0.46653346653346656,22.603711319921196,0.06703143882060014,0.469061876247505,0.1380473560344152,1,1,FALSE,NA,FALSE,fails
full,5,5,6,ok,0.9648576865195531,NA,intensidade_z,permute,FALSE,49,98,3.9850037489096914,1.8193499186396604,8.688107014890901,-4.389378412788618,0.40569998029640775,8.717987218956575,2.185707825846334,0.5084915084915085,47.373232957342225,1.6684831394434778e-5,0.021956087824351298,0.13715501064066785,1,1,FALSE,NA,FALSE,fails
full,5,5,6,ok,0.9648576865195531,NA,volatilidade_juros,permute,TRUE,37,110,8.744167248468589,3.105634788575417,25.287968711995465,-1.063541771002916,0.48177222309172096,1.4571964108454813,2.6658922788764734,0.16383616383616384,27.116932498231794,0.018590552707752818,0.41317365269461076,0.10371114573182917,1,1,FALSE,NA,FALSE,fails
full,5,5,6,ok,0.9648576865195531,2020-03-01,quebra_livre,rotate,TRUE,67,80,3.826324727146968,2.303647300236328,13.713097072062585,-1.3471999934348111,0.3831802484134993,1.4093693457127563,2.0930957863153803,0.4385614385614386,20.636504129061176,0.11131685626371796,0.6007984031936128,0.1412483042921539,1,1,FALSE,NA,FALSE,fails
