group,n_var,sig90_proxy,sig90_gmr,sign_agree_h0_12,sign_agree_sig90,median_cor_path,median_band_ratio90
fora_do_ruler,53,98,0,0.6168359941944848,0.703042328042328,0.7955539162522247,4.252391243299991
curva_juros,7,81,6,1,1,0.9241612388810403,NA
credito_setorial,5,43,0,1,1,0.9128427763878134,4.991885259576379
expectativas,4,37,0,1,1,0.9382036044174302,4.662848696669675
risco_cambio_soft,4,27,0,0.8653846153846154,0.9375,0.9112464071210331,4.157358466750065
credito,4,20,0,0.9038461538461539,1,0.8934708822644428,4.601545599858246
atividade,9,13,0,0.3418803418803419,0.4,0.29698889262078143,4.226737474648652
fiscal,3,12,0,1,1,0.9282846835071865,4.606541332359955
trabalho,3,6,0,0.6923076923076923,0.6666666666666666,0.9470577288239097,4.495767300802849
commodity_domestica,1,5,0,1,1,0.9302202553729091,4.385695462790427
precos_ambiguos,2,4,0,0.8461538461538463,1,0.9369197928540615,4.351689407560067
precos,6,3,0,0.858974358974359,1,0.8822378070408419,4.612954721312544
acoes,5,2,0,0.8,1,0.8687878847412733,4.281459029255952
acoes_ambiguas,2,0,0,0.7692307692307692,NA,0.7558202803939131,4.5098208663585275
placebo_externas,3,0,0,0.6666666666666666,NA,0.718708919902612,3.9197493664317538
