subset,cond,hwin,n,sign_agree,coverage90,median_ratio,iqr_lo,iqr_hi
headline_8,incondicional,h0,8,0.75,1,0.7959483142355175,0.16799043360787802,0.9501397523566136
headline_8,incondicional,h0_6,56,0.8928571428571429,1,0.854185361541548,0.3978064245543761,1.0799090902331834
headline_8,incondicional,h0_12,104,0.9423076923076923,1,1.0622059964196828,0.6882458370690524,1.8208421293129593
headline_8,incondicional,h13_24,96,0.4479166666666667,1,-0.10793243831574034,-1.6137661786720798,2.8659376006471025
headline_8,incondicional,h25_48,192,0.15104166666666666,1,-0.12766716489540006,-0.30858900837134245,-0.04625190459193663
headline_8,incondicional,all,392,0.4336734693877551,1,-0.05217599586939759,-0.2945332496495866,0.8801129785254063
headline_8,proxy_sig90,h0,6,1,1,0.86798993397111,0.7926923722865753,0.9833799174522045
headline_8,proxy_sig90,h0_6,40,1,1,0.8506763059987873,0.46229597779161546,1.0305204663276473
headline_8,proxy_sig90,h0_12,54,1,1,0.946027608740211,0.5849763204871412,1.2810763357676591
headline_8,proxy_sig90,h13_24,0,NA,NA,NA,NA,NA
headline_8,proxy_sig90,h25_48,0,NA,NA,NA,NA,NA
headline_8,proxy_sig90,all,54,1,1,0.946027608740211,0.5849763204871412,1.2810763357676591
headline_8,proxy_sig68_only,h0,1,0,1,-0.6864507877566581,-0.6864507877566581,-0.6864507877566581
headline_8,proxy_sig68_only,h0_6,3,0.6666666666666666,1,0.889018903102177,0.10128405767275944,0.9043881407946821
headline_8,proxy_sig68_only,h0_12,15,0.9333333333333333,1,0.9445569517084761,0.8085129187804561,1.981023896553895
headline_8,proxy_sig68_only,h13_24,12,1,1,2.6122827431724795,0.3371194167901995,2.913240420798491
headline_8,proxy_sig68_only,h25_48,32,0.15625,1,-0.06765849935151322,-0.09195207216207352,-0.04136440697281958
headline_8,proxy_sig68_only,all,59,0.5254237288135594,1,0.25785152527394634,-0.07286186815349784,1.3662337036728915
coherence_53,incondicional,h0,58,0.6551724137931034,1,0.7959483142355175,-0.7898699575966466,1.048022567704103
coherence_53,incondicional,h0_6,406,0.7635467980295566,1,0.95818737297567,0.19657415447010307,1.4828477716935229
coherence_53,incondicional,h0_12,754,0.8037135278514589,1,1.289458248213792,0.491735614660704,1.9722246136737147
coherence_53,incondicional,h13_24,696,0.5545977011494253,1,0.3323486733102091,-1.2071806201004045,2.798170166980784
coherence_53,incondicional,h25_48,1392,0.23275862068965517,1,-0.1285228483509815,-0.3810651455172901,-0.016291265236491884
coherence_53,incondicional,all,2842,0.4630541871921182,1,-0.046442343424947435,-0.3811850482923305,1.2498368761588823
coherence_53,proxy_sig90,h0,32,0.875,1,0.851984749819206,0.5620879190732354,0.9901199603629529
coherence_53,proxy_sig90,h0_6,179,0.9720670391061452,1,0.934686829329553,0.6751533574932442,1.1546147895296786
coherence_53,proxy_sig90,h0_12,243,0.9794238683127572,1,1.0536770910074187,0.7570157171796843,1.416925857406913
coherence_53,proxy_sig90,h13_24,8,1,1,0.39841358582414205,0.28865465846462346,0.43195762908721136
coherence_53,proxy_sig90,h25_48,2,1,1,0.4101821144376506,0.380509805943436,0.4398544229318653
coherence_53,proxy_sig90,all,253,0.9802371541501976,1,1.0300721482489246,0.7158957226564173,1.413675318004827
coherence_53,proxy_sig68_only,h0,10,0.1,1,-0.6369709215964197,-1.0446992815321083,-0.4663716902832754
coherence_53,proxy_sig68_only,h0_6,56,0.5714285714285714,1,0.8577293674597869,-0.5394944410534007,1.4754635324014118
coherence_53,proxy_sig68_only,h0_12,146,0.8287671232876712,1,1.5935292763824982,0.898990139979184,1.9416106476546027
coherence_53,proxy_sig68_only,h13_24,161,0.9565217391304348,1,0.7890301203671726,0.3362607300736195,2.310849052338591
