coluna,group,n_sig90,agree
1,acoes,4,1
1,acoes_ambiguas,0,NA
1,atividade,13,0.7692307692307693
1,commodity_domestica,5,1
1,credito,20,1
1,credito_setorial,43,1
1,curva_juros,81,1
1,expectativas,37,1
1,fiscal,12,1
1,placebo_externas,0,NA
1,precos,3,1
1,precos_ambiguos,4,1
1,risco_cambio_soft,27,0.9629629629629629
1,trabalho,6,0.8333333333333334
2,acoes,4,0
2,acoes_ambiguas,0,NA
2,atividade,13,0.6923076923076923
2,commodity_domestica,5,0
2,credito,20,0.55
2,credito_setorial,43,0
2,curva_juros,81,0.41975308641975306
2,expectativas,37,0.5135135135135135
2,fiscal,12,0.6666666666666666
2,placebo_externas,0,NA
2,precos,3,0
2,precos_ambiguos,4,0
2,risco_cambio_soft,27,0
2,trabalho,6,0.8333333333333334
3,acoes,4,0
3,acoes_ambiguas,0,NA
3,atividade,13,0.8461538461538461
3,commodity_domestica,5,0.6
3,credito,20,1
3,credito_setorial,43,0.813953488372093
3,curva_juros,81,0.9506172839506173
3,expectativas,37,0.7027027027027027
3,fiscal,12,0.75
3,placebo_externas,0,NA
3,precos,3,1
3,precos_ambiguos,4,0.25
3,risco_cambio_soft,27,0.18518518518518517
3,trabalho,6,0.6666666666666666
4,acoes,4,1
4,acoes_ambiguas,0,NA
4,atividade,13,1
4,commodity_domestica,5,1
4,credito,20,0.6
4,credito_setorial,43,0.9534883720930233
4,curva_juros,81,0.6790123456790124
4,expectativas,37,0.6486486486486487
4,fiscal,12,0.8333333333333334
4,placebo_externas,0,NA
4,precos,3,0.3333333333333333
4,precos_ambiguos,4,1
4,risco_cambio_soft,27,1
4,trabalho,6,1
5,acoes,4,1
5,acoes_ambiguas,0,NA
5,atividade,13,0.38461538461538464
5,commodity_domestica,5,0.2
5,credito,20,0.65
5,credito_setorial,43,0.046511627906976744
5,curva_juros,81,0.48148148148148145
5,expectativas,37,0.5135135135135135
5,fiscal,12,0.5833333333333334
5,placebo_externas,0,NA
5,precos,3,0
5,precos_ambiguos,4,0.25
5,risco_cambio_soft,27,0
5,trabalho,6,0.8333333333333334
