tipo,estatistica,linha,valor
nulo,sig90,5%,0.32847025495750715
nulo,sig90,50%,0.774787535410765
nulo,sig90,95%,0.9915014164305949
nulo,curva,5%,0.3188405797101449
nulo,curva,50%,0.9130434782608695
nulo,curva,95%,1
nulo,sem_curva,5%,0.3204225352112676
nulo,sem_curva,50%,0.7605633802816901
nulo,sem_curva,95%,0.9894366197183099
nulo,log_razao,5%,0.04283510386466138
nulo,log_razao,50%,0.5216098519329191
nulo,log_razao,95%,2.633307247206409
nulo,cos_proxy,5%,0.04818000306126566
nulo,cos_proxy,50%,0.43018865552917185
nulo,cos_proxy,95%,0.8296414335596554
coluna,sig90,col1,0.9631728045325779
coluna,sig90,col2,0.32011331444759206
coluna,sig90,col3,0.7110481586402266
coluna,sig90,col4,0.8413597733711048
coluna,sig90,col5,0.3314447592067989
coluna,curva,col1,1
coluna,curva,col2,0.3188405797101449
coluna,curva,col3,0.9420289855072463
coluna,curva,col4,0.7246376811594203
coluna,curva,col5,0.4057971014492754
coluna,sem_curva,col1,0.954225352112676
coluna,sem_curva,col2,0.3204225352112676
coluna,sem_curva,col3,0.6549295774647887
coluna,sem_curva,col4,0.8697183098591549
coluna,sem_curva,col5,0.31338028169014087
coluna,log_razao,col1,0.07076642809788225
coluna,log_razao,col2,2.189364765147497
coluna,log_razao,col3,0.2631789021587013
coluna,log_razao,col4,0.12498448500060515
coluna,log_razao,col5,0.4635786152044641
coluna,cos_proxy,col1,0.7045217339731465
coluna,cos_proxy,col2,0.5714383116935507
coluna,cos_proxy,col3,0.23867647526430247
coluna,cos_proxy,col4,0.7812798183086552
coluna,cos_proxy,col5,0.1452732131924791
p_valor,sig90,col1,0.1485
p_valor,sig90,col2,0.9535
p_valor,sig90,col3,0.587
p_valor,sig90,col4,0.3925
p_valor,sig90,col5,0.948
p_valor,curva,col1,0.3865
p_valor,curva,col2,0.9505
p_valor,curva,col3,0.473
p_valor,curva,col4,0.711
p_valor,curva,col5,0.905
p_valor,sem_curva,col1,0.152
p_valor,sem_curva,col2,0.951
p_valor,sem_curva,col3,0.63
p_valor,sem_curva,col4,0.3255
p_valor,sem_curva,col5,0.9565
p_valor,log_razao,col1,0.087
p_valor,log_razao,col2,0.9215
p_valor,log_razao,col3,0.287
p_valor,log_razao,col4,0.1455
p_valor,log_razao,col5,0.458
p_valor,cos_proxy,col1,0.1775
p_valor,cos_proxy,col2,0.3425
p_valor,cos_proxy,col3,0.728
p_valor,cos_proxy,col4,0.097
p_valor,cos_proxy,col5,0.8355
