q,variant,f_factor,impact_mp,sign_mp,n_obs
2,z_jk_purif,10.171455947714543,3.511073727827934e-5,1,147
3,z_jk_purif,10.171455947714543,3.8049121979138556e-5,1,147
4,z_jk_purif,10.171455947714543,6.555984645164304e-5,1,147
6,z_jk_purif,10.171455947714543,6.164096550730417e-5,1,147
2,z_jk,8.407040573489137,3.297015134599371e-5,1,147
3,z_jk,8.407040573489137,3.608580121165933e-5,1,147
4,z_jk,8.407040573489137,6.552025683745943e-5,1,147
6,z_jk,8.407040573489137,6.220290506149077e-5,1,147
4,z_het_jk,6.891324973807197,0.0010979541408787249,1,147
6,z_het_jk,6.891324973807197,0.0011391595839186518,1,147
2,z_bruto_purif,5.101613144312478,1.1801334094129645e-5,1,147
3,z_bruto_purif,5.101613144312478,1.4600401397368088e-5,1,147
4,z_bruto_purif,5.101613144312478,4.540390611086178e-5,1,147
6,z_bruto_purif,5.101613144312478,4.567845978268661e-5,1,147
4,z_bruto,4.186266226912522,4.684964358750502e-5,1,147
6,z_bruto,4.186266226912522,4.7282762294029134e-5,1,147
2,z_bruto,3.9947444844802744,1.1231445796125463e-5,1,147
3,z_bruto,3.9947444844802744,1.4037429682614165e-5,1,147
3,z_het_jk,3.917337365443253,3.923994519896263e-4,1,147
2,z_het,3.070562660851691,1.1391183144244835e-4,1,147
3,z_het,3.070562660851691,1.3866181680642335e-4,1,147
4,z_het,3.070562660851691,3.159323781612868e-4,1,147
6,z_het,3.070562660851691,2.887740009567056e-4,1,147
4,z_het_jk_3var,2.7415999056222926,5.959930889468097e-4,1,147
6,z_het_jk_3var,2.7415999056222926,6.150751057693504e-4,1,147
3,z_het_jk_3var,1.8095419563469541,1.3853022300438573e-4,1,147
2,z_het_jk_3var,1.2551125613960579,9.503872807838731e-5,1,147
2,z_het_jk,1.2044891168749519,3.2972932123531565e-4,1,147
2,z_het_3var,1.1144877460731129,-1.0022565237391561e-4,-1,147
3,z_het_3var,1.1144877460731129,-7.617369210366206e-5,-1,147
4,z_het_3var,1.1144877460731129,8.788027320227182e-5,1,147
6,z_het_3var,1.1144877460731129,8.722874597423009e-5,1,147
