variant,candidate,n,beta,se,F_partial,r2
z_het,juros_selic,150,0.02083465801867501,0.019627048240306883,1.1268413436903073,0.011705663499421322
z_het_gk,juros_selic,150,0.05675097643913082,0.04253730802731145,1.7799453663831242,0.02397764668048701
z_het_jk,juros_selic,150,0.027762538905681696,0.03460222354531946,0.6437397770512054,0.00857836614220005
z_het_jk_gk,juros_selic,150,0.07241208967322904,0.07288040252449932,0.9871897465081795,0.01345238123645515
z_het,juros_cdi,150,0.02296512879963384,0.019633630766877627,1.3681588761305192,0.014191153689450273
z_het_gk,juros_cdi,150,0.06030614087469417,0.042173815589043755,2.0447362027241005,0.027017154440615847
z_het_jk,juros_cdi,150,0.02727140337509065,0.03458794756026363,0.6216778450556057,0.008259577690134292
z_het_jk_gk,juros_cdi,150,0.07104595235053744,0.07294502415431076,0.9486092071696761,0.01292148225920932
z_het,yield_3m,150,7.988579370575308e-4,3.9726859353328236e-4,4.043622862064297,0.03924701164234691
z_het_gk,yield_3m,150,0.00102479184373877,6.20047219039493e-4,2.7316294890771706,0.01783098779715776
z_het_jk,yield_3m,150,0.0016854102113159338,6.740379643957728e-4,6.25233911026743,0.07210106217022197
z_het_jk_gk,yield_3m,150,0.0031173598124635705,0.0013519739073380675,5.316639883669776,0.05685845737523561
z_het,yield_6m,150,0.0014393908632266128,5.218908961966324e-4,7.606730694152287,0.09270660474904856
z_het_gk,yield_6m,150,0.00158311483080883,7.718739943862025e-4,4.206607740299525,0.030960974718622993
z_het_jk,yield_6m,150,0.003208802897628439,6.953859472924789e-4,21.292872928090084,0.19015257497214494
z_het_jk_gk,yield_6m,150,0.004806249543870485,0.0015886015157271,9.15340517242621,0.09833758697998506
z_het,yield_1y,150,0.0019498414257168748,6.820975541360656e-4,8.171571810823174,0.10884765077385156
z_het_gk,yield_1y,150,0.0018342424109618486,8.924392646196093e-4,4.224313318245501,0.026593195916080826
z_het_jk,yield_1y,150,0.004203010962652244,9.373096623899141e-4,20.1073509214627,0.2087394118742029
z_het_jk_gk,yield_1y,150,0.005420647202706808,0.0018125111890284946,8.94418745434356,0.080034361038171
z_het,yield_2y,150,0.0019778764349490294,6.622713809641665e-4,8.91920890735994,0.08422478655357908
z_het_gk,yield_2y,150,0.0017744372577017291,9.836505993273171e-4,3.2541650296111646,0.0187154166220291
z_het_jk,yield_2y,150,0.00427561380144646,9.680474254807796e-4,19.507592368385644,0.1624431801427684
z_het_jk_gk,yield_2y,150,0.005304379371817378,0.0020015792617641562,7.0230145726881865,0.05763210526169274
z_het,yield_5y,150,0.0012319535641334915,5.656732399441136e-4,4.743046781186583,0.032749968748499655
z_het_gk,yield_5y,150,0.001324168615531836,0.0010846884332081034,1.490309818484879,0.010445888625896174
z_het_jk,yield_5y,150,0.0029293725375614064,8.483501806361379e-4,11.923366631859176,0.07642480875712478
z_het_jk_gk,yield_5y,150,0.004051633026906284,0.0019679989488833993,4.238483345351062,0.03370048423714605
