month,z_het
2013-01-01,0.000000
2013-02-01,0.000000
2013-03-01,0.884178
2013-04-01,-1.878072
2013-05-01,0.000000
2013-06-01,0.000000
2013-07-01,1.368416
2013-08-01,1.028724
2013-09-01,0.000000
2013-10-01,1.523264
2013-11-01,-1.534917
2013-12-01,0.000000
2014-01-01,1.181452
2014-02-01,-0.142585
2014-03-01,0.000000
2014-04-01,-0.439739
2014-05-01,-0.430288
2014-06-01,0.000000
2014-07-01,-1.100699
2014-08-01,0.000000
2014-09-01,-0.134181
2014-10-01,3.673381
2014-11-01,0.000000
2014-12-01,-1.126865
2015-01-01,0.958371
2015-02-01,0.000000
2015-03-01,-0.102743
2015-04-01,1.023862
2015-05-01,0.000000
2015-06-01,0.000000
2015-07-01,-2.940670
2015-08-01,0.000000
2015-09-01,0.095265
2015-10-01,0.010397
2015-11-01,0.579955
2015-12-01,0.000000
2016-01-01,-3.358568
2016-02-01,0.000000
2016-03-01,1.413593
2016-04-01,0.662015
2016-05-01,0.000000
2016-06-01,-0.036321
2016-07-01,0.479800
2016-08-01,0.000000
2016-09-01,-1.237398
2016-10-01,1.538434
2016-11-01,0.000000
2016-12-01,1.152589
2017-01-01,-1.977436
2017-02-01,-0.849783
2017-03-01,0.000000
2017-04-01,-0.650188
2017-05-01,0.000000
2017-06-01,0.360874
2017-07-01,-1.595957
2017-08-01,0.000000
2017-09-01,0.000000
2017-10-01,-0.072739
2017-11-01,0.000000
2017-12-01,-0.160211
2018-01-01,0.000000
2018-02-01,-1.221850
2018-03-01,-1.094719
2018-04-01,0.000000
2018-05-01,0.550518
2018-06-01,-1.158199
2018-07-01,0.000000
2018-08-01,0.068778
2018-09-01,0.183005
2018-10-01,0.000000
2018-11-01,-0.135874
2018-12-01,0.047341
2019-01-01,0.000000
2019-02-01,0.134947
2019-03-01,-0.314807
2019-04-01,0.000000
2019-05-01,-0.922040
2019-06-01,0.000000
2019-07-01,0.000000
2019-08-01,-0.914352
2019-09-01,-1.502956
2019-10-01,0.484418
2019-11-01,0.000000
2019-12-01,0.229441
2020-01-01,0.000000
2020-02-01,0.307968
2020-03-01,2.613927
2020-04-01,0.000000
2020-05-01,-2.778900
2020-06-01,-0.926589
2020-07-01,0.000000
2020-08-01,-1.164003
2020-09-01,-0.402160
2020-10-01,0.014519
2020-11-01,0.000000
2020-12-01,0.307283
2021-01-01,1.030500
2021-02-01,0.000000
2021-03-01,2.028722
2021-04-01,0.000000
2021-05-01,0.909825
2021-06-01,0.388841
2021-07-01,0.000000
2021-08-01,0.622456
2021-09-01,0.797722
2021-10-01,3.330535
2021-11-01,0.000000
2021-12-01,0.330146
2022-01-01,0.000000
2022-02-01,-1.128670
2022-03-01,0.616962
2022-04-01,0.000000
2022-05-01,0.196905
2022-06-01,0.000000
2022-07-01,0.000000
2022-08-01,-0.455934
2022-09-01,-0.785681
2022-10-01,0.420974
2022-11-01,0.000000
2022-12-01,-0.321541
2023-01-01,0.000000
2023-02-01,0.694459
2023-03-01,-0.176593
2023-04-01,0.000000
2023-05-01,-0.333725
2023-06-01,-0.412491
2023-07-01,0.000000
2023-08-01,-2.187375
2023-09-01,-0.930102
2023-10-01,0.000000
2023-11-01,0.418053
2023-12-01,0.901407
2024-01-01,0.000000
2024-02-01,-0.203468
2024-03-01,0.488119
2024-04-01,0.000000
2024-05-01,-0.504695
2024-06-01,-0.400820
2024-07-01,0.000000
2024-08-01,-1.145833
2024-09-01,1.165680
2024-10-01,0.000000
2024-11-01,0.089700
2024-12-01,1.797159
2025-01-01,-0.920449
2025-02-01,0.000000
2025-03-01,1.668356
2025-04-01,0.000000
2025-05-01,1.296059
2025-06-01,0.000000
2025-07-01,0.088568
2025-08-01,0.000000
2025-09-01,0.134936
2025-10-01,0.000000
2025-11-01,0.368766
2025-12-01,-0.448380
