teste,n,k,R2,F_rob,p_asym,p_boot
global_niveis_L6_conjunto,147,30,0.26060899465412657,1.1465872749487755,0.29683284614235517,0.5175
global_niveis_L6_sp500_vix,147,6,0.02962738524475063,0.7296629882960897,0.6264624121217028,0.719
global_niveis_L6_msci,147,6,0.0578637137475396,0.8864765465677493,0.5066576490640682,0.5875
global_niveis_L6_commodity_metal,147,6,0.06193095297070957,0.6927298673310451,0.6558488343671369,0.7345
global_niveis_L6_epu_us,147,6,0.008317628932780157,0.16781883920908788,0.9849376280917477,0.9895
global_niveis_L6_cambio_usd,147,6,0.08868404561315096,1.8868018011221315,0.0871436114404468,0.101
global_niveis_L3_conjunto,150,15,0.09363367133109088,1.1719588271524306,0.30107178028881404,0.3815
global_niveis_L3_sp500_vix,150,3,0.00591821694714355,0.21891894802837042,0.8831469618213815,0.9085
global_niveis_L3_msci,150,3,0.033389433919390574,1.4316222023354193,0.23596597007292358,0.273
global_niveis_L3_commodity_metal,150,3,0.04356306927794506,1.5109056105590153,0.21417262094779096,0.2095
global_niveis_L3_epu_us,150,3,0.0020563596536206908,0.07751456071769669,0.9720678896203585,0.975
global_niveis_L3_cambio_usd,150,3,0.02140476440508014,1.0568283617238186,0.36947564262827637,0.4085
global_retornos_L6_conjunto,146,30,0.23927155385230003,0.8575849309926296,0.6782858333431304,0.7485
global_retornos_L6_sp500_vix,146,6,0.04475314169461377,0.9960098238122591,0.43054955307321596,0.534
global_retornos_L6_msci,146,6,0.027212142645327873,1.0170572269304474,0.41679047634317734,0.4635
global_retornos_L6_commodity_metal,146,6,0.03241983953588636,0.5547443179063922,0.7656129405860057,0.818
global_retornos_L6_epu_us,146,6,0.02318601635963396,0.45177730555528073,0.8427286113746106,0.8845
global_retornos_L6_cambio_usd,146,6,0.08103320505287813,2.0342649194791362,0.06503748899682302,0.064
global_retornos_L3_conjunto,149,15,0.13540605075109097,1.36024144366828,0.17621458363138173,0.1985
global_retornos_L3_sp500_vix,149,3,0.03230848717906426,1.4323840873999876,0.23577863700276097,0.239
global_retornos_L3_msci,149,3,0.005491616190934832,0.47676026977237157,0.6989467710845501,0.7485
global_retornos_L3_commodity_metal,149,3,0.006328349010036106,0.400128694551573,0.7531117121830854,0.7865
global_retornos_L3_epu_us,149,3,0.018261505216276126,0.4789819082599818,0.6974016192727424,0.7325
global_retornos_L3_cambio_usd,149,3,0.01620521847198362,1.1091653995493618,0.34747832694063013,0.392
