teste,n,k,R2,F_rob,p_asym,p_boot,bloco
z_sobre_proprios_lags_L6,147,6,0.03481100975530674,1.1696632068977073,0.32599051118136546,0.368,wald
ljung_box_lag1,NA,NA,NA,1.8050970939666,0.17909750051813322,NA,ljung_box
ljung_box_lag2,NA,NA,NA,2.866737198334107,0.2385041426585528,NA,ljung_box
ljung_box_lag3,NA,NA,NA,3.7835631028415206,0.28580381521866915,NA,ljung_box
ljung_box_lag6,NA,NA,NA,4.246439043250371,0.6433654184289223,NA,ljung_box
ljung_box_lag12,NA,NA,NA,7.6360104500493255,0.8128891309002069,NA,ljung_box
acf_lag1,NA,NA,-0.10756240720397403,NA,NA,NA,acf
acf_lag2,NA,NA,0.08221774613966541,NA,NA,NA,acf
acf_lag3,NA,NA,0.07615133176086054,NA,NA,NA,acf
acf_lag4,NA,NA,0.01547111877237791,NA,NA,NA,acf
acf_lag5,NA,NA,-0.030766158538916125,NA,NA,NA,acf
acf_lag6,NA,NA,0.04114466159665519,NA,NA,NA,acf
acf_lag7,NA,NA,0.07533889371857114,NA,NA,NA,acf
acf_lag8,NA,NA,0.007602581926812912,NA,NA,NA,acf
acf_lag9,NA,NA,-0.11276222888769527,NA,NA,NA,acf
acf_lag10,NA,NA,-0.03748753239870405,NA,NA,NA,acf
acf_lag11,NA,NA,-0.009036084369555258,NA,NA,NA,acf
acf_lag12,NA,NA,-0.026422030404725433,NA,NA,NA,acf
