L,p_holm,teste,equacao,n,k,R2,F_rob,p_asym,p_boot
4,1,granger_z_para_fator_L4,F1,149,4,0.9173947168996613,0.6691399313903907,0.6145948665390926,0.6195
4,1,granger_z_para_fator_L4,F2,149,4,0.9844243848581298,1.5698027369768588,0.18649748309478953,0.268
4,1,granger_z_para_fator_L4,F3,149,4,0.9958704192610321,1.119736116711848,0.3503019781182173,0.3505
4,1,granger_z_para_fator_L4,F4,149,4,0.9903602329165703,0.30274565083349186,0.8756593326135825,0.887
4,1,granger_z_para_fator_L4,F5,149,4,0.9839117962411529,0.7299834122414228,0.5731300814858534,0.6295
3,1,granger_z_para_fator_L3,F1,149,3,0.916899725869883,0.3088403826963978,0.8189603206663346,0.8165
3,0.7324999999999999,granger_z_para_fator_L3,F2,149,3,0.9844149422922897,2.0437795131444645,0.11115009179141999,0.1465
3,1,granger_z_para_fator_L3,F3,149,3,0.9958586736995595,1.2777982499000502,0.28495749448986124,0.288
3,1,granger_z_para_fator_L3,F4,149,3,0.9903481745326589,0.3795920961930597,0.7678767005204868,0.7715
3,1,granger_z_para_fator_L3,F5,149,3,0.9838451659811074,0.8054771062179736,0.49309540801043783,0.5195
