a,b,cor_nivel,cor_diff
juros_cdi,juros_selic,0.9999253763125401,0.9997057739648141
yield_3m,yield_6m,0.9944380756469213,0.9219131162563583
yield_10y,yield_5y,0.9922205680641534,0.9575532200906216
yield_1y,yield_6m,0.9905985710946777,0.9243634489881548
yield_1y,yield_2y,0.9856874395454843,0.9242002804454638
juros_selic,yield_3m,0.9840384625759133,0.7618510221550798
juros_cdi,yield_3m,0.9836376501711966,0.7615686525358202
yield_2y,yield_5y,0.9777517278704424,0.8895905536139453
yield_1y,yield_3m,0.9724812099447405,0.7480176286370024
juros_selic,yield_6m,0.9620059979950819,0.6264586270186178
juros_cdi,yield_6m,0.9615974394519377,0.6274964812034133
yield_2y,yield_6m,0.957641476498892,0.7556199317693644
yield_10y,yield_2y,0.9530910510653479,0.7800939135670203
yield_1y,yield_5y,0.939453653150244,0.7169137375425245
yield_2y,yield_3m,0.9314600953752876,0.5561700000196642
juros_selic,yield_1y,0.9223931791762532,0.41734288570973227
juros_cdi,yield_1y,0.9216335334401466,0.41797766693393673
yield_10y,yield_1y,0.9102592364480463,0.5971008290314517
yield_5y,yield_6m,0.9030364248870518,0.5459458627415572
yield_3m,yield_5y,0.8766643126667852,0.39382875311674603
yield_10y,yield_6m,0.8728431279005507,0.4489311132374437
juros_selic,yield_2y,0.8722173240495493,0.23645263211526107
juros_cdi,yield_2y,0.8708050875737239,0.23516553775452484
yield_10y,yield_3m,0.8464841445881819,0.3389532276207715
juros_selic,yield_5y,0.8220688486734062,0.1372814298176803
juros_cdi,yield_5y,0.8206287762740533,0.13430210191559852
juros_selic,yield_10y,0.7920336151356254,0.12574292412692892
juros_cdi,yield_10y,0.7908722308164768,0.12217520188352599
