a,b,cor_nivel,cor_diff,grupo_a,grupo_b,mesmo_grupo,criterio
juros_selic,juros_cdi,0.9999253763125401,0.9997057739648141,juros,juros,TRUE,nivel
base_m2,credito_pessoa_fisica,0.9962799624121953,0.23789473725752647,base,credito,FALSE,nivel
base_monetary_base,base_money_supply,0.9947811069081716,0.6366696210282841,base,base,TRUE,nivel
asset_ibov,asset_mlcx,0.9944094692164827,0.99628362961963,ativos,ativos,TRUE,nivel
yield_3m,yield_6m,0.9940800917370682,0.9111203277650136,juros,juros,TRUE,nivel
base_m2,base_m3,0.9933618049728892,0.7087749088263746,base,base,TRUE,nivel
credito_pessoa_fisica,credit_outstanding,0.9929632219913156,0.6059693918972711,credito,credito,TRUE,nivel
yield_5y,yield_10y,0.9920300209735312,0.958302983845832,juros,juros,TRUE,nivel
base_m3,credito_pessoa_fisica,0.9917962876094946,0.24331552263103298,base,credito,FALSE,nivel
base_m2,credit_outstanding,0.9910114180409288,0.6334505266242166,base,credito,FALSE,nivel
yield_6m,yield_1y,0.9904280468983235,0.904851436337851,juros,juros,TRUE,nivel
base_demand_deposit,base_m1,0.990028901037416,0.9520405496578592,base,base,TRUE,nivel
base_m3,trab_min_wage,0.9882866080059612,-0.355790152267092,base,trabalho,FALSE,nivel
base_monetary_base,base_m1,0.9871123077584445,0.5282378639837481,base,base,TRUE,nivel
credito_comercio,credit_outstanding,0.9868746199133466,0.8033032738981385,credito,credito,TRUE,nivel
yield_1y,yield_2y,0.9858616040108562,0.9237591180136854,juros,juros,TRUE,nivel
cambio_cny,cambio_usd,0.9850218118329519,0.946878083818344,cambio,cambio,TRUE,nivel
credito_comercio,credito_transporte,0.9834905629979107,0.47478318779892453,credito,credito,TRUE,nivel
credito_agro,credito_pessoa_fisica,0.9834086666444007,0.3349054873544612,credito,credito,TRUE,nivel
base_money_supply,base_savings_deposit,0.9820361728340761,0.7554029318554977,base,base,TRUE,nivel
base_money_supply,base_m1,0.9813987424077782,0.8575797976413384,base,base,TRUE,nivel
base_m3,credit_outstanding,0.9809059145800781,0.4399035605046205,base,credito,FALSE,nivel
credito_transporte,credit_outstanding,0.9806669475102628,0.47494780902721223,credito,credito,TRUE,nivel
credito_agro,credit_outstanding,0.9806242165524662,0.4095780191374262,credito,credito,TRUE,nivel
cambio_eur,cambio_cny,0.9805723783858918,0.8982613832055414,cambio,cambio,TRUE,nivel
juros_selic,juros_cdi,0.9999253763125401,0.9997057739648141,juros,juros,TRUE,diferenca
asset_ibov,asset_mlcx,0.9944094692164827,0.99628362961963,ativos,ativos,TRUE,diferenca
