grupo,n_series,share
trabalho,14,0.12612612612612611
industria,12,0.10810810810810811
precos,11,0.0990990990990991
credito,9,0.08108108108108109
consumo,8,0.07207207207207207
incerteza,8,0.07207207207207207
ativos,7,0.06306306306306306
base,7,0.06306306306306306
juros,7,0.06306306306306306
cambio,5,0.04504504504504504
atividade,4,0.036036036036036036
energia,4,0.036036036036036036
expectativas,4,0.036036036036036036
risco_ext,4,0.036036036036036036
commodity,3,0.02702702702702703
fiscal,3,0.02702702702702703
outros,1,0.009009009009009009
