grupo,n,pc1_share,pc2_share
cambio,5,0.7744535420433518,0.17125734777800952
ativos,8,0.7464380139955809,0.102118357921277
juros,8,0.639173055947618,0.2606470997204563
energia,4,0.5792247866943674,0.23311613461641303
commodity,3,0.5483187818294503,0.2527258813893066
base,7,0.5341882808593916,0.13533002324327328
risco_ext,4,0.5279331515600088,0.2972071521899257
industria,12,0.5279127678375549,0.11364061170478963
atividade,4,0.47812624616749294,0.23263496285890561
consumo,8,0.4203276218310015,0.17564950277723018
credito,9,0.3898864043763267,0.17602141190328982
precos,11,0.3855640824706812,0.1313677086544647
trabalho,14,0.3649586420840571,0.19399951958166659
incerteza,8,0.3255397573505033,0.14399552858586173
