var,h,producao,podado,dif,dif_rel
yield_6m,h0,0.005,0.005,0,0
yield_6m,h6,0.004145202047359336,0.0038315856878048827,-3.136163595544531e-4,-0.07565767747177478
yield_6m,h12,-3.2218917259283056e-4,-0.0011507485316323083,-8.285593590394778e-4,-2.57165488328367
yield_6m,h24,-0.006841564381333914,-0.007332000608167346,-4.904362268334326e-4,-0.07168480766935519
juros_selic,h0,-0.047100784529882,-0.02850340729936174,0.018597377230520257,0.3948421967095173
juros_selic,h6,0.11555282727799156,0.06759658358240127,-0.04795624369559029,-0.4150157536190734
juros_selic,h12,-0.03426812958073611,-0.1344072699750073,-0.10013914039427119,-2.922223699380563
juros_selic,h24,-0.6216806838482853,-0.6428147469779474,-0.02113406312966204,-0.03399504549319339
price_core_ipca_ex0,h0,0.01831137063792663,0.025623201540222334,0.007311830902295705,0.3993054942130544
price_core_ipca_ex0,h6,0.10769268985798527,0.10828743245558156,5.947425975962872e-4,0.005522590236910011
price_core_ipca_ex0,h12,0.05612227624871498,0.05416705457207588,-0.001955221676639099,-0.03483860255372068
price_core_ipca_ex0,h24,0.0274796933072764,0.023068999608169657,-0.004410693699106745,-0.16050738448157384
cambio_usd,h0,0.14975595400397,0.15113607245526545,0.001380118451295459,0.009215783509074186
cambio_usd,h6,0.06910469886122948,0.0675136961382338,-0.0015910027229956852,-0.023023075843085713
cambio_usd,h12,-0.020639979808059664,-0.017151808502995587,0.0034881713050640764,0.16900071305796469
cambio_usd,h24,-0.04066434397819272,-0.03461270717933778,0.00605163679885494,0.1488192408095968
asset_ibov,h0,-1.6725830882120496,-1.2646653796075777,0.40791770860447185,0.24388486974391563
asset_ibov,h6,2.359558675711419,1.9435399347074247,-0.4160187410039944,-0.17631209822682736
asset_ibov,h12,11.519647019034771,10.277068411233705,-1.2425786078010663,-0.10786603146327844
asset_ibov,h24,20.26242599512615,15.752149956894979,-4.510276038231172,-0.22259309123774504
embi_perc,h0,0.1995366882215048,0.18789423464368057,-0.01164245357782423,-0.05834743315424777
embi_perc,h6,0.06772670384847175,0.044599798473430825,-0.023126905375040925,-0.3414739543029272
embi_perc,h12,-0.0493788543690932,-0.07448469724847838,-0.02510584287938518,-0.5084330772789094
embi_perc,h24,-0.17030968692894688,-0.18356370056727475,-0.013254013638327872,-0.07782301686607786
commodity_metal,h0,10.40640784204703,10.706430388237656,0.3000225461906272,0.028830558127693966
commodity_metal,h6,6.283159264308272,6.872093864869243,0.5889346005609717,0.09373224134336963
commodity_metal,h12,-1.242789412985063,0.2733595647715875,1.5161489777566506,1.2199564639957816
commodity_metal,h24,2.1578292434658417,3.668684210375748,1.5108549669099065,0.7001735524184554
