p,logdet,AIC,BIC,HQ,max_eig
1,9.126618675995992,9.771355518101256,10.74615910705828,10.167354593272528,0.9856608544477736
2,8.130670218280073,9.428683463313186,11.386918059391746,10.224220103355611,0.969518252176949
3,7.383991044261724,9.343991044261724,12.294413632476054,10.542653960304076,0.9732191685317418
4,6.618897290670725,9.249769773892202,13.201269612585557,10.85519883449344,0.9656576092727687
5,6.18108865385321,9.491899464664021,14.45350086380056,11.507786652051724,0.9510453350467085
6,5.750987647350815,9.750987647350815,15.731852820908287,12.181078034323711,0.9747488663879236
7,5.084439342211849,9.78306947919815,16.79250147403349,12.631162227123237,0.9748133867947735
8,4.498975711376709,9.905872263100846,17.953317966748195,13.175821641438457,0.9789829623778079
9,3.6901691863687405,9.81516918636874,18.910222416320245,13.510885614161026,0.9876841375252672
10,2.765583794528607,9.61873064767546,19.771135324789824,13.744181757435104,1.0014251002969956
11,1.8349108482587024,9.426460144033351,20.6461135528156,13.985671868469572,1.0292964632262627
12,0.7188904694918982,9.059316001406792,21.35627214000511,14.056373683425065,1.0030225145853973
