var,grupo,tcode,R2_comum,R2_ols,R2_dif,gap_ols_chi
yield_2y,juros,1,0.9599454343422731,0.9853862990808153,0.8084278973245154,0.025440864738542235
vendas_servicos,consumo,1,0.9573602527016851,0.9815806664789224,0.6894715782210459,0.02422041377723727
cambio_cny,cambio,1,0.9427148721866745,0.9648474954136248,0.8131358993835712,0.02213262322695031
yield_1y,juros,1,0.9297783101235668,0.9857387489487105,0.8052141394760999,0.05596043882514368
credito_pessoa_fisica,credito,4,0.9235554296227307,0.9900997869098525,0.6987857007489446,0.06654435728712171
base_money_supply,base,4,0.9147600498805794,0.9695112923942545,0.7329842623533958,0.054751242513675136
credito_transporte,credito,4,0.9026533196356141,0.9227569473187459,0.4729608078388607,0.020103627683131786
cambio_inr,cambio,1,0.8956499784108568,0.944852261411661,0.8280194428726573,0.0492022830008042
yield_6m,juros,1,0.8769204480214213,0.9739230099693056,0.7254174033249702,0.09700256194788426
credito_comercio,credito,4,0.8710214733275665,0.9528458332568001,0.5459782304885867,0.08182435992923354
yield_5y,juros,1,0.8606535407153655,0.9326557321000197,0.8032695292267463,0.07200219138465425
trab_hrs_trabalhadas_industria,trabalho,1,0.8598522242452189,0.9755005475502174,0.7213041151798422,0.11564832330499852
base_m1,base,4,0.8484246744206548,0.9342391923309341,0.7019964439014543,0.08581451791027928
cambio_usd,cambio,1,0.8472539661666012,0.9390045109090953,0.8587174349247434,0.09175054474249411
base_m2,base,4,0.8466007411257014,0.9726300713321395,0.7512579379357187,0.12602933020643814
cambio_eur,cambio,1,0.8418014186073416,0.9163720829615523,0.773859862641065,0.07457066435421067
yield_3m,juros,1,0.8392036645573611,0.9655392431251172,0.5935620178078119,0.12633557856775612
base_monetary_base,base,4,0.8385383975478107,0.9226223480850289,0.21179854098167555,0.08408395053721818
trab_menos_de_1_mes,trabalho,1,0.8281036833164175,0.8955353806466416,0.3657417600252961,0.06743169733022414
consumo_demais_derivados,consumo,1,0.8128526597979302,0.9432734208042836,0.8114895644697613,0.13042076100635336
yield_10y,juros,1,0.8101727320925078,0.8916485818066363,0.7233222490406273,0.08147584971412847
trab_pop_ocupada,trabalho,1,0.8080654770064181,0.9320172493921982,0.6651029423139229,0.12395177238578015
capacidade_instalada_industria,industria,1,0.8046109553724028,0.867964576975316,0.46010996339469357,0.06335362160291325
pib,atividade,4,0.7914619103556879,0.9249541554151407,0.35513651915534084,0.13349224505945279
juros_selic,juros,1,0.7669289502052082,0.948765830921431,0.659201902115285,0.18183688071622273
juros_cdi,juros,1,0.76052577266268,0.9482685480515564,0.658396180083214,0.1877427753888764
credito_agro,credito,4,0.7599438286607971,0.8569582868517054,0.2886454463458429,0.09701445819090826
ibc_br,atividade,1,0.7541003283042378,0.9525378931159549,0.6339411365594846,0.19843756481171715
credit_outstanding,credito,4,0.7447453874643896,0.9402258337232788,0.5772298328345931,0.19548044625888927
credito_construcao,credito,4,0.741549948362594,0.9024785596708416,0.48867772874581156,0.16092861130824754
spread_icc_juridica,credito,1,0.7396360444311914,0.8736936914695339,0.5437020417593555,0.13405764703834255
trab_tx_desemprego,trabalho,1,0.7257346363978294,0.9085808801392548,0.45515071889727315,0.18284624374142533
credito_industria_total,credito,4,0.7212012118722979,0.8918181762261456,0.5919684039067491,0.17061696435384766
vendas_varejo,consumo,1,0.7182121345082784,0.818249510446342,0.5297805066322332,0.10003737593806361
base_demand_deposit,base,4,0.6971664382505652,0.8899591226712124,0.4556783047105748,0.19279268442064712
ind_transformacao,industria,1,0.682604388629912,0.947629435071661,0.8104806653650711,0.26502504644174896
price_core_ipca_dw,precos,1,0.6724410257378106,0.8844340626874234,0.6374662833081408,0.2119930369496128
trab_x2_anos_ou_mais,trabalho,1,0.6558897353347342,0.8976373548845988,0.2516104813216898,0.24174761954986468
ind_caminhoes,industria,1,0.6319499814871847,0.7874923531542606,0.24816018035447973,0.15554237166707585
spread_icc_fisica,credito,1,0.6262305217632687,0.9199436096683034,0.35165398469029374,0.2937130879050347
trab_de_1_mes_a_menos_de_1_ano,trabalho,1,0.6169567018997282,0.9046020594620605,0.4126247784053169,0.28764535756233234
energia_comercial,energia,1,0.6158858699696788,0.7426246943813402,0.38060375043109423,0.1267388244116614
base_savings_deposit,base,4,0.6010520060215483,0.8620034294264822,0.5536291642526502,0.26095142340493394
ind_leves,industria,1,0.5962187257225542,0.857253401437827,0.32109402446778607,0.26103467571527283
commodity_agro,commodity,1,0.571037942840086,0.9234549318274492,0.5287280959232458,0.3524169889873632
price_ipca,precos,1,0.5273700815162141,0.7429354802099486,0.8466440611095075,0.21556539869373448
base_m3,base,4,0.5273611928375208,0.7458128968188077,0.29239810590636284,0.21845170398128688
cambio_ars,cambio,1,0.5044187487084509,0.6895441191475148,0.17699697643241982,0.18512537043906385
trab_pop_forca_trab,trabalho,1,0.5035062072497869,0.8942457170641829,0.5433080761631254,0.390739509814396
ind_automoveis,industria,1,0.475263828453679,0.7732088436657081,0.4764438411027669,0.2979450152120291
trab_employment_north,trabalho,1,0.44988997154845867,0.7588601168787812,0.6170932423393829,0.3089701453303225
ind_bens_capital,industria,1,0.44556596994660247,0.9093406068531982,0.6519830361580538,0.4637746369065957
ind_onibus,industria,1,0.4172182533542308,0.6745836028250922,0.18407141875341201,0.2573653494708614
energia_industrial,energia,1,0.39860962820939994,0.9227398138728011,0.49670073251227476,0.5241301856634012
trab_employment_southest,trabalho,1,0.3680544234540615,0.7497070000599846,0.7485184376654351,0.3816525766059231
trab_de_1_ano_a_menos_de_2_anos,trabalho,1,0.3633984846100643,0.6873187509901899,0.13303129075994963,0.3239202663801256
msci,risco_ext,1,0.3505427930349315,0.6276681136501178,0.129528914513922,0.27712532061518624
price_ipca_difusao,precos,1,0.3463628924546117,0.7625184904579807,0.17432637801036446,0.416155598003369
price_core_ipca_ex1,precos,1,0.33186763521899476,0.6546232612524508,0.49463372859445914,0.3227556260334561
trab_employment_northeast,trabalho,1,0.33124131395824097,0.7414320317380683,0.5672657417202115,0.4101907177798273
asset_imob,ativos,2,0.32725062437598695,0.6007584263854447,0.6894651414543234,0.2735078020094578
energia_residencial,energia,1,0.31714549224324173,0.5966834486644508,0.17233886666339063,0.27953795642120904
commodity_energia,commodity,1,0.2801984042448463,0.4552211539197789,0.31580915387684483,0.1750227496749326
consumo_oleo_combustivel,consumo,1,0.2771508944896286,0.478160050307001,0.069504572810277,0.2010091558173724
ind_uti_cap_instalada,industria,1,0.2663551960022412,0.9410485462961296,0.7021292758667348,0.6746933502938883
epu_brazil,incerteza,1,0.26489717553073333,0.43052160019409064,0.2816558262756566,0.1656244246633573
asset_smll,ativos,2,0.23829947348213665,0.731749062254217,0.836997160097955,0.49344958877208034
price_core_ipc,precos,1,0.16031514121371637,0.7129984211374548,0.2696228510854244,0.5526832799237384
asset_mlcx,ativos,2,0.08983135729872016,0.7172955978810376,0.9042159810068254,0.6274642405823174
asset_ibov,ativos,2,0.0847567295741728,0.7362269865093295,0.9088889505239998,0.6514702569351567
ind_min_extr,industria,1,0.08455088449528847,0.31614428610796746,0.05771381676623313,0.231593401612679
price_incc,precos,1,0.0678965963732775,0.3667178385819844,0.05579832991113395,0.2988212422087069
price_inpc,precos,1,0.042776270001122274,0.7463253965617563,0.821895203578501,0.7035491265606341
price_ipc,precos,1,0.013093448669046936,0.5909564440021008,0.6302918501224957,0.5778629953330539
consumo_gasolina,consumo,1,0.009517279856489536,0.6899681503436961,0.2796223837450642,0.6804508704872065
epu_china,incerteza,1,-0.006865459147751496,0.47188999345674293,0.0779871427013631,0.4787554526044944
price_igp_m,precos,1,-0.0188259516352276,0.44085766440340196,0.1935295000150829,0.45968361603862956
icc,atividade,1,-0.027432414044265885,0.7578728950863229,0.11296155072379033,0.7853053091305888
ind_bens_duraveis,industria,1,-0.03165416917433128,0.8403395847606054,0.7680283455915318,0.8719937539349367
consumo_alcool,consumo,1,-0.055390828110951196,0.22374247123806856,0.45257853858707453,0.27913329934901976
epu_india,incerteza,1,-0.0941490227411752,0.38046486873257945,0.03836821497852476,0.47461389147375466
