ref.date,dbgg
2011-01-01,52.4
2011-02-01,52.37
2011-03-01,52.61
2011-04-01,52.61
2011-05-01,52.22
2011-06-01,52.35
2011-07-01,52.52
2011-08-01,52.29
2011-09-01,52.11
2011-10-01,51.7
2011-11-01,51.76
2011-12-01,51.27
2012-01-01,51.83
2012-02-01,52.22
2012-03-01,52.72
2012-04-01,53.22
2012-05-01,53.27
2012-06-01,53.42
2012-07-01,53.6
2012-08-01,53.33
2012-09-01,54.05
2012-10-01,54.52
2012-11-01,54.65
2012-12-01,53.67
2013-01-01,53.98
2013-02-01,54.03
2013-03-01,54.05
2013-04-01,53.78
2013-05-01,53.92
2013-06-01,53.61
2013-07-01,53.7
2013-08-01,53.44
2013-09-01,52.95
2013-10-01,53.1
2013-11-01,52.73
2013-12-01,51.54
2014-01-01,52.63
2014-02-01,51.84
2014-03-01,51.79
2014-04-01,52
2014-05-01,52.18
2014-06-01,52.75
2014-07-01,53.17
2014-08-01,53.81
2014-09-01,55.11
2014-10-01,55.43
2014-11-01,56.01
2014-12-01,56.28
2015-01-01,57.16
2015-02-01,58.28
2015-03-01,59.49
2015-04-01,59.11
2015-05-01,60.21
2015-06-01,60.75
2015-07-01,62.17
2015-08-01,62.97
2015-09-01,63.65
2015-10-01,63.94
2015-11-01,64.29
2015-12-01,65.5
2016-01-01,66.5
2016-02-01,66.66
2016-03-01,66.33
2016-04-01,66.62
2016-05-01,67.58
2016-06-01,67.51
2016-07-01,68.7
2016-08-01,69.34
2016-09-01,69.98
2016-10-01,69.78
2016-11-01,70.84
2016-12-01,69.84
2017-01-01,69.82
2017-02-01,70.39
2017-03-01,71.24
2017-04-01,71.37
2017-05-01,72.34
2017-06-01,72.74
2017-07-01,73.18
2017-08-01,73.61
2017-09-01,73.71
2017-10-01,74.11
2017-11-01,74.02
2017-12-01,73.72
2018-01-01,74.04
2018-02-01,74.5
2018-03-01,74.6
2018-04-01,74.96
2018-05-01,76.12
2018-06-01,76.13
2018-07-01,75.95
2018-08-01,76.02
2018-09-01,75.99
2018-10-01,75.29
2018-11-01,75.69
2018-12-01,75.27
2019-01-01,75.44
2019-02-01,75.52
2019-03-01,76.71
2019-04-01,77.12
2019-05-01,76.55
2019-06-01,76.67
2019-07-01,76.83
2019-08-01,77.55
2019-09-01,76.6
2019-10-01,75.79
2019-11-01,76.2
2019-12-01,74.44
2020-01-01,74.75
2020-02-01,75.15
2020-03-01,76.78
2020-04-01,78.03
2020-05-01,79.95
2020-06-01,82.87
2020-07-01,83.5
2020-08-01,85.83
2020-09-01,87.42
2020-10-01,87.66
2020-11-01,86.96
2020-12-01,86.94
2021-01-01,86.91
2021-02-01,86.87
2021-03-01,85.1
2021-04-01,82.62
2021-05-01,81.44
2021-06-01,80.6
2021-07-01,80.25
2021-08-01,79.64
2021-09-01,79.62
2021-10-01,79.52
2021-11-01,78.22
2021-12-01,77.31
2022-01-01,77
2022-02-01,76.92
2022-03-01,76.4
2022-04-01,76.33
2022-05-01,75.68
2022-06-01,75.61
2022-07-01,75.24
2022-08-01,74.57
2022-09-01,74.15
2022-10-01,73.7
2022-11-01,72.95
2022-12-01,71.68
2023-01-01,71.38
2023-02-01,71.77
2023-03-01,71.54
2023-04-01,71.57
2023-05-01,72.11
2023-06-01,71.97
2023-07-01,72.48
2023-08-01,72.89
2023-09-01,73.01
2023-10-01,73.32
2023-11-01,73.32
2023-12-01,73.83
2024-01-01,74.47
2024-02-01,74.81
2024-03-01,75.02
2024-04-01,75.15
2024-05-01,75.67
2024-06-01,76.68
2024-07-01,77.21
2024-08-01,77.36
2024-09-01,77.09
2024-10-01,77.38
2024-11-01,77.5
2024-12-01,76.27
2025-01-01,75.48
2025-02-01,75.78
2025-03-01,75.55
2025-04-01,75.62
2025-05-01,75.75
2025-06-01,76.3
2025-07-01,77.18
2025-08-01,77.31
2025-09-01,77.84
2025-10-01,78.29
2025-11-01,78.96
2025-12-01,78.64
2026-01-01,78.7
