month,z,yield_6m,embi_perc,dbgg,s_embi_ma12,I_embi_ma12,s_embi_ma6,I_embi_ma6,s_embi_ma1,I_embi_ma1,s_cds_ma12,I_cds_ma12,s_cds_ma6,I_cds_ma6,s_dbgg_lvl,I_dbgg_lvl,s_dbgg_d12,I_dbgg_d12
2013-01-01,-0.6639581132420214,0.07,1.54,53.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-02-01,0,0.075,1.78,54.03,NA,NA,NA,NA,1.54,0,NA,NA,NA,NA,53.98,0,NA,NA
2013-03-01,0,0.075,1.9,54.05,NA,NA,NA,NA,1.78,0,NA,NA,NA,NA,54.03,0,NA,NA
2013-04-01,-35.48742454773016,0.078,1.73,53.78,NA,NA,NA,NA,1.9,0,NA,NA,NA,NA,54.05,0,NA,NA
2013-05-01,0,0.084,2.08,53.92,NA,NA,NA,NA,1.73,0,NA,NA,NA,NA,53.78,0,NA,NA
2013-06-01,0,0.089,2.43,53.61,NA,NA,NA,NA,2.08,0,NA,NA,NA,NA,53.92,0,NA,NA
2013-07-01,-2.975413485879002,0.089,2.41,53.7,NA,NA,1.9100000000000001,0,2.43,0,NA,NA,137.44666666666666,0,53.61,0,NA,NA
2013-08-01,10.612751536156027,0.096,2.57,53.44,NA,NA,2.055,0,2.41,0,NA,NA,148.69166666666666,0,53.7,0,NA,NA
2013-09-01,0,0.096,2.45,52.95,NA,NA,2.1866666666666665,0,2.57,1,NA,NA,161.17166666666665,0,53.44,0,NA,NA
2013-10-01,0,0.101,2.29,53.1,NA,NA,2.2783333333333333,0,2.45,0,NA,NA,167.80833333333334,0,52.95,0,NA,NA
2013-11-01,0,0.102,2.56,52.73,NA,NA,2.3716666666666666,0,2.29,0,NA,NA,178.51666666666665,0,53.1,0,NA,NA
2013-12-01,0,0.103,2.3,51.54,NA,NA,2.4516666666666667,0,2.56,0,NA,NA,188.605,0,52.73,0,NA,NA
2014-01-01,18.8927707648865,0.112,2.78,52.63,2.17,0,2.43,0,2.3,0,163.605,0,189.76333333333332,0,51.54,0,NA,NA
2014-02-01,-8.42900769868851,0.108,2.51,51.84,2.2733333333333334,0,2.4916666666666667,0,2.78,1,170.64,0,192.58833333333334,1,52.63,0,-1.3499999999999943,0
2014-03-01,0,0.109,2.3,51.79,2.3341666666666665,0,2.4816666666666665,0,2.51,0,173.81083333333333,0,186.45,0,51.84,0,-2.1899999999999977,0
2014-04-01,0,0.109,2.17,52,2.3675,0,2.4566666666666666,0,2.3,0,176.60833333333332,0,185.40833333333333,0,51.79,0,-2.259999999999998,0
2014-05-01,0,0.109,2.14,52.18,2.404166666666667,0,2.4366666666666665,0,2.17,0,179.38833333333332,0,180.26,0,52,0,-1.7800000000000011,0
2014-06-01,0,0.108,2.11,52.75,2.4091666666666667,0,2.3666666666666667,0,2.14,0,179.125,0,169.64499999999998,0,52.18,0,-1.740000000000002,0
2014-07-01,0,0.108,2.14,53.17,2.3825,0,2.335,0,2.11,0,175.39083333333332,0,161.01833333333332,0,52.75,0,-0.8599999999999994,0
2014-08-01,0,0.11,2.08,53.81,2.36,0,2.2283333333333335,0,2.14,0,172.26166666666666,0,151.935,0,53.17,0,-0.5300000000000011,0
2014-09-01,3.399903305196183,0.113,2.41,55.11,2.319166666666667,0,2.1566666666666667,0,2.08,0,165.69166666666666,0,144.93333333333334,0,53.81,0,0.37000000000000455,0
2014-10-01,0,0.118,2.36,55.43,2.3158333333333334,0,2.175,0,2.41,0,165.61083333333335,0,145.81333333333333,0,55.11,0,2.1599999999999966,0
2014-11-01,0,0.123,2.43,56.01,2.3216666666666668,0,2.2066666666666666,0,2.36,0,163.9675,0,147.675,0,55.43,0,2.3299999999999983,0
2014-12-01,0,0.127,2.7,56.28,2.310833333333333,0,2.255,0,2.43,0,159.64333333333335,0,149.64166666666668,0,56.01,0,3.280000000000001,1
2015-01-01,0,0.127,3.31,57.16,2.3441666666666667,0,2.3533333333333335,0,2.7,1,160.4075,0,159.79666666666668,0,56.28,0,4.740000000000002,1
2015-02-01,0,0.13,3.28,58.28,2.388333333333333,0,2.5483333333333333,0,3.31,1,161.01916666666668,0,170.10333333333335,0,57.16,0,4.529999999999994,1
2015-03-01,4.283340366729309,0.133,3.31,59.49,2.4525,0,2.7483333333333335,1,3.28,1,166.47666666666666,0,188.02,0,58.28,0,6.439999999999998,1
2015-04-01,0,0.137,2.97,59.11,2.5366666666666666,0,2.8983333333333334,1,3.31,1,175.54166666666666,0,205.27,1,59.49,0,7.700000000000003,1
2015-05-01,0,0.139,2.97,60.21,2.6033333333333335,0,3,1,2.97,1,183.14416666666668,0,218.61333333333334,1,59.11,0,7.109999999999999,1
2015-06-01,0,0.143,3.09,60.75,2.6725,0,3.09,1,2.97,1,190.74666666666667,0,231.85166666666666,1,60.21,0,8.030000000000001,1
2015-07-01,0,0.143,3.25,62.17,2.754166666666667,1,3.1550000000000002,1,3.09,1,200.57,1,241.34333333333333,1,60.75,0,8,1
2015-08-01,0,0.144,3.63,62.97,2.8466666666666667,1,3.145,1,3.25,1,212.065,1,254.02666666666667,1,62.17,0,9,1
2015-09-01,-5.757945668738006,0.149,4.91,63.65,2.9758333333333336,1,3.203333333333333,1,3.63,1,230.05333333333334,1,272.08666666666664,1,62.97,0,9.159999999999997,1
2015-10-01,-16.618654038694164,0.148,4.39,63.94,3.1841666666666666,1,3.47,1,4.91,1,254.75,1,304.23,1,63.65,0,8.54,1
2015-11-01,0,0.15,4.5,64.29,3.3533333333333335,1,3.7066666666666666,1,4.39,1,277.8425,1,337.07166666666666,1,63.94,0,8.509999999999998,1
2015-12-01,0,0.151,5.48,65.5,3.5258333333333334,1,3.9616666666666664,1,4.5,1,301.7608333333333,1,371.67,1,64.29,0,8.280000000000008,1
2016-01-01,-23.797310665484822,0.142,5.4,66.5,3.7575,1,4.36,1,5.48,1,325.755,1,410.1666666666667,1,65.5,0,9.219999999999999,1
2016-02-01,0,0.141,5.3,66.66,3.9316666666666666,1,4.718333333333334,1,5.4,1,346.57666666666665,1,439.12666666666667,1,66.5,0,9.340000000000003,1
2016-03-01,-1.2867073065872363,0.139,4.26,66.33,4.1,1,4.996666666666667,1,5.3,1,364.07,1,456.05333333333334,1,66.66,0,8.379999999999995,1
2016-04-01,9.990524241053665,0.138,4.01,66.62,4.179166666666667,1,4.888333333333334,1,4.26,1,370.67333333333335,1,437.1166666666667,1,66.33,0,6.839999999999996,1
2016-05-01,0,0.138,4.18,67.58,4.265833333333333,1,4.825,1,4.01,1,378.8566666666667,1,420.64166666666665,1,66.62,0,7.510000000000005,1
2016-06-01,6.6418937199375145,0.139,3.66,67.51,4.366666666666666,1,4.7716666666666665,1,4.18,1,389.1725,1,406.675,1,67.58,0,7.3699999999999974,1
2016-07-01,0,0.139,3.46,68.7,4.414166666666667,1,4.468333333333334,1,3.66,1,393.18916666666667,1,376.21166666666664,1,67.51,0,6.760000000000005,1
2016-08-01,0,0.138,3.15,69.34,4.431666666666667,1,4.145,1,3.46,1,392.7325,1,346.3383333333333,1,68.7,0,6.530000000000001,1
2016-09-01,-8.15706645445767,0.133,3.24,69.98,4.391666666666667,1,3.7866666666666666,1,3.15,1,385.3325,1,314.6116666666667,1,69.34,0,6.3700000000000045,1
2016-10-01,0,0.132,3.16,69.78,4.2525,1,3.6166666666666667,1,3.24,1,368.2708333333333,1,299.425,1,69.98,0,6.330000000000005,1
2016-11-01,0,0.13,3.38,70.84,4.15,1,3.475,1,3.16,1,354.67333333333335,1,288.705,1,69.78,0,5.840000000000003,1
2016-12-01,11.281860013971592,0.124,3.3,69.84,4.056666666666667,1,3.341666666666667,1,3.38,1,342.235,1,277.79499999999996,1,70.84,0,6.549999999999997,1
2017-01-01,-28.010796177211613,0.116,2.91,69.82,3.875,1,3.2816666666666667,1,3.3,1,324.34916666666663,1,272.4866666666667,1,69.84,0,4.340000000000003,1
2017-02-01,0,0.109,2.8,70.39,3.6675,1,3.19,1,2.91,1,306.39666666666665,1,266.455,1,69.82,0,3.319999999999993,1
2017-03-01,0,0.102,2.64,71.24,3.4591666666666665,1,3.131666666666667,1,2.8,1,287.5958333333333,1,260.58,1,70.39,0,3.730000000000004,1
2017-04-01,1.6484414217184846,0.097,2.59,71.37,3.3241666666666667,1,3.0316666666666667,1,2.64,1,276.165,1,252.905,1,71.24,0,4.909999999999997,1
2017-05-01,0,0.094,2.82,72.34,3.2058333333333335,1,2.9366666666666665,1,2.59,1,266.3875,1,244.07,1,71.37,0,4.75,1
2017-06-01,10.153282284157076,0.089,2.84,72.74,3.0925,1,2.8433333333333333,1,2.82,1,256.09749999999997,1,234.4,1,72.34,0,4.760000000000005,1
2017-07-01,-22.34058595088137,0.081,2.63,73.18,3.0241666666666664,1,2.7666666666666666,1,2.84,1,250.33249999999998,1,228.17833333333334,1,72.74,0,5.22999999999999,1
2017-08-01,0,0.076,2.65,73.61,2.955,1,2.7199999999999998,1,2.63,1,243.9175,1,221.38,1,73.18,0,4.480000000000004,1
2017-09-01,0,0.071,2.4,73.71,2.913333333333333,1,2.695,1,2.65,1,238.71,1,216.84,1,73.61,0,4.269999999999996,1
2017-10-01,3.1328391780045486,0.069,2.37,74.11,2.8433333333333333,1,2.655,1,2.4,0,232.54083333333332,1,212.17666666666668,1,73.71,0,3.7299999999999898,1
2017-11-01,0,0.067,2.34,74.02,2.7775,1,2.618333333333333,0,2.37,0,224.4525,1,204.835,1,74.11,0,4.329999999999998,1
2017-12-01,0,0.066,2.32,73.72,2.6908333333333334,0,2.538333333333333,0,2.34,0,214.52916666666667,1,194.65833333333333,1,74.02,0,3.1799999999999926,1
2018-01-01,0,0.065,2.17,74.04,2.6091666666666664,0,2.4516666666666667,0,2.32,0,205.02166666666668,1,181.865,0,73.72,0,3.8799999999999955,1
2018-02-01,0,0.064,2.26,74.5,2.5475,0,2.375,0,2.17,0,196.42333333333335,0,171.46666666666667,0,74.04,0,4.220000000000013,1
2018-03-01,0,0.061,2.38,74.6,2.5025,0,2.31,0,2.26,0,191.03916666666666,0,165.23833333333334,0,74.5,1,4.109999999999999,1
2018-04-01,0,0.061,2.42,74.96,2.480833333333333,0,2.3066666666666666,0,2.38,0,186.18,0,160.18333333333334,0,74.6,1,3.3599999999999994,1
2018-05-01,20.692701438441546,0.067,2.99,76.12,2.466666666666667,0,2.315,0,2.42,0,182.765,0,160.695,0,74.96,1,3.589999999999989,1
2018-06-01,0,0.068,3.26,76.13,2.4808333333333334,0,2.4233333333333333,0,2.99,1,182.51166666666666,0,170.365,0,76.12,1,3.780000000000001,1
2018-07-01,0,0.067,2.63,75.95,2.515833333333333,0,2.58,0,3.26,1,185.09083333333334,0,188.31666666666666,0,76.13,1,3.3900000000000006,1
2018-08-01,-0.2181083901877847,0.073,3.37,76.02,2.515833333333333,0,2.6566666666666667,1,2.63,1,185.44416666666666,0,199.42166666666668,1,75.95,1,2.769999999999996,1
2018-09-01,-6.246668067878309,0.071,2.89,75.99,2.575833333333333,0,2.841666666666667,1,3.37,1,194.27916666666667,0,223.32,1,76.02,1,2.4099999999999966,1
2018-10-01,0,0.065,2.56,75.29,2.6166666666666667,0,2.9266666666666667,1,2.89,1,199.55,1,238.91666666666669,1,75.99,1,2.280000000000001,0
2018-11-01,-0.5594409037203341,0.065,2.65,75.69,2.6325,0,2.95,1,2.56,0,202.215,1,243.735,1,75.29,1,1.1800000000000068,0
2018-12-01,-1.6850123662886334,0.064,2.73,75.27,2.658333333333333,0,2.8933333333333335,1,2.65,1,205.315,1,240.26500000000001,1,75.69,1,1.6700000000000017,0
