a,b,n,concordancia,kappa
embi_ma12,embi_ma6,141,0.8581560283687943,0.7163548581774292
embi_ma12,embi_ma1,141,0.7872340425531915,0.5746178600160903
embi_ma12,cds_ma12,141,0.8297872340425532,0.6595573440643864
embi_ma12,cds_ma6,141,0.8226950354609929,0.6454792316202353
embi_ma12,dbgg_lvl,141,0.4326241134751773,-0.1341242710637441
embi_ma12,dbgg_d12,140,0.5857142857142857,0.17142857142857149
embi_ma6,embi_ma1,147,0.8979591836734694,0.7960033305578684
embi_ma6,cds_ma12,141,0.7446808510638298,0.4894387447193723
embi_ma6,cds_ma6,147,0.8571428571428571,0.7142460427658983
embi_ma6,dbgg_lvl,147,0.48299319727891155,-0.0332963374028857
embi_ma6,dbgg_d12,140,0.6428571428571429,0.2857142857142858
embi_ma1,cds_ma12,141,0.6879432624113475,0.37610619469026557
embi_ma1,cds_ma6,147,0.7959183673469388,0.5918933925596891
embi_ma1,dbgg_lvl,152,0.48026315789473684,-0.03947368421052633
embi_ma1,dbgg_d12,140,0.6571428571428571,0.3142857142857143
cds_ma12,cds_ma6,141,0.8368794326241135,0.6738408930906166
cds_ma12,dbgg_lvl,141,0.3333333333333333,-0.3325960184998994
cds_ma12,dbgg_d12,140,0.5428571428571428,0.08571428571428563
cds_ma6,dbgg_lvl,147,0.3673469387755102,-0.26501341722957344
cds_ma6,dbgg_d12,140,0.6071428571428571,0.2142857142857142
dbgg_lvl,dbgg_d12,140,0.4,-0.19999999999999996
