indicador,regime,n,yield_6m_medio,share_aperto,z_nao_nulo,share_covid
embi_ma12,alto,70,0.09941428571428572,0.44285714285714284,34,0.18571428571428572
embi_ma12,baixo,71,0.09715492957746479,0.4084507042253521,24,0.04225352112676056
embi_ma6,alto,72,0.09975,0.4722222222222222,34,0.18055555555555555
embi_ma6,baixo,75,0.09682666666666667,0.4,26,0.04
embi_ma1,alto,75,0.10066666666666667,0.44,32,0.17333333333333334
embi_ma1,baixo,77,0.09474025974025974,0.45454545454545453,29,0.03896103896103896
cds_ma12,alto,70,0.10271428571428572,0.3142857142857143,28,0.11428571428571428
cds_ma12,baixo,71,0.09390140845070423,0.5352112676056338,30,0.11267605633802817
cds_ma6,alto,73,0.10327397260273972,0.3561643835616438,34,0.1232876712328767
cds_ma6,baixo,74,0.09331081081081082,0.5135135135135135,26,0.0945945945945946
dbgg_lvl,alto,76,0.08290789473684211,0.5263157894736842,38,0.21052631578947367
dbgg_lvl,baixo,76,0.11242105263157895,0.3684210526315789,23,0
dbgg_d12,alto,70,0.09722857142857143,0.4714285714285714,32,0.17142857142857143
dbgg_d12,baixo,70,0.09912857142857143,0.37142857142857144,25,0.05714285714285714
