var,indicador,L,h,n,n_alto,n_baixo,b_alto,se_alto,b_baixo,se_baixo,dif,se_dif,t_dif,F_alto,F_baixo,flag_alto,flag_baixo,rf_alto,rf_se_alto,rf_baixo,rf_se_baixo
yield_6m,cds_ma12,2,0,141,70,71,0.005000000000104592,2.4289913763272135e-13,0.004999999999989769,1.2383142544349499e-14,1.1482308159838084e-13,2.432032873721656e-13,0.47212799974480213,11.514735464308368,19.203526219215853,ok,ok,1.524669563486153e-4,4.4921482800865245e-5,3.7485380599451296e-4,8.540771559917377e-5
yield_6m,cds_ma12,2,1,140,70,70,0.004936965802112355,0.0010885638428826893,0.004901544046402933,6.331682526674775e-4,3.5421755709422013e-5,0.0012547577105941285,0.02822995659668016,11.73555953153312,19.311425586911078,ok,ok,1.5054482988589857e-4,5.986233524204897e-5,3.675409511306252e-4,1.0063025742718333e-4
yield_6m,cds_ma12,2,2,139,70,69,0.0052122745431734075,0.0017274287988358285,0.006023161896904412,9.429225454672703e-4,-8.108873537310043e-4,0.001962777313630168,-0.41313263002376127,11.621406181662561,19.144832944278807,ok,ok,1.589399270459646e-4,7.861280044208017e-5,4.501066874427859e-4,1.1499164831772241e-4
yield_6m,cds_ma12,2,3,138,70,68,0.005416511647172229,0.0019215087321529276,0.007337368524862314,0.0011786003767740882,-0.001920856877690085,0.002294842894656142,-0.8370319738066012,11.651231809397665,19.330773479336234,ok,ok,1.6516780896956573e-4,9.211286936455937e-5,5.470089111585734e-4,1.3541014507777212e-4
yield_6m,cds_ma12,2,4,137,70,67,0.00729078863002087,0.0024939402173665436,0.006500739628688734,0.0015375725659240354,7.900490013321359e-4,0.002880309632537879,0.27429308030193034,11.972464952813931,19.342524608199525,ok,ok,2.2232087034775028e-4,1.2082894895093168e-4,4.835003666700372e-4,1.8450781819033242e-4
yield_6m,cds_ma12,2,5,136,70,66,0.006200017777960056,0.0026758224487652645,0.005432590316847836,0.002116496000842002,7.674274611122198e-4,0.003367852107021481,0.2278685158152418,11.703355861337302,19.970774546317525,ok,ok,1.8905956797482526e-4,1.2236797992191354e-4,4.0434365227241635e-4,2.3260883022811828e-4
yield_6m,cds_ma12,2,6,135,70,65,0.007359265007489739,0.003122647245297913,0.004900509221212133,0.0027160215370502293,0.0024587557862776064,0.004144992052450835,0.5931870930425073,11.586230794546797,19.929124991314037,ok,ok,2.2440894731810823e-4,1.3381952694185105e-4,3.6324980425138376e-4,2.717591281658539e-4
yield_6m,cds_ma12,2,7,134,70,64,0.011989549048907975,0.0043543978079575146,0.005242267427423713,0.002845504807720548,0.006747281621484262,0.005055005019805336,1.3347724868815452,11.386298221634373,24.391696804491254,ok,ok,3.656020102647678e-4,2.0096890822946412e-4,4.0192012688509103e-4,2.885977537498036e-4
yield_6m,cds_ma12,2,8,133,70,63,0.010959041197270382,0.004337818029939983,0.004871450108889804,0.0032737845201236833,0.006087591088380578,0.0051994412659272325,1.170816396806621,11.164778059828558,25.2266633900881,ok,ok,3.341783311418822e-4,2.0148132160797521e-4,3.7350680119535833e-4,3.1765877020105784e-4
yield_6m,cds_ma12,2,9,132,70,62,0.009184866552905077,0.0048878194345450135,0.0025937908115543,0.005121802294786538,0.006591075741350778,0.006765706926014842,0.9741887748651085,11.200002082868274,19.82779388726744,ok,ok,2.8007772953718424e-4,2.0343620687665324e-4,1.970246533646268e-4,4.328561592760421e-4
yield_6m,cds_ma12,2,10,131,70,61,0.008536502258216387,0.00592328551781821,0.004452796472322689,0.004018756862450519,0.004083705785893698,0.006538381318495867,0.6245744301179946,11.73211957497008,21.79105191970143,ok,ok,2.6030690341628804e-4,2.2312926451491103e-4,3.496460734630272e-4,3.8658332403814855e-4
