var,indicador,h,n_alto,n_baixo,F_alto,F_baixo,flag_alto,flag_baixo
yield_6m,cds_ma12,0,70,71,11.514735464308368,19.203526219215853,ok,ok
yield_6m,cds_ma12,1,70,70,11.73555953153312,19.311425586911078,ok,ok
yield_6m,cds_ma12,2,70,69,11.621406181662561,19.144832944278807,ok,ok
yield_6m,cds_ma12,3,70,68,11.651231809397665,19.330773479336234,ok,ok
yield_6m,cds_ma12,4,70,67,11.972464952813931,19.342524608199525,ok,ok
yield_6m,cds_ma12,5,70,66,11.703355861337302,19.970774546317525,ok,ok
yield_6m,cds_ma12,6,70,65,11.586230794546797,19.929124991314037,ok,ok
yield_6m,cds_ma12,7,70,64,11.386298221634373,24.391696804491254,ok,ok
yield_6m,cds_ma12,8,70,63,11.164778059828558,25.2266633900881,ok,ok
yield_6m,cds_ma12,9,70,62,11.200002082868274,19.82779388726744,ok,ok
yield_6m,cds_ma12,10,70,61,11.73211957497008,21.79105191970143,ok,ok
yield_6m,cds_ma12,11,70,60,12.229939815946386,22.591182292953587,ok,ok
yield_6m,cds_ma12,12,70,59,12.80169034167773,25.34863446538902,ok,ok
yield_6m,cds_ma12,13,70,58,13.33444137585383,34.266457050047705,ok,ok
yield_6m,cds_ma12,14,70,57,13.686000890430574,40.321677993581766,ok,ok
yield_6m,cds_ma12,15,70,56,14.190048042742854,42.25044063379191,ok,ok
yield_6m,cds_ma12,16,70,55,14.970641196651206,44.69111191234743,ok,ok
yield_6m,cds_ma12,17,70,54,15.605420271296154,46.18358691230766,ok,ok
yield_6m,cds_ma12,18,70,53,16.321507389041198,46.74535147813573,ok,ok
yield_6m,cds_ma12,19,70,52,17.01179553084972,47.89403073590069,ok,ok
yield_6m,cds_ma12,20,70,51,17.816876324590307,48.23356763603332,ok,ok
yield_6m,cds_ma12,21,70,50,18.774137468362618,48.4605433781664,ok,ok
yield_6m,cds_ma12,22,70,49,19.715321605293404,47.76751562650987,ok,ok
yield_6m,cds_ma12,23,69,49,20.53031540204058,49.39373237295315,ok,ok
yield_6m,cds_ma12,24,68,49,21.635594869474804,51.297950727014836,ok,ok
cambio_usd,cds_ma12,0,70,71,10.916747669454267,19.820740378837634,ok,ok
cambio_usd,cds_ma12,1,70,70,10.883644149557849,19.96842105149046,ok,ok
cambio_usd,cds_ma12,2,70,69,10.562351808525992,19.939923696344344,ok,ok
cambio_usd,cds_ma12,3,70,68,10.365293468174885,20.2562881413328,ok,ok
cambio_usd,cds_ma12,4,70,67,10.260720194395196,20.320569991093855,ok,ok
cambio_usd,cds_ma12,5,70,66,9.958950287189815,20.88071886601659,FRACO,ok
cambio_usd,cds_ma12,6,70,65,9.797293147889281,20.790345681059943,FRACO,ok
cambio_usd,cds_ma12,7,70,64,9.614225502320583,28.450144481858896,FRACO,ok
cambio_usd,cds_ma12,8,70,63,9.414411780935238,29.510275345479027,FRACO,ok
cambio_usd,cds_ma12,9,70,62,9.376626092344951,20.33851365485105,FRACO,ok
cambio_usd,cds_ma12,10,70,61,9.69989494993755,26.014750902785444,FRACO,ok
cambio_usd,cds_ma12,11,70,60,10.01355898199262,26.25320275704197,ok,ok
cambio_usd,cds_ma12,12,70,59,10.373324762605089,29.03779355143171,ok,ok
cambio_usd,cds_ma12,13,70,58,10.697490075799209,46.42377158161963,ok,ok
cambio_usd,cds_ma12,14,70,57,10.904906028523241,52.17564710144837,ok,ok
cambio_usd,cds_ma12,15,70,56,11.214781740610626,54.47740528379859,ok,ok
cambio_usd,cds_ma12,16,70,55,11.718529080079263,54.122058068596886,ok,ok
cambio_usd,cds_ma12,17,70,54,12.114222190892143,56.09311047530682,ok,ok
cambio_usd,cds_ma12,18,70,53,12.517576964315442,54.14056073908197,ok,ok
cambio_usd,cds_ma12,19,70,52,12.926679933381742,55.67713251098176,ok,ok
cambio_usd,cds_ma12,20,70,51,13.36266851500239,56.18058540629824,ok,ok
cambio_usd,cds_ma12,21,70,50,13.856761246003893,55.13971200801006,ok,ok
cambio_usd,cds_ma12,22,70,49,14.356020675846306,81.72216630059289,ok,ok
cambio_usd,cds_ma12,23,69,49,15.041143285754963,84.30896960473106,ok,ok
cambio_usd,cds_ma12,24,68,49,15.613988953199216,87.29362563295786,ok,ok
embi_perc,cds_ma12,0,70,71,12.026391617276143,19.972945651848846,ok,ok
embi_perc,cds_ma12,1,70,70,12.997003982934897,20.134453712846135,ok,ok
embi_perc,cds_ma12,2,70,69,13.31749174269387,20.15977994566542,ok,ok
embi_perc,cds_ma12,3,70,68,13.88502406709522,20.588122442008174,ok,ok
embi_perc,cds_ma12,4,70,67,15.093531077814045,20.79447343305376,ok,ok
embi_perc,cds_ma12,5,70,66,14.901932707863883,21.62884692462874,ok,ok
