variant,r,q,p,variable,h,point,lo68,hi68,lo90,hi90
drop_eua,4,3,6,yield_6m,0,0.005,0.005,0.005,0.005,0.005
drop_eua,4,3,6,yield_6m,1,0.005884501546840655,0.004982415680259263,0.006556104100510983,0.0043926856316292675,0.007212218372338877
drop_eua,4,3,6,yield_6m,2,0.006655178985788074,0.00453770105193447,0.007613299913172098,0.0033131142384540796,0.008522295448867815
drop_eua,4,3,6,yield_6m,3,0.007322954566639387,0.004633676761160302,0.008463164757373798,0.0027367385182173374,0.00981735255687633
drop_eua,4,3,6,yield_6m,4,0.007642588163988994,0.003945355764269775,0.008758198096277,0.0019010609590177103,0.010412851797116394
drop_eua,4,3,6,yield_6m,5,0.00825818694027362,0.004458999452207623,0.009724301490194119,0.0020597463973810203,0.011527918587890084
drop_eua,4,3,6,yield_6m,6,0.009108480612026583,0.004937716029076427,0.01091636744596715,0.002774822346963073,0.013178719991070852
drop_eua,4,3,6,yield_6m,7,0.009543471099479063,0.005088153718602611,0.011718264692101039,0.0028373021082483047,0.014236217239297942
drop_eua,4,3,6,yield_6m,8,0.009881982741584255,0.0053929585743454495,0.012354616355356892,0.003018777826249162,0.015195485802110803
drop_eua,4,3,6,yield_6m,9,0.010142774929003643,0.005632116667776103,0.012910205266016325,0.003425133153311656,0.016188837685082242
drop_eua,4,3,6,yield_6m,10,0.010382884553785951,0.005822619281405627,0.013445423300554309,0.003634858273107624,0.01673257313249249
drop_eua,4,3,6,yield_6m,11,0.010699121488809709,0.00619428689357874,0.014069272516353329,0.0037846906994282205,0.017261854341493972
drop_eua,4,3,6,yield_6m,12,0.010961094977327559,0.006493774325663693,0.014721890929119717,0.004222462173211643,0.018418920379421364
drop_eua,4,3,6,yield_6m,13,0.011072137307796624,0.006619810975170266,0.015066263396503137,0.0043380986846333165,0.018749111592475998
drop_eua,4,3,6,yield_6m,14,0.011138800118444672,0.0067057672881228915,0.015290858874325911,0.004313115197847847,0.019245282189493864
drop_eua,4,3,6,yield_6m,15,0.011155844171623894,0.006580225549184451,0.01561856277589105,0.004190347916443665,0.020113127543645776
drop_eua,4,3,6,yield_6m,16,0.011103647998324384,0.006551635132605742,0.015641720800768654,0.004091571766902401,0.02013452080892174
drop_eua,4,3,6,yield_6m,17,0.01102262944783345,0.006497383697093609,0.015602503957805281,0.003813890404696404,0.02026029193178266
drop_eua,4,3,6,yield_6m,18,0.010890040327071407,0.006323121158826481,0.01565547388074573,0.003653941185537852,0.020838587092434045
drop_eua,4,3,6,yield_6m,19,0.010680306373832523,0.005932226972957854,0.015498387461704953,0.003385763917238905,0.02103067243791809
drop_eua,4,3,6,yield_6m,20,0.010422208194806172,0.005574354981628279,0.015531374468548362,0.0030719105952193735,0.021045269061352567
drop_eua,4,3,6,yield_6m,21,0.010120046067053254,0.005138385225838016,0.015508926955820283,0.0026458308548916974,0.02088545090801857
drop_eua,4,3,6,yield_6m,22,0.00977220798491029,0.00484604298142251,0.015150822522147103,0.0021340282820383315,0.020994193520484566
drop_eua,4,3,6,yield_6m,23,0.009388853121975262,0.004221209699546385,0.014728782510173295,0.0018332771587586687,0.02060958936892229
drop_eua,4,3,6,yield_6m,24,0.008968849922433722,0.003646283939861613,0.014411851605884336,0.0013188355743272815,0.020419014299771634
drop_eua,4,3,6,yield_6m,25,0.00851333072017234,0.003120295710449858,0.014189057577447553,8.079414552474431e-4,0.020125244527361443
drop_eua,4,3,6,yield_6m,26,0.008031892813068514,0.002645332551973142,0.013736552835677679,4.412957450751664e-4,0.01958639877858223
drop_eua,4,3,6,yield_6m,27,0.007528075440515813,0.0020418768002552004,0.01329544447194172,-1.616976624468544e-5,0.01924012895242032
drop_eua,4,3,6,yield_6m,28,0.0070056712745465675,0.0013289110516453175,0.012709245299081838,-6.652013388176689e-4,0.01860554989908189
drop_eua,4,3,6,yield_6m,29,0.0064703672953703596,7.384740937099845e-4,0.01193462873196778,-0.001207397334392282,0.017996856567655293
drop_eua,4,3,6,yield_6m,30,0.005924577281844067,1.5562104984888933e-4,0.011452226154476882,-0.0018750478619142248,0.017908198108055915
