variant,r,q,p,n_series,n_months,n_obs_align,xi_mp,xi_mp_reestimated,old_grid_reused,old_grid_xi_difference,f_robust_mp,max_companion_root,stable
baseline,1,1,6,104,153,147,3.163965848230474,3.163965848230474,FALSE,NA,4.258750122972946,0.8902644943062368,TRUE
baseline,2,1,6,104,153,147,0.06263737175035856,0.06263737175035856,FALSE,NA,0.0581304665067778,0.9698323346482848,TRUE
baseline,2,2,6,104,153,147,6.323758316680257,6.323758316680257,FALSE,NA,16.348012472351407,0.9698323346482848,TRUE
baseline,3,1,6,104,153,147,4.551383295636041,4.551383295636041,FALSE,NA,4.344628537236993,0.9719535754956166,TRUE
baseline,3,2,6,104,153,147,4.510516744337061,4.510516744337061,FALSE,NA,7.219936200224819,0.9719535754956166,TRUE
baseline,3,3,6,104,153,147,4.822492079738951,4.822492079738951,FALSE,NA,7.4205020150133345,0.9719535754956166,TRUE
baseline,4,1,6,104,153,147,3.577680957216184,3.577680957216184,FALSE,NA,3.712383179635818,0.9614665554619068,TRUE
baseline,4,2,6,104,153,147,3.1690894343165357,3.1690894343165357,FALSE,NA,4.1100689477201,0.9614665554619068,TRUE
baseline,4,3,6,104,153,147,5.137343076013559,5.137343076013559,FALSE,NA,8.708690910030027,0.9614665554619068,TRUE
baseline,4,4,6,104,153,147,5.454428564666075,5.454428564666075,FALSE,NA,9.422238305364,0.9614665554619068,TRUE
baseline,5,1,6,104,153,147,4.9536740260443874,4.9536740260443874,FALSE,NA,6.104311722467073,0.9644786390410576,TRUE
baseline,5,2,6,104,153,147,3.793131751461995,3.793131751461995,FALSE,NA,4.752681511005456,0.9644786390410576,TRUE
baseline,5,3,6,104,153,147,3.241533620505749,3.241533620505749,TRUE,4.440892098500626e-16,3.789430537750553,0.9644786390410576,TRUE
baseline,5,4,6,104,153,147,4.883710497888623,4.883710497888623,TRUE,0,6.92554993604116,0.9644786390410576,TRUE
baseline,5,5,6,104,153,147,6.182997408831719,6.182997408831719,TRUE,0,10.280425434053754,0.9644786390410576,TRUE
baseline,6,1,6,104,153,147,5.165139228918099,5.165139228918099,FALSE,NA,5.841046337670061,0.9767499879530092,TRUE
baseline,6,2,6,104,153,147,2.577635654903169,2.577635654903169,FALSE,NA,2.4385021132208196,0.9767499879530092,TRUE
baseline,6,3,6,104,153,147,1.9872509469746504,1.9872509469746504,TRUE,2.220446049250313e-16,1.7567440463820292,0.9767499879530092,TRUE
baseline,6,4,6,104,153,147,4.4307185075430215,4.4307185075430215,TRUE,0,4.4968837824984025,0.9767499879530092,TRUE
baseline,6,5,6,104,153,147,5.168301585472553,5.168301585472553,TRUE,0,5.434784108958893,0.9767499879530092,TRUE
baseline,6,6,6,104,153,147,7.993486516924326,7.993486516924326,TRUE,0,10.143598392139015,0.9767499879530092,TRUE
baseline,7,1,6,104,153,147,4.713376136375309,4.713376136375309,FALSE,NA,4.3211112710434385,0.9771288209587666,TRUE
baseline,7,2,6,104,153,147,3.2106145430437083,3.2106145430437083,FALSE,NA,2.7168518911422663,0.9771288209587666,TRUE
baseline,7,3,6,104,153,147,3.127556975592608,3.127556975592608,TRUE,0,2.63433949850783,0.9771288209587666,TRUE
baseline,7,4,6,104,153,147,6.970708368240727,6.970708368240727,TRUE,0,6.657314373576913,0.9771288209587666,TRUE
baseline,7,5,6,104,153,147,7.836658621639616,7.836658621639616,TRUE,0,8.048839605432178,0.9771288209587666,TRUE
baseline,7,6,6,104,153,147,7.941778825997358,7.941778825997358,TRUE,0,8.01727475960494,0.9771288209587666,TRUE
baseline,7,7,6,104,153,147,10.96677200547431,10.96677200547431,TRUE,0,12.174101423817373,0.9771288209587666,TRUE
baseline,8,1,6,104,153,147,4.9379369236058,4.9379369236058,FALSE,NA,4.0237675922775535,0.970211174424493,TRUE
baseline,8,2,6,104,153,147,3.2390349687744187,3.2390349687744187,FALSE,NA,2.5577486436101964,0.970211174424493,TRUE
baseline,8,3,6,104,153,147,7.881646908890779,7.881646908890779,TRUE,0,7.503549245511711,0.970211174424493,TRUE
baseline,8,4,6,104,153,147,7.628463626521136,7.628463626521136,TRUE,0,7.178845686735513,0.970211174424493,TRUE
baseline,8,5,6,104,153,147,8.834926428711979,8.834926428711979,TRUE,0,9.127886867950432,0.970211174424493,TRUE
baseline,8,6,6,104,153,147,8.67964313749306,8.67964313749306,TRUE,0,8.852361808862494,0.970211174424493,TRUE
baseline,8,7,6,104,153,147,9.032727338289694,9.032727338289694,TRUE,0,8.889357774102534,0.970211174424493,TRUE
baseline,8,8,6,104,153,147,11.4187278769509,11.4187278769509,TRUE,0,11.789228512114306,0.970211174424493,TRUE
conjunto_completo_sem_duplicatas,1,1,6,123,153,147,3.497361780984346,3.497361780984346,FALSE,NA,5.0348730667889505,0.894919686187402,TRUE
conjunto_completo_sem_duplicatas,2,1,6,123,153,147,0.3804294317765425,0.3804294317765425,FALSE,NA,0.37321733505639104,0.9674154773183364,TRUE
conjunto_completo_sem_duplicatas,2,2,6,123,153,147,6.3270478496095635,6.3270478496095635,FALSE,NA,16.29959418596909,0.9674154773183364,TRUE
