variant,r,q,variable,h,point
baseline,1,1,asset_ibov,0,94.92972495237464
baseline,1,1,asset_ibov,1,198.375290674233
baseline,1,1,asset_ibov,2,279.5093062968303
baseline,1,1,asset_ibov,3,345.4537709549634
baseline,1,1,asset_ibov,4,405.11795695832893
baseline,1,1,asset_ibov,5,454.7876846455005
baseline,1,1,asset_ibov,6,497.18603142375
baseline,1,1,cambio_usd,0,2.3426110353084746
baseline,1,1,cambio_usd,1,2.552759148257615
baseline,1,1,cambio_usd,2,2.0021699255079555
baseline,1,1,cambio_usd,3,1.627332542079464
baseline,1,1,cambio_usd,4,1.4723521069328178
baseline,1,1,cambio_usd,5,1.225715678193634
baseline,1,1,cambio_usd,6,1.0462774972896227
baseline,1,1,yield_2y,0,0.0201425306892725
baseline,1,1,yield_2y,1,0.02194945243196522
baseline,1,1,yield_2y,2,0.01721530743338787
baseline,1,1,yield_2y,3,0.01399233384306633
baseline,1,1,yield_2y,4,0.01265976171558676
baseline,1,1,yield_2y,5,0.0105391015803384
baseline,1,1,yield_2y,6,0.00899623380962872
baseline,1,1,yield_5y,0,0.04048890529898984
baseline,1,1,yield_5y,1,0.04412103496785685
baseline,1,1,yield_5y,2,0.03460483506844851
baseline,1,1,yield_5y,3,0.02812627115347964
baseline,1,1,yield_5y,4,0.02544764116870177
baseline,1,1,yield_5y,5,0.02118485965867319
baseline,1,1,yield_5y,6,0.01808351017976202
baseline,1,1,yield_6m,0,0.005
baseline,1,1,yield_6m,1,0.00544853394306978
baseline,1,1,yield_6m,2,0.00427337252179449
baseline,1,1,yield_6m,3,0.00347333065018448
baseline,1,1,yield_6m,4,0.00314254497383715
baseline,1,1,yield_6m,5,0.00261613144418623
baseline,1,1,yield_6m,6,0.00223314387561537
baseline,2,1,asset_ibov,0,-26.697243184143865
baseline,2,1,asset_ibov,1,-55.29413962222436
baseline,2,1,asset_ibov,2,-89.02951078317616
baseline,2,1,asset_ibov,3,-122.97883458078994
baseline,2,1,asset_ibov,4,-154.97435286121535
baseline,2,1,asset_ibov,5,-186.46551840702452
baseline,2,1,asset_ibov,6,-218.0015604387087
baseline,2,1,cambio_usd,0,-0.16504829061171586
baseline,2,1,cambio_usd,1,-0.14466277409449543
baseline,2,1,cambio_usd,2,0.0922118035704276
baseline,2,1,cambio_usd,3,0.17931624103424923
baseline,2,1,cambio_usd,4,0.17017495530813925
baseline,2,1,cambio_usd,5,0.2451712986531103
baseline,2,1,cambio_usd,6,0.2844970004265291
baseline,2,1,yield_2y,0,0.00768867392202238
baseline,2,1,yield_2y,1,0.00910467269234407
baseline,2,1,yield_2y,2,0.01784963642025123
baseline,2,1,yield_2y,3,0.02030266426515928
baseline,2,1,yield_2y,4,0.01916610345409694
baseline,2,1,yield_2y,5,0.02096471912413671
baseline,2,1,yield_2y,6,0.02204866476085491
baseline,2,1,yield_5y,0,0.00619735255513179
baseline,2,1,yield_5y,1,0.00778252980999559
baseline,2,1,yield_5y,2,0.01854224279750115
baseline,2,1,yield_5y,3,0.02174098405706825
baseline,2,1,yield_5y,4,0.02053174450986877
baseline,2,1,yield_5y,5,0.02297440425975392
baseline,2,1,yield_5y,6,0.02439517224658232
