variant,r,q,variable,h,point
baseline,1,1,yield_6m,0,0.005
baseline,1,1,yield_6m,1,0.0054485339430697865
baseline,1,1,yield_6m,2,0.004273372521794491
baseline,1,1,yield_6m,3,0.00347333065018448
baseline,1,1,yield_6m,4,0.00314254497383715
baseline,1,1,yield_6m,5,0.002616131444186235
baseline,1,1,yield_6m,6,0.0022331438756153753
baseline,1,1,yield_2y,0,0.020142530689272502
baseline,1,1,yield_2y,1,0.02194945243196522
baseline,1,1,yield_2y,2,0.017215307433387873
baseline,1,1,yield_2y,3,0.013992333843066338
baseline,1,1,yield_2y,4,0.012659761715586769
baseline,1,1,yield_2y,5,0.010539101580338406
baseline,1,1,yield_2y,6,0.008996233809628728
baseline,1,1,yield_5y,0,0.040488905298989845
baseline,1,1,yield_5y,1,0.044121034967856854
baseline,1,1,yield_5y,2,0.03460483506844851
baseline,1,1,yield_5y,3,0.02812627115347964
baseline,1,1,yield_5y,4,0.025447641168701775
baseline,1,1,yield_5y,5,0.021184859658673196
baseline,1,1,yield_5y,6,0.018083510179762022
baseline,1,1,asset_ibov,0,94.92972495237463
baseline,1,1,asset_ibov,1,198.375290674233
baseline,1,1,asset_ibov,2,279.5093062968303
baseline,1,1,asset_ibov,3,345.4537709549634
baseline,1,1,asset_ibov,4,405.11795695832893
baseline,1,1,asset_ibov,5,454.7876846455005
baseline,1,1,asset_ibov,6,497.18603142374997
baseline,1,1,cambio_usd,0,2.3426110353084746
baseline,1,1,cambio_usd,1,2.552759148257615
baseline,1,1,cambio_usd,2,2.0021699255079555
baseline,1,1,cambio_usd,3,1.627332542079464
baseline,1,1,cambio_usd,4,1.4723521069328178
baseline,1,1,cambio_usd,5,1.225715678193634
baseline,1,1,cambio_usd,6,1.0462774972896227
baseline,3,2,yield_6m,0,0.005
baseline,3,2,yield_6m,1,0.0033341088723188874
baseline,3,2,yield_6m,2,-9.729490028692249e-5
baseline,3,2,yield_6m,3,-6.375570385673229e-4
baseline,3,2,yield_6m,4,-0.0019744954485299425
baseline,3,2,yield_6m,5,-0.002136489004421086
baseline,3,2,yield_6m,6,-0.0014579867479637095
baseline,3,2,yield_2y,0,0.010989961191343758
baseline,3,2,yield_2y,1,0.010754640761676528
baseline,3,2,yield_2y,2,0.006423646602470547
baseline,3,2,yield_2y,3,0.006372906124613517
baseline,3,2,yield_2y,4,0.005063925502356457
baseline,3,2,yield_2y,5,0.004764110085903532
baseline,3,2,yield_2y,6,0.005649331273741502
baseline,3,2,yield_5y,0,0.013760923198511134
baseline,3,2,yield_5y,1,0.014806343118754384
baseline,3,2,yield_5y,2,0.010272432237319322
baseline,3,2,yield_5y,3,0.01033694910468929
baseline,3,2,yield_5y,4,0.009046979038920348
baseline,3,2,yield_5y,5,0.008624817555543906
baseline,3,2,yield_5y,6,0.009460392081996236
baseline,3,2,asset_ibov,0,-7.690061302088479
baseline,3,2,asset_ibov,1,-12.33488671458787
baseline,3,2,asset_ibov,2,-14.429971136895098
baseline,3,2,asset_ibov,3,-18.27817696251229
baseline,3,2,asset_ibov,4,-22.339887560553095
baseline,3,2,asset_ibov,5,-26.74054997808956
baseline,3,2,asset_ibov,6,-32.58040753041829
baseline,3,2,cambio_usd,0,0.316161180027752
baseline,3,2,cambio_usd,1,0.443384760312172
baseline,3,2,cambio_usd,2,0.40026444623653623
baseline,3,2,cambio_usd,3,0.40520238340452963
baseline,3,2,cambio_usd,4,0.3966123014394657
baseline,3,2,cambio_usd,5,0.3819211384175231
baseline,3,2,cambio_usd,6,0.3793818450506081
baseline,4,3,yield_6m,0,0.005
baseline,4,3,yield_6m,1,0.005337427390689906
baseline,4,3,yield_6m,2,0.005117813178780185
baseline,4,3,yield_6m,3,0.005406678160484156
baseline,4,3,yield_6m,4,0.005527409944121421
baseline,4,3,yield_6m,5,0.005979727404302395
baseline,4,3,yield_6m,6,0.006827306765136089
baseline,4,3,yield_2y,0,0.008614516197058218
baseline,4,3,yield_2y,1,0.009721671205989681
baseline,4,3,yield_2y,2,0.008706692289377139
baseline,4,3,yield_2y,3,0.009438146138154828
baseline,4,3,yield_2y,4,0.00989150572826494
baseline,4,3,yield_2y,5,0.010389811067709951
baseline,4,3,yield_2y,6,0.011257607447472142
baseline,4,3,yield_5y,0,0.0094773937049446675
baseline,4,3,yield_5y,1,0.010811693432702992
baseline,4,3,yield_5y,2,0.00895810463615518
baseline,4,3,yield_5y,3,0.00983793652206774
baseline,4,3,yield_5y,4,0.010374480032981047
baseline,4,3,yield_5y,5,0.010876688364536279
baseline,4,3,yield_5y,6,0.011556116879171739
baseline,4,3,asset_ibov,0,-1.6165020384863857
baseline,4,3,asset_ibov,1,-1.5503313384467858
baseline,4,3,asset_ibov,2,2.071527738637907
baseline,4,3,asset_ibov,3,3.187910015125719
baseline,4,3,asset_ibov,4,3.386639009176838
baseline,4,3,asset_ibov,5,3.054062633744333
baseline,4,3,asset_ibov,6,3.0771580795141946
baseline,4,3,cambio_usd,0,0.23578506468551216
baseline,4,3,cambio_usd,1,0.3085753958093073
baseline,4,3,cambio_usd,2,0.29882640165690766
baseline,4,3,cambio_usd,3,0.29605601128085446
baseline,4,3,cambio_usd,4,0.3058090172606031
baseline,4,3,cambio_usd,5,0.3043240416138556
baseline,4,3,cambio_usd,6,0.31371182638299866
baseline,5,3,yield_6m,0,0.005
baseline,5,3,yield_6m,1,0.007167022216974492
baseline,5,3,yield_6m,2,0.004905568764662783
