variant,r,q,p,n_series,n_months,n_obs_align,xi_mp,xi_mp_reestimated,old_grid_reused,old_grid_xi_difference,f_robust_mp,max_companion_root,stable
baseline,1,1,6,104,153,147,3.163965848230474,3.163965848230474,FALSE,NA,4.258750122972946,0.8902644943062368,TRUE
baseline,3,2,6,104,153,147,4.510516744337061,4.510516744337061,FALSE,NA,7.219936200224819,0.9719535754956166,TRUE
baseline,4,3,6,104,153,147,5.137343076013559,5.137343076013559,FALSE,NA,8.708690910030027,0.9614665554619068,TRUE
baseline,5,3,6,104,153,147,3.241533620505749,3.2415336205057486,TRUE,4.440892098500626e-16,3.789430537750553,0.9644786390410577,TRUE
baseline,6,2,6,104,153,147,2.577635654903169,2.577635654903169,FALSE,NA,2.4385021132208196,0.9767499879530092,TRUE
baseline,6,6,6,104,153,147,7.993486516924326,7.993486516924326,TRUE,0,10.143598392139015,0.9767499879530092,TRUE
baseline,7,4,6,104,153,147,6.970708368240727,6.970708368240727,TRUE,0,6.657314373576913,0.9771288209587666,TRUE
baseline,8,1,6,104,153,147,4.9379369236058,4.9379369236058,FALSE,NA,4.0237675922775535,0.970211174424493,TRUE
baseline,8,5,6,104,153,147,8.834926428711979,8.834926428711979,TRUE,0,9.127886867950432,0.970211174424493,TRUE
conjunto_completo_sem_duplicatas,1,1,6,123,153,147,3.497361780984346,3.497361780984346,FALSE,NA,5.0348730667889505,0.894919686187402,TRUE
conjunto_completo_sem_duplicatas,3,2,6,123,153,147,4.261569051124036,4.261569051124036,FALSE,NA,6.6372148355490825,0.9763810265107692,TRUE
conjunto_completo_sem_duplicatas,4,3,6,123,153,147,5.051144003454906,5.051144003454906,FALSE,NA,8.422957533317396,0.9625695997704398,TRUE
conjunto_completo_sem_duplicatas,5,3,6,123,153,147,2.4660005634398443,2.4660005634398443,TRUE,0,2.8005808896796758,0.9650374774623764,TRUE
conjunto_completo_sem_duplicatas,6,2,6,123,153,147,2.4439108562283542,2.4439108562283542,FALSE,NA,2.494856099881471,0.9657187191236339,TRUE
conjunto_completo_sem_duplicatas,6,6,6,123,153,147,5.73129767100295,5.73129767100295,TRUE,0,7.138256054064546,0.9657187191236339,TRUE
conjunto_completo_sem_duplicatas,7,4,6,123,153,147,4.09265820585342,4.09265820585342,TRUE,0,3.874238173060656,0.9732091159708651,TRUE
conjunto_completo_sem_duplicatas,8,1,6,123,153,147,3.7993517264639363,3.7993517264639363,FALSE,NA,3.3228769665192504,0.9839899521922032,TRUE
conjunto_completo_sem_duplicatas,8,5,6,123,153,147,5.580349230679993,5.580349230679993,TRUE,0,5.73349139662567,0.9839899521922032,TRUE
drop_credito,1,1,6,121,153,147,3.7504662450321797,3.7504662450321797,FALSE,NA,5.670343775358668,0.8957345425929715,TRUE
drop_credito,3,2,6,121,153,147,4.228106929337388,4.228106929337388,FALSE,NA,6.531576165410346,0.9745878604376561,TRUE
drop_credito,4,3,6,121,153,147,5.058662069934319,5.058662069934319,FALSE,NA,8.511216822459437,0.9615442418633687,TRUE
drop_credito,5,3,6,121,153,147,2.321573053411566,2.321573053411566,TRUE,0,2.5749561344749217,0.9637120162706788,TRUE
drop_credito,6,2,6,121,153,147,1.856685724014861,1.856685724014861,FALSE,NA,1.7378451844399079,0.9720632578589712,TRUE
drop_credito,6,6,6,121,153,147,6.243563269341017,6.243563269341017,TRUE,0,7.709886136803063,0.9720632578589712,TRUE
drop_credito,7,4,6,121,153,147,3.877537709722852,3.8775377097228523,TRUE,4.440892098500626e-16,3.598542875435314,0.9774692816782676,TRUE
drop_credito,8,1,6,121,153,147,4.166056304452868,4.166056304452868,FALSE,NA,3.704922346121136,0.9838387364423264,TRUE
drop_credito,8,5,6,121,153,147,5.632957875534114,5.632957875534114,TRUE,0,5.710458080332849,0.9838387364423264,TRUE
drop_credito__imoveis,1,1,6,120,153,147,3.7313335880823324,3.7313335880823324,FALSE,NA,5.625738738971781,0.8943243494207236,TRUE
drop_credito__imoveis,3,2,6,120,153,147,4.119230059810055,4.119230059810055,FALSE,NA,6.305572818392803,0.9717386402979952,TRUE
drop_credito__imoveis,4,3,6,120,153,147,5.146142446866404,5.146142446866404,FALSE,NA,8.759060890304783,0.9644990984625078,TRUE
drop_credito__imoveis,5,3,6,120,153,147,2.621607138419365,2.621607138419365,TRUE,0,2.9960250631446868,0.9667194964362334,TRUE
drop_credito__imoveis,6,2,6,120,153,147,2.244722909069196,2.244722909069196,FALSE,NA,2.159381382139966,0.9688548601452431,TRUE
drop_credito__imoveis,6,6,6,120,153,147,6.490437773847828,6.490437773847828,TRUE,0,8.205356309141525,0.9688548601452431,TRUE
drop_credito__imoveis,7,4,6,120,153,147,3.897489275284901,3.8974892752849004,TRUE,4.440892098500626e-16,3.5549515813341146,0.9750060409631846,TRUE
drop_credito__imoveis,8,1,6,120,153,147,4.050962914468666,4.050962914468666,FALSE,NA,3.5018101236842445,0.9853263284140134,TRUE
drop_credito__imoveis,8,5,6,120,153,147,5.7592905179351375,5.7592905179351375,TRUE,0,5.805001638133308,0.9853263284140134,TRUE
drop_eua,1,1,6,118,153,147,3.089635121123386,3.089635121123386,FALSE,NA,4.163746600336067,0.8848102593822791,TRUE
drop_eua,3,2,6,118,153,147,4.455091355073188,4.455091355073188,FALSE,NA,7.23154940849339,0.9753352993968468,TRUE
drop_eua,4,3,6,118,153,147,5.280589997627094,5.280589997627094,FALSE,NA,9.011265265275874,0.969411436395829,TRUE
drop_eua,5,3,6,118,153,147,2.851418971773677,2.851418971773677,TRUE,0,3.3143164774163463,0.9623940229308537,TRUE
drop_eua,6,2,6,118,153,147,2.730275379180334,2.730275379180334,FALSE,NA,2.639830010191295,0.9699801516968033,TRUE
drop_eua,6,6,6,118,153,147,6.477152821124427,6.477152821124427,TRUE,0,7.378820915639783,0.9699801516968033,TRUE
drop_eua,7,4,6,118,153,147,6.050174035982397,6.050174035982397,TRUE,0,6.199390737259843,0.9681499661880058,TRUE
