variant,r,q,p,n_series,n_months_full,n_obs_align_full,xi_mp,xi_mp_reestimated,old_grid_reused,old_grid_xi_difference,f_robust_mp,max_companion_root,stable,bll_r,bll_q,correct_signs_full,sign_errors_full,bll_distance_full,admissible_full,admissible_rank,n_months_pre_covid,n_obs_align_pre_covid,xi_mp_pre_covid,f_robust_mp_pre_covid,max_companion_root_pre_covid,stable_pre_covid,normalized_rmse,sign_agreement,removed_blocks,n_blocks_removed,xi_gt_3_84_pre_covid,parsimony
baseline,4,3,6,104,153,147,5.137343076013559,5.137343076013559,FALSE,NA,8.708690910030027,0.9614665554619068,TRUE,5,3,23,5,1,TRUE,1,84,78,5.862889116563532,7.008027804304518,0.9919792689008998,TRUE,3.713039913488649,0.8571428571428571,fiscal;setor_externo;expectativas;eua;credito;imoveis,6,TRUE,7
conjunto_completo_sem_duplicatas,4,3,6,123,153,147,5.051144003454906,5.051144003454906,FALSE,NA,8.422957533317396,0.9625695997704398,TRUE,4,2,23,5,1,TRUE,1,84,78,10.78460943288469,13.133500298757824,0.9927264546901577,TRUE,1.5176355735611287,0.8571428571428571,none,0,TRUE,7
drop_credito,4,1,6,121,153,147,4.075661749996383,4.075661749996383,FALSE,NA,4.814122422454885,0.9615442418633688,TRUE,4,2,24,4,1,TRUE,1,84,78,4.539027080001226,4.584230315567654,1.002788583971308,FALSE,0.7516840788248458,0.8857142857142857,credito,1,TRUE,5
drop_credito__imoveis,4,1,6,120,153,147,3.993394269169879,3.993394269169879,FALSE,NA,4.647461053116299,0.9644990984625078,TRUE,4,2,23,5,1,TRUE,1,84,78,5.0904122038239406,5.34317508318191,1.0006999455108765,FALSE,0.7821082310026338,0.8571428571428571,credito;imoveis,2,TRUE,5
drop_eua,4,3,6,118,153,147,5.280589997627094,5.280589997627094,FALSE,NA,9.011265265275874,0.969411436395829,TRUE,4,2,23,5,1,TRUE,1,84,78,10.965538804371834,13.52961371534234,1.005942950221244,FALSE,1.1807621035280569,0.8571428571428571,eua,1,TRUE,7
drop_eua__credito,4,3,6,116,153,147,5.225122008235862,5.225122008235862,FALSE,NA,8.952480338866254,0.966152845317509,TRUE,4,3,23,5,0,TRUE,1,84,78,8.958967664164444,10.459510188114907,1.000111396549917,FALSE,1.6315400657259322,0.8571428571428571,eua;credito,2,TRUE,7
drop_eua__credito__imoveis,4,3,6,115,153,147,5.2824659935462694,5.2824659935462694,FALSE,NA,9.121230199589524,0.9574852068848736,TRUE,4,3,23,5,0,TRUE,1,84,78,8.382765952063052,9.721172942899647,0.9972249549923177,TRUE,2.254187886259401,0.8,eua;credito;imoveis,3,TRUE,7
drop_eua__imoveis,4,2,6,117,153,147,3.953019996233252,3.953019996233252,FALSE,NA,5.559403058553396,0.9607886804312348,TRUE,4,2,28,0,0,TRUE,1,84,78,5.67296748612946,5.497004563104704,0.9991614101866639,TRUE,0.607009695226632,1,eua;imoveis,2,TRUE,6
drop_expectativas,3,2,6,119,153,147,3.94748790508538,3.94748790508538,FALSE,NA,5.8618660790341535,0.9761148621693976,TRUE,3,2,24,4,0,TRUE,1,84,78,2.9283930272513485,3.108592060695403,0.987975598020881,TRUE,0.5598760284047191,0.8857142857142857,expectativas,1,FALSE,5
drop_expectativas__credito,3,2,6,117,153,147,3.917443354452831,3.917443354452831,FALSE,NA,5.777180203025785,0.97437740671195,TRUE,3,2,23,5,0,TRUE,1,84,78,2.7086356598635493,2.948189541554515,0.9900922500549095,TRUE,0.5936892439160202,0.8571428571428571,expectativas;credito,2,FALSE,5
drop_expectativas__credito__imoveis,4,3,6,116,153,147,4.623241131217983,4.623241131217983,FALSE,NA,7.339098753049877,0.9642017336567056,TRUE,4,3,23,5,0,TRUE,1,84,78,5.984702638771364,7.004924876551468,0.99319356923229,TRUE,2.0428975886776684,0.8571428571428571,expectativas;credito;imoveis,3,TRUE,7
drop_expectativas__eua,3,3,6,114,153,147,4.948786974587274,4.948786974587274,FALSE,NA,7.826304388237467,0.9749404859500748,TRUE,3,3,28,0,0,TRUE,1,84,78,3.5802116977843044,3.9924973434005935,0.9899730161849496,TRUE,0.20814561717501145,1,expectativas;eua,2,FALSE,6
drop_expectativas__eua__credito,3,3,6,112,153,147,5.301064137602338,5.301064137602338,FALSE,NA,8.685796261131607,0.9728113949412084,TRUE,3,3,28,0,0,TRUE,1,84,78,3.409282136484612,4.0340403640196225,0.9919460339157371,TRUE,0.22793880684877527,1,expectativas;eua;credito,3,FALSE,6
