variant,r,q,xi_mp,xi_mp_reestimated,old_grid_xi_difference
baseline,5,3,3.241533620505749,3.241533620505749,4.440892098500626e-16
baseline,5,4,4.883710497888623,4.883710497888623,0
baseline,5,5,6.182997408831719,6.182997408831719,0
baseline,6,3,1.9872509469746504,1.9872509469746504,2.220446049250313e-16
baseline,6,4,4.4307185075430215,4.4307185075430215,0
baseline,6,5,5.168301585472553,5.168301585472553,0
baseline,6,6,7.993486516924326,7.993486516924326,0
baseline,7,3,3.127556975592608,3.127556975592608,0
baseline,7,4,6.970708368240727,6.970708368240727,0
baseline,7,5,7.836658621639616,7.836658621639616,0
baseline,7,6,7.941778825997358,7.941778825997358,0
baseline,7,7,10.96677200547431,10.96677200547431,0
baseline,8,3,7.881646908890779,7.881646908890779,0
baseline,8,4,7.628463626521136,7.628463626521136,0
baseline,8,5,8.834926428711979,8.834926428711979,0
baseline,8,6,8.67964313749306,8.67964313749306,0
baseline,8,7,9.032727338289694,9.032727338289694,0
baseline,8,8,11.4187278769509,11.4187278769509,0
conjunto_completo_sem_duplicatas,5,3,2.4660005634398443,2.4660005634398443,0
conjunto_completo_sem_duplicatas,5,4,4.1787532252674024,4.1787532252674024,0
conjunto_completo_sem_duplicatas,5,5,5.169840346993228,5.169840346993228,0
conjunto_completo_sem_duplicatas,6,3,3.0780774747927033,3.0780774747927033,0
conjunto_completo_sem_duplicatas,6,4,3.6901252902225106,3.6901252902225106,0
conjunto_completo_sem_duplicatas,6,5,4.123290611515498,4.123290611515498,0
conjunto_completo_sem_duplicatas,6,6,5.73129767100295,5.73129767100295,0
conjunto_completo_sem_duplicatas,7,3,4.9279877916360375,4.9279877916360375,0
conjunto_completo_sem_duplicatas,7,4,4.09265820585342,4.09265820585342,0
conjunto_completo_sem_duplicatas,7,5,4.531234772236819,4.531234772236819,0
conjunto_completo_sem_duplicatas,7,6,4.7407575865647225,4.7407575865647225,0
conjunto_completo_sem_duplicatas,7,7,6.609611534695935,6.609611534695935,0
conjunto_completo_sem_duplicatas,8,3,4.968832160491034,4.968832160491034,0
conjunto_completo_sem_duplicatas,8,4,5.1024198813371555,5.1024198813371555,0
conjunto_completo_sem_duplicatas,8,5,5.580349230679993,5.580349230679993,0
conjunto_completo_sem_duplicatas,8,6,5.609308560337256,5.609308560337256,0
conjunto_completo_sem_duplicatas,8,7,5.550149500685897,5.550149500685897,0
conjunto_completo_sem_duplicatas,8,8,7.359274915337446,7.359274915337446,0
drop_credito,5,3,2.321573053411566,2.321573053411566,0
drop_credito,5,4,4.25023240517987,4.25023240517987,0
drop_credito,5,5,5.600749935733437,5.600749935733437,0
drop_credito,6,3,2.6895466641361434,2.6895466641361434,0
drop_credito,6,4,3.32696511096637,3.32696511096637,4.440892098500626e-16
drop_credito,6,5,4.2338200496770595,4.2338200496770595,0
drop_credito,6,6,6.243563269341017,6.243563269341017,0
drop_credito,7,3,5.54779995689745,5.54779995689745,0
drop_credito,7,4,3.877537709722852,3.877537709722852,4.440892098500626e-16
drop_credito,7,5,4.382788204965341,4.382788204965341,0
drop_credito,7,6,4.632597470418512,4.632597470418512,0
drop_credito,7,7,6.872522578807689,6.872522578807689,0
drop_credito,8,3,5.034465168052173,5.034465168052173,0
drop_credito,8,4,5.1514982716976405,5.1514982716976405,0
drop_credito,8,5,5.632957875534114,5.632957875534114,0
drop_credito,8,6,5.539276071980214,5.539276071980214,0
drop_credito,8,7,5.478215109834437,5.478215109834437,0
drop_credito,8,8,7.769315420775537,7.769315420775537,0
drop_credito__imoveis,5,3,2.621607138419365,2.621607138419365,0
drop_credito__imoveis,5,4,4.583216406438601,4.583216406438601,0
drop_credito__imoveis,5,5,5.63465622452226,5.63465622452226,0
drop_credito__imoveis,6,3,3.5153879228897824,3.5153879228897824,0
drop_credito__imoveis,6,4,3.3852199720877554,3.3852199720877554,0
drop_credito__imoveis,6,5,4.496210637040573,4.496210637040573,0
drop_credito__imoveis,6,6,6.490437773847828,6.490437773847828,0
drop_credito__imoveis,7,3,5.739009600426398,5.739009600426398,0
drop_credito__imoveis,7,4,3.897489275284901,3.897489275284901,4.440892098500626e-16
drop_credito__imoveis,7,5,4.5895981396766095,4.5895981396766095,0
drop_credito__imoveis,7,6,4.922053924194258,4.922053924194258,0
drop_credito__imoveis,7,7,7.304642133149067,7.304642133149067,0
drop_credito__imoveis,8,3,5.058523879490095,5.058523879490095,0
drop_credito__imoveis,8,4,5.104686652266217,5.104686652266217,0
drop_credito__imoveis,8,5,5.7592905179351375,5.7592905179351375,0
drop_credito__imoveis,8,6,5.742966034748527,5.742966034748527,0
drop_credito__imoveis,8,7,5.668012720522286,5.668012720522286,0
drop_credito__imoveis,8,8,8.04625080653778,8.04625080653778,0
drop_eua,5,3,2.851418971773677,2.851418971773677,0
drop_eua,5,4,4.291369891658352,4.291369891658352,0
drop_eua,5,5,5.886715027021007,5.886715027021007,0
drop_eua,6,3,3.514298548897163,3.514298548897163,0
drop_eua,6,4,3.42765707785305,3.42765707785305,4.440892098500626e-16
drop_eua,6,5,4.2609563098326735,4.2609563098326735,0
drop_eua,6,6,6.477152821124427,6.477152821124427,0
drop_eua,7,3,6.828433395810923,6.828433395810923,0
drop_eua,7,4,6.050174035982397,6.050174035982397,0
drop_eua,7,5,6.896413080801699,6.896413080801699,0
drop_eua,7,6,7.146025484035281,7.146025484035281,0
drop_eua,7,7,8.880843067082207,8.880843067082207,0
drop_eua,8,3,7.003058153517966,7.003058153517966,0
drop_eua,8,4,7.214846059647352,7.214846059647352,0
drop_eua,8,5,7.855921526524727,7.855921526524727,0
drop_eua,8,6,7.841773068241414,7.841773068241414,0
drop_eua,8,7,7.897940761749507,7.897940761749507,0
drop_eua,8,8,9.661559169219904,9.661559169219904,0
drop_eua__credito,5,3,2.691675720575395,2.691675720575395,0
drop_eua__credito,5,4,4.270720066608397,4.270720066608397,0
drop_eua__credito,5,5,6.412731246533622,6.412731246533622,0
drop_eua__credito,6,3,2.6260077404790705,2.6260077404790705,0
drop_eua__credito,6,4,3.182115759035943,3.182115759035943,0
drop_eua__credito,6,5,4.385162707780208,4.385162707780208,0
drop_eua__credito,6,6,7.112463703704007,7.112463703704007,0
drop_eua__credito,7,3,6.85836673636961,6.85836673636961,0
