variant,r,q,variable,rmse,full_rms,normalized_rmse,sign_agreement
baseline,4,3,asset_ibov,44.88122055460545,2.6655508069632523,16.837503317273736,0.2857142857142857
baseline,4,3,cambio_usd,0.1431574623564743,0.2957574148629754,0.4840367651401039,1
baseline,4,3,yield_2y,0.0038723626394831963,0.009755069440553895,0.3969590030169301,1
baseline,4,3,yield_5y,0.003926864298594018,0.010304107108089442,0.3810969992257899,1
baseline,4,3,yield_6m,0.0026210849017014727,0.005629435772288493,0.46560348278668473,1
conjunto_completo_sem_duplicatas,4,3,asset_ibov,30.291963756822206,5.141345470173325,5.891835888592992,0.2857142857142857
conjunto_completo_sem_duplicatas,4,3,cambio_usd,0.19369748899041714,0.2503419563401555,0.7737316262210082,1
conjunto_completo_sem_duplicatas,4,3,yield_2y,0.003631917311225542,0.01072843007095786,0.338532039376128,1
conjunto_completo_sem_duplicatas,4,3,yield_5y,0.003451138289245379,0.010292512860904678,0.33530570579651775,1
conjunto_completo_sem_duplicatas,4,3,yield_6m,0.0018382826881648405,0.007389409566757212,0.24877260781899757,1
drop_credito,4,1,asset_ibov,16.639709814947977,37.70958553259174,0.4412594193210256,1
drop_credito,4,1,cambio_usd,1.2455967946228783,1.375420932709919,0.9056113404997734,1
drop_credito,4,1,yield_2y,0.012117191216957871,0.019204013243800135,0.6309718215212027,1
drop_credito,4,1,yield_5y,0.02216126187690195,0.031100587104255464,0.7125673159356417,1
drop_credito,4,1,yield_6m,0.008604634609610126,0.008056694793746154,1.0680104968465853,0.42857142857142855
drop_credito__imoveis,4,1,asset_ibov,19.821322698036095,41.722679862680714,0.4750730960540597,1
drop_credito__imoveis,4,1,cambio_usd,1.4888343528830053,1.6122892180719215,0.9234288341042487,1
drop_credito__imoveis,4,1,yield_2y,0.013791542481247764,0.020914626252165575,0.6594209389622604,1
drop_credito__imoveis,4,1,yield_5y,0.0263834037290713,0.03526709780138832,0.7481024913831353,1
drop_credito__imoveis,4,1,yield_6m,0.01170094566934597,0.010593733224559785,1.1045157945094652,0.2857142857142857
drop_eua,4,3,asset_ibov,27.359098455714722,6.0430780238583806,4.527344897368461,0.2857142857142857
drop_eua,4,3,cambio_usd,0.18577686245765812,0.24947392619213346,0.7446744647558128,1
drop_eua,4,3,yield_2y,0.002549465485487725,0.010493263658975679,0.2429621105829143,1
drop_eua,4,3,yield_5y,0.0027896917177171365,0.009991703011118704,0.279200824385271,1
drop_eua,4,3,yield_6m,7.939164422958961e-4,0.007241898466732366,0.10962822054782562,1
drop_eua__credito,4,3,asset_ibov,38.800631268739615,6.935077941915111,5.594837086722761,0.2857142857142857
drop_eua__credito,4,3,cambio_usd,0.19056318299108493,0.2717983165880659,0.7011198059769446,1
drop_eua__credito,4,3,yield_2y,0.006708393215533566,0.010688953906146206,0.627600537380576,1
drop_eua__credito,4,3,yield_5y,0.005425383125048774,0.010366387522369031,0.5233629471541221,1
drop_eua__credito,4,3,yield_6m,0.005061553507231069,0.0071211258805137425,0.7107799513952576,1
drop_eua__credito__imoveis,4,3,asset_ibov,38.53773954977986,4.43302563129785,8.693326579863971,0.2857142857142857
drop_eua__credito__imoveis,4,3,cambio_usd,0.1797416348878612,0.2711967478512432,0.6627720882053242,1
drop_eua__credito__imoveis,4,3,yield_2y,0.006717400701256235,0.010513406473949428,0.6389366489254363,1
drop_eua__credito__imoveis,4,3,yield_5y,0.005554704296897615,0.01036570854552243,0.5358730927561168,1
drop_eua__credito__imoveis,4,3,yield_6m,0.005061682277848639,0.006839824453944115,0.7400310215461555,0.7142857142857143
drop_eua__imoveis,4,2,asset_ibov,25.21021933296272,17.27213208218828,1.4595893091253347,1
drop_eua__imoveis,4,2,cambio_usd,0.2573676760872282,0.3787828316997375,0.6794597182040302,1
drop_eua__imoveis,4,2,yield_2y,0.004041636561038628,0.011513623461871904,0.35103080923418806,1
drop_eua__imoveis,4,2,yield_5y,0.004342037713352676,0.01327714806041042,0.32703090253995826,1
drop_eua__imoveis,4,2,yield_6m,0.0011812922617963607,0.005420319940440864,0.21793773702964844,1
drop_expectativas,3,2,asset_ibov,6.6910335909159935,28.027693933231394,0.23872936556448848,1
drop_expectativas,3,2,cambio_usd,0.2800274333750415,0.40172207731857207,0.6970675727960434,1
drop_expectativas,3,2,yield_2y,0.0018268005263560537,0.00787290881442955,0.23203628664006304,1
drop_expectativas,3,2,yield_5y,0.003867262481047828,0.01185482474146981,0.32621844399939637,1
drop_expectativas,3,2,yield_6m,0.0036880388523582103,0.002825372255778198,1.3053284730236039,0.42857142857142855
drop_expectativas__credito,3,2,asset_ibov,10.079189719377103,27.091004986585965,0.37204931025511184,1
drop_expectativas__credito,3,2,cambio_usd,0.31193476979583495,0.4406501809886197,0.7078966110849981,1
drop_expectativas__credito,3,2,yield_2y,0.001723400109441644,0.007571914605549791,0.22760427173577577,1
drop_expectativas__credito,3,2,yield_5y,0.0034529333229700154,0.011870909011807197,0.2908735396367384,1
drop_expectativas__credito,3,2,yield_6m,0.004689363857115643,0.003422837144693705,1.3700224868674769,0.2857142857142857
drop_expectativas__credito__imoveis,4,3,asset_ibov,43.19633387449177,5.577460968911345,7.744802539231967,0.2857142857142857
drop_expectativas__credito__imoveis,4,3,cambio_usd,0.24680498220939154,0.35145546907992803,0.7022368519559533,1
drop_expectativas__credito__imoveis,4,3,yield_2y,0.006298938197057685,0.010559440185905839,0.5965219828097669,1
drop_expectativas__credito__imoveis,4,3,yield_5y,0.005862563380015091,0.011316450766856414,0.518056721210271,1
drop_expectativas__credito__imoveis,4,3,yield_6m,0.003804484768530509,0.0058273249701054596,0.6528698481803835,1
drop_expectativas__eua,3,3,asset_ibov,6.78133482642965,23.187107566041504,0.29246143819857895,1
drop_expectativas__eua,3,3,cambio_usd,0.08606567154235338,0.23077883189581005,0.37293572740332415,1
