variant,r,q,p,n_series,n_months,n_obs_align,xi_mp_pre_covid,f_robust_mp_pre_covid,max_companion_root_pre_covid,stable_pre_covid
baseline,4,3,6,104,84,78,5.862889116563532,7.008027804304518,0.9919792689008998,TRUE
conjunto_completo_sem_duplicatas,4,3,6,123,84,78,10.78460943288469,13.133500298757824,0.9927264546901577,TRUE
drop_credito,4,1,6,121,84,78,4.539027080001226,4.584230315567654,1.002788583971308,FALSE
drop_credito__imoveis,4,1,6,120,84,78,5.0904122038239406,5.34317508318191,1.0006999455108765,FALSE
drop_eua,4,3,6,118,84,78,10.965538804371834,13.52961371534234,1.005942950221244,FALSE
drop_eua__credito,4,3,6,116,84,78,8.958967664164444,10.459510188114907,1.000111396549917,FALSE
drop_eua__credito__imoveis,4,3,6,115,84,78,8.382765952063052,9.721172942899647,0.9972249549923177,TRUE
drop_eua__imoveis,4,2,6,117,84,78,5.67296748612946,5.497004563104704,0.9991614101866639,TRUE
drop_expectativas,3,2,6,119,84,78,2.9283930272513485,3.108592060695403,0.987975598020881,TRUE
drop_expectativas__credito,3,2,6,117,84,78,2.7086356598635493,2.948189541554515,0.9900922500549095,TRUE
drop_expectativas__credito__imoveis,4,3,6,116,84,78,5.984702638771364,7.004924876551468,0.99319356923229,TRUE
drop_expectativas__eua,3,3,6,114,84,78,3.5802116977843044,3.9924973434005935,0.9899730161849496,TRUE
drop_expectativas__eua__credito,3,3,6,112,84,78,3.409282136484612,4.0340403640196225,0.9919460339157371,TRUE
drop_expectativas__eua__credito__imoveis,3,3,6,111,84,78,3.4418043612464233,4.073616681328103,0.992263101198627,TRUE
drop_expectativas__eua__imoveis,3,3,6,113,84,78,3.6665909244848045,4.1109184734137285,0.9908849666243762,TRUE
drop_expectativas__imoveis,4,3,6,118,84,78,7.482795138943921,7.701214094204529,0.9930188223788251,TRUE
drop_fiscal,4,3,6,120,84,78,10.43240613636905,14.690623264679434,0.9784319500426506,TRUE
drop_fiscal__credito,4,1,6,118,84,78,4.88214818066915,5.1150896676447335,0.9977691157547425,TRUE
drop_fiscal__credito__imoveis,4,1,6,117,84,78,5.2771410016084594,5.5856423644575575,0.9979897601586928,TRUE
drop_fiscal__eua,4,2,6,115,84,78,4.101127657745717,3.791106342309429,1.028093682822771,FALSE
drop_fiscal__eua__credito,4,3,6,113,84,78,7.522811677440093,9.929169149031491,0.9927978106593296,TRUE
drop_fiscal__eua__credito__imoveis,4,2,6,112,84,78,5.304710930621082,5.740147759276064,0.9937704467241971,TRUE
drop_fiscal__eua__imoveis,4,2,6,114,84,78,5.935938641247099,6.082690895934004,0.994675916141866,TRUE
drop_fiscal__expectativas,3,2,6,116,84,78,3.008234815838437,3.3766971790886213,0.9872069103092882,TRUE
drop_fiscal__expectativas__credito,3,2,6,114,84,78,2.7179546143634195,3.091737754146554,0.9893868074805067,TRUE
drop_fiscal__expectativas__credito__imoveis,4,3,6,113,84,78,5.901722743310186,7.302834287873855,0.9923710633123937,TRUE
drop_fiscal__expectativas__eua,3,3,6,111,84,78,4.563146481586132,6.190211743982958,0.9890856187874819,TRUE
drop_fiscal__expectativas__eua__credito,3,3,6,109,84,78,4.597125914745363,6.919774449775384,0.9909992773290003,TRUE
drop_fiscal__expectativas__eua__credito__imoveis,3,3,6,108,84,78,4.476811743559743,6.658845617387208,0.9908815905668855,TRUE
drop_fiscal__expectativas__eua__imoveis,3,3,6,110,84,78,4.516329596989381,6.094254256060545,0.9896214502230041,TRUE
drop_fiscal__expectativas__imoveis,4,1,6,115,84,78,5.650420837871867,6.058277169510428,0.9912049829217922,TRUE
drop_fiscal__imoveis,4,2,6,119,84,78,5.977280636714499,6.211452064362775,0.9975842984035107,TRUE
drop_fiscal__setor_externo,5,2,6,116,84,78,3.6166353202936437,2.729206157201067,0.990416048464772,TRUE
drop_fiscal__setor_externo__credito,4,3,6,114,84,78,7.690272645567713,10.331893334610076,0.993368507244307,TRUE
drop_fiscal__setor_externo__credito__imoveis,4,1,6,113,84,78,5.222687146672083,5.174375315797712,0.9937636360474452,TRUE
drop_fiscal__setor_externo__eua,4,3,6,111,84,78,5.859854359817033,7.96471363225378,0.9831871528096046,TRUE
drop_fiscal__setor_externo__eua__credito,5,2,6,109,84,78,5.250998964044126,3.87799598483795,0.9988718600315772,TRUE
drop_fiscal__setor_externo__eua__credito__imoveis,5,2,6,108,84,78,6.802201639885078,4.950116506628678,0.9954828846307106,TRUE
drop_fiscal__setor_externo__eua__imoveis,5,2,6,110,84,78,3.4354427768525357,2.646030709285552,0.9884979274789285,TRUE
drop_fiscal__setor_externo__expectativas,4,3,6,112,84,78,2.330089473072139,2.158048398941792,0.9910707682358637,TRUE
drop_fiscal__setor_externo__expectativas__credito,4,3,6,110,84,78,4.539037462103925,4.64449660846299,0.990816158901496,TRUE
drop_fiscal__setor_externo__expectativas__credito__imoveis,5,1,6,109,84,78,5.491715798639133,4.98521630665326,0.9923279376202286,TRUE
drop_fiscal__setor_externo__expectativas__eua,5,1,6,107,84,78,4.489182055804751,3.8395249684970834,0.9912656908571603,TRUE
drop_fiscal__setor_externo__expectativas__eua__credito,5,4,6,105,84,78,8.093498914483874,8.582926602255146,0.9986987251073111,TRUE
drop_fiscal__setor_externo__expectativas__eua__imoveis,5,2,6,106,84,78,4.034005649124394,3.501318872043243,0.991343817625073,TRUE
drop_fiscal__setor_externo__expectativas__imoveis,4,3,6,111,84,78,6.45456372649089,7.725474620555741,0.9871850100932049,TRUE
drop_fiscal__setor_externo__imoveis,4,2,6,115,84,78,5.575741905805169,5.187247291057332,0.9921315842326073,TRUE
drop_imoveis,4,3,6,122,84,78,9.65313123874441,11.136970977025607,1.0005452246060942,FALSE
drop_setor_externo,4,1,6,119,84,78,4.099264766093553,3.5576664022266233,0.9925908691924592,TRUE
drop_setor_externo__credito,4,3,6,117,84,78,9.521540382307322,11.218030313262302,0.9966505111362008,TRUE
drop_setor_externo__credito__imoveis,4,3,6,116,84,78,8.81264110412475,10.261849382401497,0.9952580073967413,TRUE
drop_setor_externo__eua,4,3,6,114,84,78,10.877123969869077,12.789854705388835,0.9939825438533855,TRUE
drop_setor_externo__eua__credito,4,3,6,112,84,78,8.967383578667908,9.511618252946803,0.995822011089353,TRUE
drop_setor_externo__eua__credito__imoveis,5,1,6,111,84,78,6.400390867946822,4.798818571735146,1.000201706763082,FALSE
drop_setor_externo__eua__imoveis,4,3,6,113,84,78,9.172237000096143,8.950970952207138,0.9943676944905081,TRUE
drop_setor_externo__expectativas,4,3,6,115,84,78,3.7915846233302735,3.1766700954757776,0.9925715421954054,TRUE
drop_setor_externo__expectativas__credito,4,3,6,113,84,78,8.085926892840918,7.893679116649647,0.9919280986431889,TRUE
drop_setor_externo__expectativas__credito__imoveis,4,3,6,112,84,78,6.042197110621316,6.735108827899289,0.9897202973964733,TRUE
drop_setor_externo__expectativas__eua,4,3,6,110,84,78,3.737680190561516,3.1752086104389687,0.9816586435323503,TRUE
drop_setor_externo__expectativas__eua__credito,5,1,6,108,84,78,4.954090098516229,4.22972800620851,1.0082003505989634,FALSE
drop_setor_externo__expectativas__eua__credito__imoveis,5,1,6,107,84,78,5.11190083640047,4.326797539771121,1.0085603754784367,FALSE
drop_setor_externo__expectativas__eua__imoveis,5,1,6,109,84,78,4.0586159934720145,3.261067581303468,0.9987695995780355,TRUE
drop_setor_externo__expectativas__imoveis,4,3,6,114,84,78,7.906732233143188,7.355390507046401,0.9886200320697648,TRUE
drop_setor_externo__imoveis,4,1,6,118,84,78,5.244601155863707,4.841270244561539,0.9935525059902006,TRUE
