variant,r,q,variable,h,point_pre_covid
baseline,4,3,yield_6m,0,0.005
baseline,4,3,yield_6m,1,0.005322537177737519
baseline,4,3,yield_6m,2,0.0039861730085398814
baseline,4,3,yield_6m,3,0.004947354405801264
baseline,4,3,yield_6m,4,0.0034871891004580454
baseline,4,3,yield_6m,5,0.0017947673273921584
baseline,4,3,yield_6m,6,0.0018350726968774911
baseline,4,3,yield_2y,0,0.010519230257512245
baseline,4,3,yield_2y,1,0.011498886758673516
baseline,4,3,yield_2y,2,0.007683998626047318
baseline,4,3,yield_2y,3,0.009850130868264601
baseline,4,3,yield_2y,4,0.007712903714508559
baseline,4,3,yield_2y,5,0.003974222649298347
baseline,4,3,yield_2y,6,0.004112105304640943
baseline,4,3,yield_5y,0,0.013817768079998386
baseline,4,3,yield_5y,1,0.01478936643145951
baseline,4,3,yield_5y,2,0.009572632147146914
baseline,4,3,yield_5y,3,0.012461992881687818
baseline,4,3,yield_5y,4,0.010106050060714524
baseline,4,3,yield_5y,5,0.0053472718787414865
baseline,4,3,yield_5y,6,0.005608739879793944
baseline,4,3,asset_ibov,0,-12.003998701486301
baseline,4,3,asset_ibov,1,-25.10963148116715
baseline,4,3,asset_ibov,2,-31.537646532795172
baseline,4,3,asset_ibov,3,-40.84236797349346
baseline,4,3,asset_ibov,4,-50.17023813403896
baseline,4,3,asset_ibov,5,-55.24623501937541
baseline,4,3,asset_ibov,6,-60.968304120557725
baseline,4,3,cambio_usd,0,0.22781930974482886
baseline,4,3,cambio_usd,1,0.2569181769440727
baseline,4,3,cambio_usd,2,0.16082563301150532
baseline,4,3,cambio_usd,3,0.21103263000930056
baseline,4,3,cambio_usd,4,0.16793740793664352
baseline,4,3,cambio_usd,5,0.08504658431274185
baseline,4,3,cambio_usd,6,0.09608342695369267
conjunto_completo_sem_duplicatas,4,3,yield_6m,0,0.005
conjunto_completo_sem_duplicatas,4,3,yield_6m,1,0.00512968003797894
conjunto_completo_sem_duplicatas,4,3,yield_6m,2,0.005445862138366154
conjunto_completo_sem_duplicatas,4,3,yield_6m,3,0.006742786726917095
conjunto_completo_sem_duplicatas,4,3,yield_6m,4,0.005771764386008622
conjunto_completo_sem_duplicatas,4,3,yield_6m,5,0.005613346121589068
conjunto_completo_sem_duplicatas,4,3,yield_6m,6,0.00637686397835028
conjunto_completo_sem_duplicatas,4,3,yield_2y,0,0.007346618540888682
conjunto_completo_sem_duplicatas,4,3,yield_2y,1,0.007985639763784603
conjunto_completo_sem_duplicatas,4,3,yield_2y,2,0.0072770427153753215
conjunto_completo_sem_duplicatas,4,3,yield_2y,3,0.008650861215190745
conjunto_completo_sem_duplicatas,4,3,yield_2y,4,0.007049523271672691
conjunto_completo_sem_duplicatas,4,3,yield_2y,5,0.0064002523126632065
conjunto_completo_sem_duplicatas,4,3,yield_2y,6,0.0071119055234868875
conjunto_completo_sem_duplicatas,4,3,yield_5y,0,0.00794980754549241
conjunto_completo_sem_duplicatas,4,3,yield_5y,1,0.008658599586661821
conjunto_completo_sem_duplicatas,4,3,yield_5y,2,0.0072230696319579134
conjunto_completo_sem_duplicatas,4,3,yield_5y,3,0.008303002976150213
conjunto_completo_sem_duplicatas,4,3,yield_5y,4,0.006608569715746214
conjunto_completo_sem_duplicatas,4,3,yield_5y,5,0.005770644898930365
conjunto_completo_sem_duplicatas,4,3,yield_5y,6,0.006219894252391216
conjunto_completo_sem_duplicatas,4,3,asset_ibov,0,-5.2162891378469665
conjunto_completo_sem_duplicatas,4,3,asset_ibov,1,-12.008082478722804
conjunto_completo_sem_duplicatas,4,3,asset_ibov,2,-15.885051217247337
conjunto_completo_sem_duplicatas,4,3,asset_ibov,3,-21.597294551757873
conjunto_completo_sem_duplicatas,4,3,asset_ibov,4,-27.61076723700854
