variant,sample,r_ic2,convention,p,max_q,q_hat,q_gt_r,failure
baseline,full,5,p12_cap_r,12,5,3,FALSE,NA
baseline,full,5,p12_max15,12,15,3,FALSE,NA
baseline,full,5,p6_cap_r,6,5,3,FALSE,NA
baseline,full,5,p6_max15,6,15,3,FALSE,NA
baseline,pre_covid,2,p12_cap_r,12,2,2,FALSE,NA
baseline,pre_covid,2,p12_max15,12,15,2,FALSE,NA
baseline,pre_covid,2,p6_cap_r,6,2,2,FALSE,NA
baseline,pre_covid,2,p6_max15,6,15,2,FALSE,NA
conjunto_completo_sem_duplicatas,full,4,p12_cap_r,12,4,3,FALSE,NA
conjunto_completo_sem_duplicatas,full,4,p12_max15,12,15,3,FALSE,NA
conjunto_completo_sem_duplicatas,full,4,p6_cap_r,6,4,2,FALSE,NA
conjunto_completo_sem_duplicatas,full,4,p6_max15,6,15,2,FALSE,NA
conjunto_completo_sem_duplicatas,pre_covid,2,p12_cap_r,12,2,2,FALSE,NA
conjunto_completo_sem_duplicatas,pre_covid,2,p12_max15,12,15,2,FALSE,NA
conjunto_completo_sem_duplicatas,pre_covid,2,p6_cap_r,6,2,2,FALSE,NA
conjunto_completo_sem_duplicatas,pre_covid,2,p6_max15,6,15,2,FALSE,NA
drop_credito,full,4,p12_cap_r,12,4,3,FALSE,NA
drop_credito,full,4,p12_max15,12,15,3,FALSE,NA
drop_credito,full,4,p6_cap_r,6,4,2,FALSE,NA
drop_credito,full,4,p6_max15,6,15,2,FALSE,NA
drop_credito,pre_covid,2,p12_cap_r,12,2,2,FALSE,NA
drop_credito,pre_covid,2,p12_max15,12,15,2,FALSE,NA
drop_credito,pre_covid,2,p6_cap_r,6,2,2,FALSE,NA
drop_credito,pre_covid,2,p6_max15,6,15,2,FALSE,NA
drop_credito__imoveis,full,4,p12_cap_r,12,4,4,FALSE,NA
drop_credito__imoveis,full,4,p12_max15,12,15,4,FALSE,NA
drop_credito__imoveis,full,4,p6_cap_r,6,4,2,FALSE,NA
drop_credito__imoveis,full,4,p6_max15,6,15,2,FALSE,NA
drop_credito__imoveis,pre_covid,2,p12_cap_r,12,2,2,FALSE,NA
drop_credito__imoveis,pre_covid,2,p12_max15,12,15,2,FALSE,NA
drop_credito__imoveis,pre_covid,2,p6_cap_r,6,2,2,FALSE,NA
drop_credito__imoveis,pre_covid,2,p6_max15,6,15,2,FALSE,NA
drop_eua,full,4,p12_cap_r,12,4,3,FALSE,NA
drop_eua,full,4,p12_max15,12,15,3,FALSE,NA
drop_eua,full,4,p6_cap_r,6,4,2,FALSE,NA
drop_eua,full,4,p6_max15,6,15,2,FALSE,NA
drop_eua,pre_covid,2,p12_cap_r,12,2,2,FALSE,NA
drop_eua,pre_covid,2,p12_max15,12,15,2,FALSE,NA
drop_eua,pre_covid,2,p6_cap_r,6,2,2,FALSE,NA
drop_eua,pre_covid,2,p6_max15,6,15,2,FALSE,NA
drop_eua__credito,full,4,p12_cap_r,12,4,3,FALSE,NA
drop_eua__credito,full,4,p12_max15,12,15,3,FALSE,NA
drop_eua__credito,full,4,p6_cap_r,6,4,3,FALSE,NA
drop_eua__credito,full,4,p6_max15,6,15,3,FALSE,NA
drop_eua__credito,pre_covid,2,p12_cap_r,12,2,2,FALSE,NA
drop_eua__credito,pre_covid,2,p12_max15,12,15,2,FALSE,NA
drop_eua__credito,pre_covid,2,p6_cap_r,6,2,2,FALSE,NA
drop_eua__credito,pre_covid,2,p6_max15,6,15,2,FALSE,NA
drop_eua__credito__imoveis,full,4,p12_cap_r,12,4,3,FALSE,NA
drop_eua__credito__imoveis,full,4,p12_max15,12,15,3,FALSE,NA
drop_eua__credito__imoveis,full,4,p6_cap_r,6,4,3,FALSE,NA
drop_eua__credito__imoveis,full,4,p6_max15,6,15,3,FALSE,NA
drop_eua__credito__imoveis,pre_covid,2,p12_cap_r,12,2,2,FALSE,NA
drop_eua__credito__imoveis,pre_covid,2,p12_max15,12,15,2,FALSE,NA
drop_eua__credito__imoveis,pre_covid,2,p6_cap_r,6,2,2,FALSE,NA
drop_eua__credito__imoveis,pre_covid,2,p6_max15,6,15,2,FALSE,NA
drop_eua__imoveis,full,4,p12_cap_r,12,4,3,FALSE,NA
drop_eua__imoveis,full,4,p12_max15,12,15,3,FALSE,NA
drop_eua__imoveis,full,4,p6_cap_r,6,4,2,FALSE,NA
drop_eua__imoveis,full,4,p6_max15,6,15,2,FALSE,NA
drop_eua__imoveis,pre_covid,2,p12_cap_r,12,2,2,FALSE,NA
drop_eua__imoveis,pre_covid,2,p12_max15,12,15,2,FALSE,NA
drop_eua__imoveis,pre_covid,2,p6_cap_r,6,2,2,FALSE,NA
drop_eua__imoveis,pre_covid,2,p6_max15,6,15,2,FALSE,NA
drop_expectativas,full,3,p12_cap_r,12,3,3,FALSE,NA
drop_expectativas,full,3,p12_max15,12,15,3,FALSE,NA
drop_expectativas,full,3,p6_cap_r,6,3,2,FALSE,NA
drop_expectativas,full,3,p6_max15,6,15,2,FALSE,NA
drop_expectativas,pre_covid,2,p12_cap_r,12,2,2,FALSE,NA
drop_expectativas,pre_covid,2,p12_max15,12,15,2,FALSE,NA
drop_expectativas,pre_covid,2,p6_cap_r,6,2,2,FALSE,NA
drop_expectativas,pre_covid,2,p6_max15,6,15,2,FALSE,NA
drop_expectativas__credito,full,3,p12_cap_r,12,3,3,FALSE,NA
drop_expectativas__credito,full,3,p12_max15,12,15,3,FALSE,NA
drop_expectativas__credito,full,3,p6_cap_r,6,3,2,FALSE,NA
drop_expectativas__credito,full,3,p6_max15,6,15,2,FALSE,NA
drop_expectativas__credito,pre_covid,2,p12_cap_r,12,2,2,FALSE,NA
drop_expectativas__credito,pre_covid,2,p12_max15,12,15,2,FALSE,NA
drop_expectativas__credito,pre_covid,2,p6_cap_r,6,2,2,FALSE,NA
drop_expectativas__credito,pre_covid,2,p6_max15,6,15,2,FALSE,NA
drop_expectativas__credito__imoveis,full,4,p12_cap_r,12,4,3,FALSE,NA
drop_expectativas__credito__imoveis,full,4,p12_max15,12,15,3,FALSE,NA
drop_expectativas__credito__imoveis,full,4,p6_cap_r,6,4,3,FALSE,NA
drop_expectativas__credito__imoveis,full,4,p6_max15,6,15,3,FALSE,NA
drop_expectativas__credito__imoveis,pre_covid,2,p12_cap_r,12,2,2,FALSE,NA
drop_expectativas__credito__imoveis,pre_covid,2,p12_max15,12,15,2,FALSE,NA
drop_expectativas__credito__imoveis,pre_covid,2,p6_cap_r,6,2,2,FALSE,NA
drop_expectativas__credito__imoveis,pre_covid,2,p6_max15,6,15,2,FALSE,NA
drop_expectativas__eua,full,3,p12_cap_r,12,3,3,FALSE,NA
drop_expectativas__eua,full,3,p12_max15,12,15,3,FALSE,NA
drop_expectativas__eua,full,3,p6_cap_r,6,3,3,FALSE,NA
drop_expectativas__eua,full,3,p6_max15,6,15,3,FALSE,NA
drop_expectativas__eua,pre_covid,2,p12_cap_r,12,2,2,FALSE,NA
drop_expectativas__eua,pre_covid,2,p12_max15,12,15,2,FALSE,NA
drop_expectativas__eua,pre_covid,2,p6_cap_r,6,2,2,FALSE,NA
drop_expectativas__eua,pre_covid,2,p6_max15,6,15,2,FALSE,NA
drop_expectativas__eua__credito,full,3,p12_cap_r,12,3,3,FALSE,NA
drop_expectativas__eua__credito,full,3,p12_max15,12,15,3,FALSE,NA
drop_expectativas__eua__credito,full,3,p6_cap_r,6,3,3,FALSE,NA
drop_expectativas__eua__credito,full,3,p6_max15,6,15,3,FALSE,NA
drop_expectativas__eua__credito,pre_covid,2,p12_cap_r,12,2,2,FALSE,NA
drop_expectativas__eua__credito,pre_covid,2,p12_max15,12,15,2,FALSE,NA
drop_expectativas__eua__credito,pre_covid,2,p6_cap_r,6,2,2,FALSE,NA
drop_expectativas__eua__credito,pre_covid,2,p6_max15,6,15,2,FALSE,NA
drop_expectativas__eua__credito__imoveis,full,3,p12_cap_r,12,3,3,FALSE,NA
drop_expectativas__eua__credito__imoveis,full,3,p12_max15,12,15,3,FALSE,NA
drop_expectativas__eua__credito__imoveis,full,3,p6_cap_r,6,3,3,FALSE,NA
drop_expectativas__eua__credito__imoveis,full,3,p6_max15,6,15,3,FALSE,NA
drop_expectativas__eua__credito__imoveis,pre_covid,2,p12_cap_r,12,2,2,FALSE,NA
drop_expectativas__eua__credito__imoveis,pre_covid,2,p12_max15,12,15,2,FALSE,NA
drop_expectativas__eua__credito__imoveis,pre_covid,2,p6_cap_r,6,2,2,FALSE,NA
drop_expectativas__eua__credito__imoveis,pre_covid,2,p6_max15,6,15,2,FALSE,NA
drop_expectativas__eua__imoveis,full,3,p12_cap_r,12,3,3,FALSE,NA
drop_expectativas__eua__imoveis,full,3,p12_max15,12,15,3,FALSE,NA
drop_expectativas__eua__imoveis,full,3,p6_cap_r,6,3,3,FALSE,NA
