sample,r,q,p,variable,h,point,lo68,hi68,lo90,hi90,sig68,sig90
full,5,4,6,yield_6m,0,0.005,0.005,0.005,0.005,0.005,TRUE,TRUE
full,5,4,6,yield_6m,1,0.006177855856194976,0.00483744553732108,0.007221020608273969,0.003790704624919596,0.008340767134229791,TRUE,TRUE
full,5,4,6,yield_6m,2,0.006147767936668892,0.003472694735531006,0.007727700360883465,0.0014938640740268093,0.008854210377278467,TRUE,TRUE
full,5,4,6,yield_6m,3,0.006685517359043438,0.0029807702387005604,0.008737873245689979,-2.209869690164128e-4,0.01002905091900135,TRUE,FALSE
full,5,4,6,yield_6m,4,0.007131002573130622,0.0021899554372618664,0.009450472013293989,-0.0017879310053062149,0.01133871173011961,TRUE,FALSE
full,5,4,6,yield_6m,5,0.007669286624126517,0.0020765228380530787,0.010412189321046353,-0.002297433147626351,0.012370109090492291,TRUE,FALSE
full,5,4,6,yield_6m,6,0.008928275374812418,0.00286124940417329,0.011937890506505474,-0.0015236954997625686,0.014579644657845982,TRUE,FALSE
full,5,4,6,yield_6m,7,0.00955657646573611,0.003317365215614817,0.013167187830461533,-0.0013246977555019628,0.016108584627089258,TRUE,FALSE
full,5,4,6,yield_6m,8,0.009795839330610302,0.003104177962262379,0.013970076217919868,-0.0010421286974297008,0.017436969065683747,TRUE,FALSE
full,5,4,6,yield_6m,9,0.010302135624119585,0.003424796103928255,0.015264920118196216,-0.001657994021972628,0.019015568205903347,TRUE,FALSE
full,5,4,6,yield_6m,10,0.010902927587093048,0.0038261054895635657,0.01620106776819709,-0.0012164757951037574,0.020564714565561096,TRUE,FALSE
full,5,4,6,yield_6m,11,0.011735541745393312,0.004130829936369286,0.017359960691798224,-0.00108581106497355,0.02279842218214551,TRUE,FALSE
full,5,4,6,yield_6m,12,0.012501159603734924,0.004739034368108809,0.018552166338506086,-2.795056678201148e-4,0.024242678707385258,TRUE,FALSE
full,5,4,6,yield_6m,13,0.01298204349508025,0.005060285548038248,0.01954779082551698,-1.74681745379816e-4,0.025634893204040398,TRUE,FALSE
full,5,4,6,yield_6m,14,0.01333784906668106,0.005181905571435798,0.02034948675167478,-0.0010006133681594981,0.026551502220882525,TRUE,FALSE
full,5,4,6,yield_6m,15,0.013696553792754895,0.005050603372309728,0.02083562167500427,-0.0010515343071323328,0.027567334860973073,TRUE,FALSE
full,5,4,6,yield_6m,16,0.013942868448781296,0.005316433472305572,0.021324354850828273,-0.0013716526998030516,0.02834783711878828,TRUE,FALSE
full,5,4,6,yield_6m,17,0.014082245471023776,0.005236129548567815,0.021251978552519875,-0.0014986913716748223,0.028726849221017998,TRUE,FALSE
full,5,4,6,yield_6m,18,0.014161417752916126,0.005139283815904162,0.021597694860011642,-0.0019335422532980957,0.0298474344950341,TRUE,FALSE
full,5,4,6,yield_6m,19,0.014076372223519658,0.004696436392013255,0.021703193408781005,-0.00260335054538636,0.029554208834908384,TRUE,FALSE
full,5,4,6,yield_6m,20,0.013863806939235213,0.004240925217902556,0.02153170274039714,-0.0024747200741808387,0.02989486668652442,TRUE,FALSE
full,5,4,6,yield_6m,21,0.013601663197924304,0.003662565943914107,0.021464130830329862,-0.002441876578299742,0.029340959767935555,TRUE,FALSE
full,5,4,6,yield_6m,22,0.013246332745834732,0.0029821670022269517,0.021297021592778943,-0.0036425504434938628,0.028990724115799688,TRUE,FALSE
full,5,4,6,yield_6m,23,0.012788485446212123,0.0022843027500493115,0.021031755071114912,-0.004515281437515345,0.02874446864006881,TRUE,FALSE
full,5,4,6,yield_6m,24,0.012252866845874464,0.0017265875881851299,0.020569989008144687,-0.005738813487157133,0.028180190745671557,TRUE,FALSE
full,5,4,6,yield_6m,25,0.011634768906773967,0.0011936989257606712,0.01994263218582939,-0.0067730790348725775,0.027500365125148658,TRUE,FALSE
full,5,4,6,yield_6m,26,0.010949678861146745,3.800128158478439e-4,0.018982698993556098,-0.007587106093877516,0.027370246427015056,TRUE,FALSE
