sample,r,q,p,variable,h,point,lo68,hi68,lo90,hi90,sig68,sig90
pre_covid,5,4,6,yield_6m,0,0.005,0.005,0.005,0.005,0.005,TRUE,TRUE
pre_covid,5,4,6,yield_6m,1,0.005203211392136573,0.003692008484365565,0.006201485165071052,0.002896458024759899,0.007425555361768863,TRUE,TRUE
pre_covid,5,4,6,yield_6m,2,0.004396121510147118,0.0026171184358984158,0.0059260089968047915,0.0012453804378191552,0.007186701441393359,TRUE,TRUE
pre_covid,5,4,6,yield_6m,3,0.0053840983267379305,0.0033239096553308433,0.007224421822683829,0.0015231212388275475,0.00863720507786261,TRUE,TRUE
pre_covid,5,4,6,yield_6m,4,0.0037973205251162472,0.0018388652343355946,0.006477199169563104,-9.673769019049493e-4,0.008551818920104653,TRUE,FALSE
pre_covid,5,4,6,yield_6m,5,0.0016937589678209248,-2.4081690593631575e-5,0.00582415614914266,-0.0032533538342138283,0.008095907641352783,FALSE,FALSE
pre_covid,5,4,6,yield_6m,6,0.0016739633827509326,4.041227870318829e-5,0.006436874076651479,-0.003119939517956181,0.009187548976225177,TRUE,FALSE
pre_covid,5,4,6,yield_6m,7,8.839024631188933e-4,-9.23423032427523e-4,0.005931078967983935,-0.005286232050773422,0.00897350141463348,FALSE,FALSE
pre_covid,5,4,6,yield_6m,8,9.731451330138821e-5,-0.0019445915180881482,0.005732380551585957,-0.006369547566522188,0.009094532445736384,FALSE,FALSE
pre_covid,5,4,6,yield_6m,9,-3.498242090344404e-4,-0.002715224606314428,0.00568842222406585,-0.007421971780893799,0.009290082536714438,FALSE,FALSE
pre_covid,5,4,6,yield_6m,10,-7.460897575216772e-4,-0.0031930808286513078,0.005533062545784852,-0.008674023404643212,0.009068748578358793,FALSE,FALSE
pre_covid,5,4,6,yield_6m,11,-0.001001003630497098,-0.003849226003914394,0.00550746457743426,-0.009138039397178695,0.009269049945549635,FALSE,FALSE
pre_covid,5,4,6,yield_6m,12,-0.0012637481134179993,-0.004317192959363422,0.0054955734736615875,-0.009861179926746932,0.009478141174164099,FALSE,FALSE
pre_covid,5,4,6,yield_6m,13,-0.0015170760038082812,-0.004520446323710194,0.005320878957708069,-0.010305531700661483,0.00963545964636506,FALSE,FALSE
pre_covid,5,4,6,yield_6m,14,-0.0017596297866379366,-0.004894829622699837,0.0050521770366907985,-0.010754697201096062,0.009352765238625224,FALSE,FALSE
pre_covid,5,4,6,yield_6m,15,-0.002121853881808166,-0.0053093371386335715,0.004587898263402523,-0.011395277964017438,0.00929397720212054,FALSE,FALSE
pre_covid,5,4,6,yield_6m,16,-0.0024248968695226325,-0.005610543263413587,0.004321456376923217,-0.011407670481119804,0.009245185018729774,FALSE,FALSE
pre_covid,5,4,6,yield_6m,17,-0.002762570032592398,-0.0058071168260566694,0.0040258959729678415,-0.01116699602180336,0.0089853966795673465,FALSE,FALSE
pre_covid,5,4,6,yield_6m,18,-0.0031169968281607075,-0.006307708613430816,0.0036634119851408006,-0.011662332814440192,0.0088054493665871009,FALSE,FALSE
pre_covid,5,4,6,yield_6m,19,-0.0034213065105351183,-0.006619020779178875,0.003336298370476601,-0.01213992211121902,0.008363511600171661,FALSE,FALSE
pre_covid,5,4,6,yield_6m,20,-0.003719349169362765,-0.0069149468096955284,0.0028558266741786865,-0.011893430143334837,0.008388676279102735,FALSE,FALSE
pre_covid,5,4,6,yield_6m,21,-0.003992989083167321,-0.007097159851625377,0.002360260208708129,-0.0124268421711817,0.008181569144964039,FALSE,FALSE
pre_covid,5,4,6,yield_6m,22,-0.00420692294538,-0.0074401654477022645,0.0023060308671609777,-0.012410541602614292,0.007977190808049458,FALSE,FALSE
pre_covid,5,4,6,yield_6m,23,-0.004376710381487832,-0.007589813190975833,0.0019876913360271403,-0.012236068053408435,0.008099453579788717,FALSE,FALSE
pre_covid,5,4,6,yield_6m,24,-0.004499884601245926,-0.0076318450516962765,0.0015443860271412355,-0.012619090296560468,0.008359314330628368,FALSE,FALSE
pre_covid,5,4,6,yield_6m,25,-0.004577841341134115,-0.007620249981614494,9.909437365871509e-4,-0.012852638623564665,0.008067846411481654,FALSE,FALSE
pre_covid,5,4,6,yield_6m,26,-0.00461523324459119,-0.0077795092174678185,6.854150448878626e-4,-0.012751845837933446,0.008496812813039836,FALSE,FALSE
pre_covid,5,4,6,yield_6m,27,-0.0046297523366715275,-0.007719484511542202,3.008337376870215e-4,-0.012374962692800133,0.007994741673541087,FALSE,FALSE
pre_covid,5,4,6,yield_6m,28,-0.004620130633667379,-0.00776383556207166,3.4373359423867545e-4,-0.012327940944591264,0.008060619000726299,FALSE,FALSE
pre_covid,5,4,6,yield_6m,29,-0.00458592373097879,-0.007823083825293,8.676173743525421e-5,-0.011980457504039003,0.007429803102735555,FALSE,FALSE
pre_covid,5,4,6,yield_6m,30,-0.004534819047830324,-0.00802050245086665,1.386694009992407e-4,-0.011892530750978018,0.006811694802530469,FALSE,FALSE
pre_covid,5,4,6,yield_6m,31,-0.004457592150066134,-0.00793694258039745,3.419495354331375e-4,-0.012285161892944908,0.006982593748408655,FALSE,FALSE
