sample,r,q,variable,h,point
full,2,2,asset_ibov,0,-10.024414146452221
full,2,2,asset_ibov,1,-18.300094646324403
full,2,2,asset_ibov,2,-25.798355817445973
full,2,2,asset_ibov,3,-35.26448948866854
full,2,2,asset_ibov,4,-45.202872117071344
full,2,2,asset_ibov,5,-56.16878475572036
full,2,2,asset_ibov,6,-67.74787174749419
full,2,2,asset_ibov,7,-78.8615391629628
full,2,2,asset_ibov,8,-89.97525204817529
full,2,2,asset_ibov,9,-100.97580067697196
full,2,2,asset_ibov,10,-111.69649644165065
full,2,2,asset_ibov,11,-122.22371869937196
full,2,2,asset_ibov,12,-132.40442810615022
full,2,2,asset_ibov,13,-142.22659386381562
full,2,2,asset_ibov,14,-151.74535172715824
full,2,2,asset_ibov,15,-160.91691817438854
full,2,2,asset_ibov,16,-169.75502626107092
full,2,2,asset_ibov,17,-178.2715754064473
full,2,2,asset_ibov,18,-186.4603065605658
full,2,2,asset_ibov,19,-194.34248820361915
full,2,2,asset_ibov,20,-201.93039608884567
full,2,2,asset_ibov,21,-209.23216011350286
full,2,2,asset_ibov,22,-216.2637260537104
full,2,2,asset_ibov,23,-223.0362922727954
full,2,2,asset_ibov,24,-229.56163652052498
full,2,2,asset_ibov,25,-235.85286919750047
full,2,2,asset_ibov,26,-241.92050952390755
full,2,2,asset_ibov,27,-247.77530118365877
full,2,2,asset_ibov,28,-253.4276226017349
full,2,2,asset_ibov,29,-258.88667757076695
full,2,2,asset_ibov,30,-264.16150128811614
full,2,2,asset_ibov,31,-269.26045138357387
full,2,2,asset_ibov,32,-274.1912014331899
full,2,2,asset_ibov,33,-278.96107528326445
full,2,2,asset_ibov,34,-283.5768428955591
full,2,2,asset_ibov,35,-288.0448207535556
full,2,2,asset_ibov,36,-292.3709625132849
full,2,2,asset_ibov,37,-296.5608089441682
full,2,2,asset_ibov,38,-300.61956713582947
full,2,2,asset_ibov,39,-304.552140929776
full,2,2,asset_ibov,40,-308.3631354413121
full,2,2,asset_ibov,41,-312.05690232161396
full,2,2,asset_ibov,42,-315.63755634538234
full,2,2,asset_ibov,43,-319.1089925276089
full,2,2,asset_ibov,44,-322.4749118258503
full,2,2,asset_ibov,45,-325.7388340656218
full,2,2,asset_ibov,46,-328.90411338424667
full,2,2,asset_ibov,47,-331.97395351959005
