sample,r,q,p,n_series,n_months,n_obs_align,xi_mp,f_robust_mp,xi_gt_3_84,impact_mp_pre_normalization,max_companion_root,stable
full,2,2,6,106,153,147,6.435045309953407,16.151605900224546,TRUE,8.161264106977366e-5,0.970226966422261,TRUE
pre_covid,2,2,6,106,84,78,2.8837714919398114,3.8582069521203692,FALSE,6.941771047869414e-5,0.977321842298481,TRUE
full,5,3,6,106,153,147,3.4192206888416528,4.15960742022518,FALSE,2.3013606822698998e-5,0.9654973075567307,TRUE
pre_covid,5,3,6,106,84,78,5.243201155360743,3.8333189209420513,TRUE,3.603436303033911e-5,0.9978851969506575,TRUE
full,5,4,6,106,153,147,4.769182441787656,6.853932184994816,TRUE,4.00357497236904e-5,0.9654973075567307,TRUE
pre_covid,5,4,6,106,84,78,7.88931536604886,6.963269997083333,TRUE,5.588072438615031e-5,0.9978851969506575,TRUE
full,7,6,6,106,153,147,7.647789722807889,7.954660744137921,TRUE,5.329710784620142e-5,0.9747488663879236,TRUE
pre_covid,7,6,6,106,84,78,11.534896821694216,6.264391345021919,TRUE,5.0561368258530826e-5,0.9960040990692911,TRUE
full,7,7,6,106,153,147,10.921084317712499,12.746936171136467,TRUE,7.140292296077953e-5,0.9747488663879236,TRUE
pre_covid,7,7,6,106,84,78,11.553253838716406,6.191112573712703,TRUE,5.055932520629545e-5,0.9960040990692911,TRUE
