r,q,variable,sign_agreement,correlation,normalized_rmse
2,2,asset_ibov,1,0.9967290820702134,0.11103013690724067
2,2,cambio_usd,1,0.4964216356814435,0.16054933960007925
2,2,yield_2y,1,0.5985612016013736,0.13452512400935202
2,2,yield_5y,1,0.6069320478205715,0.16391674536959655
2,2,yield_6m,1,0.6430667947471905,0.14369798654623242
5,3,asset_ibov,1,-0.675104456507139,0.653890049814445
5,3,cambio_usd,0.7142857142857143,0.6426024979512628,0.8248117401799596
5,3,yield_2y,1,0.8518622667076777,0.4207977994499221
5,3,yield_5y,1,0.8860497536449441,0.5065389137309255
5,3,yield_6m,0.8571428571428571,0.6198937740881835,0.6408603614565559
5,4,asset_ibov,0.42857142857142855,-0.7652112025189987,4.789313162933423
5,4,cambio_usd,0.5714285714285714,0.7951238506422028,0.9385299418724249
5,4,yield_2y,0.7142857142857143,-0.7288555431738656,0.7195794097843627
5,4,yield_5y,0.7142857142857143,0.0767995047650364,0.7628819820747689
5,4,yield_6m,1,-0.8319550629532879,0.560236178007886
7,6,asset_ibov,0.5714285714285714,0.8495362416875468,1.9388463010029804
7,6,cambio_usd,0.2857142857142857,0.8133612814285224,1.0331190334730362
7,6,yield_2y,1,0.7167560373341068,0.592325408865937
7,6,yield_5y,0.7142857142857143,0.8253205707454269,0.7985472565073772
7,6,yield_6m,1,0.42661186835257675,0.18405393495830988
7,7,asset_ibov,0.2857142857142857,0.8226234446495041,2.3345708946764256
7,7,cambio_usd,0.2857142857142857,0.7977979208880163,1.0994386403716658
7,7,yield_2y,1,0.15805936660850545,0.5606146293045773
7,7,yield_5y,0.7142857142857143,0.6153229522617856,0.804756747658157
7,7,yield_6m,1,0.7051278304503762,0.28044973278500246
