variant,sample,q,aw_ic2
baseline,full,1,-0.5181687492728219
baseline,full,2,-0.5732835009166506
baseline,full,3,-0.5742272045104249
baseline,full,4,-0.569105790969791
baseline,full,5,-0.5569643293761208
baseline,pre_covid,1,-0.3331198151416598
baseline,pre_covid,2,-0.3507200215775539
conjunto_completo_sem_duplicatas,full,1,-0.4175680042824693
conjunto_completo_sem_duplicatas,full,2,-0.47533049954421525
conjunto_completo_sem_duplicatas,full,3,-0.47272469552820784
conjunto_completo_sem_duplicatas,full,4,-0.4680494244380244
conjunto_completo_sem_duplicatas,pre_covid,1,-0.329141637012946
conjunto_completo_sem_duplicatas,pre_covid,2,-0.33741802175856095
drop_credito,full,1,-0.41800971703281364
drop_credito,full,2,-0.4745257867380641
drop_credito,full,3,-0.4728956534855919
drop_credito,full,4,-0.46911758869329157
drop_credito,pre_covid,1,-0.32794386947849796
drop_credito,pre_covid,2,-0.33615290835080597
drop_credito__imoveis,full,1,-0.41860259130687133
drop_credito__imoveis,full,2,-0.47515888247753757
drop_credito__imoveis,full,3,-0.4735178465357492
drop_credito__imoveis,full,4,-0.4701770711992806
drop_credito__imoveis,pre_covid,1,-0.32517568372029926
drop_credito__imoveis,pre_covid,2,-0.3338437757348902
drop_eua,full,1,-0.41994897198054904
drop_eua,full,2,-0.4845696559822518
drop_eua,full,3,-0.4843815223545671
drop_eua,full,4,-0.47874058353052673
drop_eua,pre_covid,1,-0.33663175600455525
drop_eua,pre_covid,2,-0.3487161051469747
drop_eua__credito,full,1,-0.4195186356416031
drop_eua__credito,full,2,-0.4839909218647112
drop_eua__credito,full,3,-0.48486855298557596
drop_eua__credito,full,4,-0.4801261003538946
drop_eua__credito,pre_covid,1,-0.33558551583064067
drop_eua__credito,pre_covid,2,-0.34762211902152557
drop_eua__credito__imoveis,full,1,-0.42036236045615943
drop_eua__credito__imoveis,full,2,-0.4848858033321213
drop_eua__credito__imoveis,full,3,-0.4857926360795511
drop_eua__credito__imoveis,full,4,-0.4815030874263934
drop_eua__credito__imoveis,pre_covid,1,-0.3327627978257466
drop_eua__credito__imoveis,pre_covid,2,-0.34530365016441256
drop_eua__imoveis,full,1,-0.42089903218289926
drop_eua__imoveis,full,2,-0.48560858365601123
drop_eua__imoveis,full,3,-0.4855321488142035
drop_eua__imoveis,full,4,-0.4803444823558599
drop_eua__imoveis,pre_covid,1,-0.3336334171983321
drop_eua__imoveis,pre_covid,2,-0.3462960353266392
drop_expectativas,full,1,-0.34725787247440165
drop_expectativas,full,2,-0.41277699076821067
drop_expectativas,full,3,-0.4116119507316657
drop_expectativas,pre_covid,1,-0.33121078371381185
drop_expectativas,pre_covid,2,-0.3415339366193094
drop_expectativas__credito,full,1,-0.3461450086149594
drop_expectativas__credito,full,2,-0.4112998529111921
drop_expectativas__credito,full,3,-0.410965419101301
drop_expectativas__credito,pre_covid,1,-0.32990336854783175
drop_expectativas__credito,pre_covid,2,-0.34029454379639557
drop_expectativas__credito__imoveis,full,1,-0.42149744257125876
drop_expectativas__credito__imoveis,full,2,-0.4819607511663789
drop_expectativas__credito__imoveis,full,3,-0.4826493028025691
drop_expectativas__credito__imoveis,full,4,-0.4782106638350141
drop_expectativas__credito__imoveis,pre_covid,1,-0.32699402880916995
drop_expectativas__credito__imoveis,pre_covid,2,-0.33789719471651686
drop_expectativas__eua,full,1,-0.35741701058747816
drop_expectativas__eua,full,2,-0.4242506215907009
drop_expectativas__eua,full,3,-0.4246545144098982
drop_expectativas__eua,pre_covid,1,-0.3388002415801904
drop_expectativas__eua,pre_covid,2,-0.3531114131252769
drop_expectativas__eua__credito,full,1,-0.3549844750601583
drop_expectativas__eua__credito,full,2,-0.4224167486821263
drop_expectativas__eua__credito,full,3,-0.4237606072142118
drop_expectativas__eua__credito,pre_covid,1,-0.3376486591768113
drop_expectativas__eua__credito,pre_covid,2,-0.35205992590122825
drop_expectativas__eua__credito__imoveis,full,1,-0.35700778152967827
drop_expectativas__eua__credito__imoveis,full,2,-0.42593411453242047
drop_expectativas__eua__credito__imoveis,full,3,-0.4280614505793148
drop_expectativas__eua__credito__imoveis,pre_covid,1,-0.33467988651767405
drop_expectativas__eua__credito__imoveis,pre_covid,2,-0.34965562393559857
drop_expectativas__eua__imoveis,full,1,-0.3591627941585129
drop_expectativas__eua__imoveis,full,2,-0.42741449738126414
