variant,sample,r,ic1,ic2,ic3
baseline,full,1,-0.11081668292578604,-0.10237462748233202,-0.13292983076615683
baseline,full,2,-0.17106135670502812,-0.15417724581812006,-0.21528765238576972
baseline,full,3,-0.20609383343765356,-0.1807676671072915,-0.27243327695876596
baseline,full,4,-0.2165005801117868,-0.1827323583379707,-0.30495317147327
baseline,full,5,-0.22685115633281328,-0.18464087911554317,-0.3374168955346673
baseline,full,6,-0.2236519045375473,-0.1729995718768232,-0.3563307915797721
baseline,full,7,-0.21764917972381143,-0.15855479161963326,-0.372441214606407
baseline,full,8,-0.21153219173744509,-0.14399574818981287,-0.3884373744604115
baseline,full,9,-0.19928693021754718,-0.12330843122646096,-0.39830526078088435
baseline,full,10,-0.1833252562432769,-0.09890470180873667,-0.40445673464698495
baseline,full,11,-0.164941700236087,-0.07207909035809279,-0.40818632648016584
baseline,full,12,-0.14648832699698244,-0.045183661675534226,-0.41184610108143205
baseline,full,13,-0.12823971280219815,-0.01849299203729582,-0.4157106347270184
baseline,full,14,-0.11110878364690346,0.007079992561452864,-0.4206928534120946
baseline,full,15,-0.09090055680261444,0.03573027484919589,-0.4225977744081766
baseline,full,16,-0.07070216845730104,0.0643707186379634,-0.42451253390323385
baseline,full,17,-0.048385278118091346,0.0951296644206272,-0.4243087914043948
baseline,full,18,-0.027692073729005395,0.12426492425316704,-0.42572873485567975
baseline,full,19,-0.007305572459457288,0.15309348096616926,-0.4274553814265025
baseline,full,20,0.013442400127891219,0.18228350899697165,-0.4288205566795249
baseline,pre_covid,1,-0.06616525366956082,-0.05345484898786815,-0.09594370098591237
baseline,pre_covid,2,-0.11123231824627519,-0.08581150888288985,-0.1707892128789783
baseline,pre_covid,3,-0.10961795780478303,-0.07148674375970504,-0.1989532997538377
baseline,pre_covid,4,-0.1004369972421742,-0.04959537851540352,-0.2195507865075804
baseline,pre_covid,5,-0.09195848858213546,-0.02840646517367218,-0.24085072516389328
baseline,pre_covid,6,-0.089056576842307,-0.012794148752151013,-0.2677272607404163
baseline,pre_covid,7,-0.07283728072348039,0.01613555204836825,-0.28128641193794124
baseline,pre_covid,8,-0.05270922429866365,0.048974013154877705,-0.29093680282947604
baseline,pre_covid,9,-0.030678283293520958,0.083715358841713,-0.298684309140685
baseline,pre_covid,10,-0.009995655649106538,0.11710839116782001,-0.3077801288126222
baseline,pre_covid,11,0.013971476256961823,0.1537859277555812,-0.3135914442229053
baseline,pre_covid,12,0.03670437999239062,0.1892292361727026,-0.320636987803828
