variant,sample,q,aw_ic2
baseline,full,1,-0.5181687492728219
baseline,full,2,-0.5732835009166509
baseline,full,3,-0.5742272045104251
baseline,full,4,-0.5691057909697914
baseline,full,5,-0.5569643293761213
baseline,pre_covid,1,-0.33311981514165995
baseline,pre_covid,2,-0.3507200215775539
conjunto_completo_sem_duplicatas,full,1,-0.41756800428246876
conjunto_completo_sem_duplicatas,full,2,-0.4753304995442149
conjunto_completo_sem_duplicatas,full,3,-0.47272469552820784
conjunto_completo_sem_duplicatas,full,4,-0.4680494244380244
conjunto_completo_sem_duplicatas,pre_covid,1,-0.3291416370129466
conjunto_completo_sem_duplicatas,pre_covid,2,-0.3374180217585615
drop_credito,full,1,-0.41800971703281276
drop_credito,full,2,-0.4745257867380631
drop_credito,full,3,-0.47289565348559104
drop_credito,full,4,-0.4691175886932908
drop_credito,pre_covid,1,-0.3279438694784971
drop_credito,pre_covid,2,-0.3361529083508054
drop_credito__imoveis,full,1,-0.41860259130687133
drop_credito__imoveis,full,2,-0.47515888247753757
drop_credito__imoveis,full,3,-0.4735178465357492
drop_credito__imoveis,full,4,-0.4701770711992806
drop_credito__imoveis,pre_covid,1,-0.32517568372029876
drop_credito__imoveis,pre_covid,2,-0.33384377573488966
drop_eua,full,1,-0.4199489719805478
drop_eua,full,2,-0.48456965598225105
drop_eua,full,3,-0.4843815223545662
drop_eua,full,4,-0.47874058353052573
drop_eua,pre_covid,1,-0.3366317560045554
drop_eua,pre_covid,2,-0.3487161051469748
drop_eua__credito,full,1,-0.4195186356416024
drop_eua__credito,full,2,-0.48399092186471054
drop_eua__credito,full,3,-0.4848685529855753
drop_eua__credito,full,4,-0.480126100353894
drop_eua__credito,pre_covid,1,-0.33558551583064067
drop_eua__credito,pre_covid,2,-0.3476221190215259
drop_eua__credito__imoveis,full,1,-0.42036236045615927
drop_eua__credito__imoveis,full,2,-0.48488580333212106
drop_eua__credito__imoveis,full,3,-0.4857926360795504
drop_eua__credito__imoveis,full,4,-0.48150308742639275
