variant,sample,component,eigenvalue
baseline,full,1,8.875838112776385
baseline,full,2,7.123795756998528
baseline,full,3,3.773398406857626
baseline,full,4,3.2283490159894046
baseline,full,5,2.719689340211491
baseline,pre_covid,1,10.809179055445599
baseline,pre_covid,2,7.484040864273365
conjunto_completo_sem_duplicatas,full,1,10.74412790231936
conjunto_completo_sem_duplicatas,full,2,9.242197450521164
conjunto_completo_sem_duplicatas,full,3,4.473959907474856
conjunto_completo_sem_duplicatas,full,4,4.053498732718348
conjunto_completo_sem_duplicatas,pre_covid,1,12.422603521992595
conjunto_completo_sem_duplicatas,pre_covid,2,7.785512987598139
drop_credito,full,1,10.632551209443685
drop_credito,full,2,9.028726305472754
drop_credito,full,3,4.485270736040243
drop_credito,full,4,4.056105784155229
drop_credito,pre_covid,1,12.425101847948302
drop_credito,pre_covid,2,7.70123975938632
drop_credito__imoveis,full,1,10.645400167008207
drop_credito__imoveis,full,2,8.96286009308429
drop_credito__imoveis,full,3,4.455273989184632
drop_credito__imoveis,full,4,4.053851067903269
drop_credito__imoveis,pre_covid,1,12.4295590770151
drop_credito__imoveis,pre_covid,2,7.711350392514749
drop_eua,full,1,10.364387380913772
drop_eua,full,2,9.336599977556187
drop_eua,full,3,4.446470867065689
drop_eua,full,4,3.8349771050774644
drop_eua,pre_covid,1,11.925835018881259
drop_eua,pre_covid,2,7.774537592392734
drop_eua__credito,full,1,10.197174990099107
drop_eua__credito,full,2,9.195995212570812
drop_eua__credito,full,3,4.456351946291605
drop_eua__credito,full,4,3.83498059521967
drop_eua__credito,pre_covid,1,11.93035079553828
drop_eua__credito,pre_covid,2,7.686310016016085
drop_eua__credito__imoveis,full,1,10.221249183529393
drop_eua__credito__imoveis,full,2,9.123803157744081
drop_eua__credito__imoveis,full,3,4.426356394129461
drop_eua__credito__imoveis,full,4,3.831829739318517
drop_eua__credito__imoveis,pre_covid,1,11.934472931965617
drop_eua__credito__imoveis,pre_covid,2,7.695828087810094
drop_eua__imoveis,full,1,10.378632037868346
drop_eua__imoveis,full,2,9.265696919242627
drop_eua__imoveis,full,3,4.421304364324041
drop_eua__imoveis,full,4,3.8319668171916046
drop_eua__imoveis,pre_covid,1,11.929827508004323
drop_eua__imoveis,pre_covid,2,7.791485325446184
drop_expectativas,full,1,11.191807740415916
drop_expectativas,full,2,10.174921838867562
drop_expectativas,full,3,4.744212322518097
drop_expectativas,pre_covid,1,12.177792024476346
drop_expectativas,pre_covid,2,7.738308172097326
drop_expectativas__credito,full,1,10.897344034172255
drop_expectativas__credito,full,2,10.014924797786586
drop_expectativas__credito,full,3,4.746190121032386
drop_expectativas__credito,pre_covid,1,12.179248585363188
drop_expectativas__credito,pre_covid,2,7.661880566720396
drop_expectativas__credito__imoveis,full,1,10.602320335739444
drop_expectativas__credito__imoveis,full,2,8.92869014695859
drop_expectativas__credito__imoveis,full,3,4.4544782263568825
drop_expectativas__credito__imoveis,full,4,3.8598947608095964
drop_expectativas__credito__imoveis,pre_covid,1,12.183572490299513
drop_expectativas__credito__imoveis,pre_covid,2,7.673924193518368
drop_expectativas__eua,full,1,11.304385243801876
drop_expectativas__eua,full,2,9.79434549961216
drop_expectativas__eua,full,3,4.643375776791728
drop_expectativas__eua,pre_covid,1,11.667425885708155
drop_expectativas__eua,pre_covid,2,7.721777737160796
drop_expectativas__eua__credito,full,1,10.917256776217076
drop_expectativas__eua__credito,full,2,9.709120411435189
drop_expectativas__eua__credito,full,3,4.648931303991085
drop_expectativas__eua__credito,pre_covid,1,11.670589698713101
drop_expectativas__eua__credito,pre_covid,2,7.641389619515891
drop_expectativas__eua__credito__imoveis,full,1,10.9230557652419
drop_expectativas__eua__credito__imoveis,full,2,9.709652803063248
drop_expectativas__eua__credito__imoveis,full,3,4.648531183472571
drop_expectativas__eua__credito__imoveis,pre_covid,1,11.674872339431616
drop_expectativas__eua__credito__imoveis,pre_covid,2,7.652900298530015
drop_expectativas__eua__imoveis,full,1,11.299245213215091
drop_expectativas__eua__imoveis,full,2,9.794747314420334
drop_expectativas__eua__imoveis,full,3,4.643100767822958
drop_expectativas__eua__imoveis,pre_covid,1,11.671469782922204
drop_expectativas__eua__imoveis,pre_covid,2,7.740777398283787
drop_expectativas__imoveis,full,1,10.727303442059226
drop_expectativas__imoveis,full,2,9.098834706117684
drop_expectativas__imoveis,full,3,4.446709443695207
drop_expectativas__imoveis,full,4,3.8697953174072293
drop_expectativas__imoveis,pre_covid,1,12.181835744488577
drop_expectativas__imoveis,pre_covid,2,7.757646655652262
drop_fiscal,full,1,10.472888717880807
drop_fiscal,full,2,8.971457823322808
drop_fiscal,full,3,4.365722702217147
drop_fiscal,full,4,4.021227191106708
drop_fiscal,pre_covid,1,11.715305824454234
drop_fiscal,pre_covid,2,7.714944371929561
drop_fiscal__credito,full,1,10.334726335361882
drop_fiscal__credito,full,2,8.779473544775062
drop_fiscal__credito,full,3,4.380780549562766
drop_fiscal__credito,full,4,4.0266740116612585
drop_fiscal__credito,pre_covid,1,11.716254991954589
drop_fiscal__credito,pre_covid,2,7.622840538224753
drop_fiscal__credito__imoveis,full,1,10.351563836651636
drop_fiscal__credito__imoveis,full,2,8.70167283026117
drop_fiscal__credito__imoveis,full,3,4.3322752410911995
drop_fiscal__credito__imoveis,full,4,4.024904246894573
drop_fiscal__credito__imoveis,pre_covid,1,11.720231041576579
drop_fiscal__credito__imoveis,pre_covid,2,7.635288078966132
drop_fiscal__eua,full,1,10.253211268123716
drop_fiscal__eua,full,2,8.936216541214211
drop_fiscal__eua,full,3,4.346561491153616
