variant,sample,component,eigenvalue
baseline,full,1,16.34539507761223
baseline,full,2,10.45543372499125
baseline,full,3,7.472319395192552
baseline,full,4,5.178925424151778
baseline,full,5,4.7909069642170445
baseline,full,6,3.6806129011731072
baseline,full,7,3.3061802580217106
baseline,full,8,3.105578345984698
baseline,full,9,2.6354858234159813
baseline,full,10,2.3298192190495035
baseline,full,11,2.111382028120881
baseline,full,12,2.008817468753793
baseline,full,13,1.9219804347429583
baseline,full,14,1.8720853481464441
baseline,full,15,1.6735416099610692
baseline,full,16,1.5977333565875185
baseline,full,17,1.457189163334206
baseline,full,18,1.4435765193323287
baseline,full,19,1.3875341694014103
baseline,full,20,1.3145570784795058
baseline,pre_covid,1,13.320662906367447
baseline,pre_covid,2,10.90156185694628
baseline,pre_covid,3,6.236866744060521
baseline,pre_covid,4,5.234383296191832
baseline,pre_covid,5,4.906369502992425
baseline,pre_covid,6,4.881199565248521
baseline,pre_covid,7,3.7812639260870737
baseline,pre_covid,8,3.3364104426387944
baseline,pre_covid,9,3.041110875256597
baseline,pre_covid,10,2.9224918195288123
baseline,pre_covid,11,2.605428474000609
baseline,pre_covid,12,2.5058340997932596
baseline,pre_covid,13,2.19777020047491
baseline,pre_covid,14,2.125151142343322
baseline,pre_covid,15,1.9988408005877636
baseline,pre_covid,16,1.8605995280308063
baseline,pre_covid,17,1.7926620395934538
baseline,pre_covid,18,1.7039851620745328
baseline,pre_covid,19,1.617706197122929
baseline,pre_covid,20,1.6111565024128987
conjunto_completo_sem_duplicatas,full,1,17.15111868521911
conjunto_completo_sem_duplicatas,full,2,11.93151820791334
conjunto_completo_sem_duplicatas,full,3,8.767271070249638
conjunto_completo_sem_duplicatas,full,4,6.015955344832117
conjunto_completo_sem_duplicatas,full,5,5.046778092406945
conjunto_completo_sem_duplicatas,full,6,4.052742569257105
conjunto_completo_sem_duplicatas,full,7,3.7318501411694824
conjunto_completo_sem_duplicatas,full,8,3.351968056392595
conjunto_completo_sem_duplicatas,full,9,3.0312578733950435
conjunto_completo_sem_duplicatas,full,10,2.872022547716026
conjunto_completo_sem_duplicatas,full,11,2.5850524953010496
conjunto_completo_sem_duplicatas,full,12,2.5024458354278343
conjunto_completo_sem_duplicatas,full,13,2.3347609766260358
conjunto_completo_sem_duplicatas,full,14,2.1877994965345233
conjunto_completo_sem_duplicatas,full,15,2.057281896736409
conjunto_completo_sem_duplicatas,full,16,1.8730268696364785
conjunto_completo_sem_duplicatas,full,17,1.7847944067839838
conjunto_completo_sem_duplicatas,full,18,1.7458137065252548
conjunto_completo_sem_duplicatas,full,19,1.6672372123596266
conjunto_completo_sem_duplicatas,full,20,1.5526086587981993
conjunto_completo_sem_duplicatas,pre_covid,1,15.255734790188363
conjunto_completo_sem_duplicatas,pre_covid,2,11.448032042607934
conjunto_completo_sem_duplicatas,pre_covid,3,7.416153718855071
conjunto_completo_sem_duplicatas,pre_covid,4,5.947355240941034
conjunto_completo_sem_duplicatas,pre_covid,5,5.626186895607512
conjunto_completo_sem_duplicatas,pre_covid,6,5.30649778137303
conjunto_completo_sem_duplicatas,pre_covid,7,4.424194922672061
conjunto_completo_sem_duplicatas,pre_covid,8,3.9152694023024006
conjunto_completo_sem_duplicatas,pre_covid,9,3.7271453317651644
conjunto_completo_sem_duplicatas,pre_covid,10,3.178520959380347
conjunto_completo_sem_duplicatas,pre_covid,11,2.9520413535298444
conjunto_completo_sem_duplicatas,pre_covid,12,2.7687195113632694
conjunto_completo_sem_duplicatas,pre_covid,13,2.7029267656848965
conjunto_completo_sem_duplicatas,pre_covid,14,2.4952689882097374
conjunto_completo_sem_duplicatas,pre_covid,15,2.491023018087449
conjunto_completo_sem_duplicatas,pre_covid,16,2.312849898422805
conjunto_completo_sem_duplicatas,pre_covid,17,2.203729923389536
conjunto_completo_sem_duplicatas,pre_covid,18,2.070356984649346
conjunto_completo_sem_duplicatas,pre_covid,19,1.910393851310306
conjunto_completo_sem_duplicatas,pre_covid,20,1.8235643381940947
drop_credito,full,1,17.089030031037144
drop_credito,full,2,11.862832294248802
drop_credito,full,3,8.290481248856102
drop_credito,full,4,5.942168898981907
drop_credito,full,5,5.0449232880826145
drop_credito,full,6,4.030819663941156
drop_credito,full,7,3.6643663907414172
drop_credito,full,8,3.344884681105161
drop_credito,full,9,3.0297974955811267
drop_credito,full,10,2.8311488690733393
drop_credito,full,11,2.507664447582656
drop_credito,full,12,2.4037618538020227
drop_credito,full,13,2.3304025194328655
drop_credito,full,14,2.183368034743666
drop_credito,full,15,2.0471800118166055
drop_credito,full,16,1.8710681752938307
drop_credito,full,17,1.767162365762995
drop_credito,full,18,1.6833193347329858
drop_credito,full,19,1.6460965513812391
drop_credito,full,20,1.5423427210115102
drop_credito,pre_covid,1,15.231156929220761
drop_credito,pre_covid,2,11.251263376461775
drop_credito,pre_covid,3,7.279896339829709
drop_credito,pre_covid,4,5.859276627561922
drop_credito,pre_covid,5,5.429808353894723
drop_credito,pre_covid,6,5.252890732906581
drop_credito,pre_covid,7,4.395090793975931
drop_credito,pre_covid,8,3.786006024115304
drop_credito,pre_covid,9,3.701247838026369
drop_credito,pre_covid,10,3.166583109098647
drop_credito,pre_covid,11,2.910476786364517
drop_credito,pre_covid,12,2.75197039612016
drop_credito,pre_covid,13,2.6794950067603414
drop_credito,pre_covid,14,2.479322128889109
drop_credito,pre_covid,15,2.4669789602928445
drop_credito,pre_covid,16,2.2736671033864844
drop_credito,pre_covid,17,2.1929008746935823
drop_credito,pre_covid,18,1.960433850444097
drop_credito,pre_covid,19,1.8955652536441079
drop_credito,pre_covid,20,1.8210568960939695
drop_credito__imoveis,full,1,17.088428164470585
drop_credito__imoveis,full,2,11.861454760833668
drop_credito__imoveis,full,3,8.228515648961565
drop_credito__imoveis,full,4,5.9332064426001
drop_credito__imoveis,full,5,5.030590733581985
drop_credito__imoveis,full,6,3.9570130226682814
drop_credito__imoveis,full,7,3.6629569724373723
drop_credito__imoveis,full,8,3.3443673777835023
drop_credito__imoveis,full,9,3.02737305356489
drop_credito__imoveis,full,10,2.7883729550559084
drop_credito__imoveis,full,11,2.4960710703530475
drop_credito__imoveis,full,12,2.34873718555105
drop_credito__imoveis,full,13,2.1836707284156445
drop_credito__imoveis,full,14,2.1318481731476338
drop_credito__imoveis,full,15,1.9981675847796696
drop_credito__imoveis,full,16,1.8455880441383774
drop_credito__imoveis,full,17,1.755492317240064
drop_credito__imoveis,full,18,1.6723260416378773
drop_credito__imoveis,full,19,1.625614906630529
drop_credito__imoveis,full,20,1.5407793070934157
drop_credito__imoveis,pre_covid,1,15.170813447514112
drop_credito__imoveis,pre_covid,2,11.245518566923971
drop_credito__imoveis,pre_covid,3,7.218095655712602
drop_credito__imoveis,pre_covid,4,5.850844173382862
drop_credito__imoveis,pre_covid,5,5.261396207874498
drop_credito__imoveis,pre_covid,6,5.1608018616688485
drop_credito__imoveis,pre_covid,7,4.391579950650721
drop_credito__imoveis,pre_covid,8,3.711412561201624
drop_credito__imoveis,pre_covid,9,3.5388536675999434
drop_credito__imoveis,pre_covid,10,3.1662917901767287
drop_credito__imoveis,pre_covid,11,2.882239411226351
drop_credito__imoveis,pre_covid,12,2.7378123094970763
drop_credito__imoveis,pre_covid,13,2.6774953578978087
drop_credito__imoveis,pre_covid,14,2.4780190144466077
drop_credito__imoveis,pre_covid,15,2.429540320013113
