var,beta_juros,t_juros,beta_cambio,t_cambio,irf_prod_0,irf_prod_12,irf_prod_48,irf_loglevel_0,irf_loglevel_12,irf_loglevel_48,irf_level_0,irf_level_12,irf_level_48,variante,h,cor_beta_juros,cor_sp_juros,amplitude,n_neg
asset_ibov,-2.872544983509113,-2.8955234951357505,-0.14158384470451105,-2.3592376011942355,-2.4071247096898034,19.15753289137166,13.85893672593281,-4.586990435430494,-0.4023827046006234,1.7499392251015378,-6.073536515271211,0.0188026635233837,0.9585235923919245,NA,NA,NA,NA,NA,NA
asset_idiv,-2.362579616403995,-2.5847246814314397,-0.1718336365257689,-3.4612013392145577,-2.8998802971059447,21.30017383103134,30.192665157929614,-4.797939971773458,-0.22996519820588368,1.2529001122005612,-5.49558101080171,0.3675313727032282,0.3130705911774843,NA,NA,NA,NA,NA,NA
asset_ifix,-1.3477587661823338,-2.3098483186067242,-0.07632235188996987,-2.5191587150081087,-2.1754831969071566,-14.391667379372237,-42.82149016480595,-2.485409823800533,0.07755985030832857,1.0834786523128415,-2.9376719104029143,0.43893764844403454,0.5599404487900606,NA,NA,NA,NA,NA,NA
asset_ifnc,-3.706216165672578,-3.2653837806597026,-0.19728241257090368,-3.159872504740072,-3.150614599797503,28.838896307112655,64.59317565093077,-6.774906869180219,-0.330593384148159,1.2043282352570905,-8.716838946978498,0.6127864021362649,0.28393448760539064,NA,NA,NA,NA,NA,NA
asset_imat,-0.3746691810473135,-0.2856592574790603,-0.04966364970084453,-0.8568859895671259,-0.4554844870638769,11.972189297955172,-27.05972129261678,1.1466272975287906,-0.6217454962986757,3.875837647839364,-0.3825928699648809,-1.2020639400922846,3.204657836180057,NA,NA,NA,NA,NA,NA
asset_imob,-5.767651625438674,-4.710010219632577,-0.17732939055839939,-2.2230571899429155,-3.787472630379492,15.53427730329598,31.345590083097896,-8.358853669470268,-0.382761410667809,2.0726297024764584,-10.436630555168843,1.3300790946181753,1.1214740213473438,NA,NA,NA,NA,NA,NA
asset_mlcx,-2.6604306328052054,-2.767883913369686,-0.13847118975198297,-2.3391226340103346,-2.478226647465269,16.121662596271083,8.238019283013674,-4.421831961148492,-0.5127637127916973,1.4933178698182337,-5.809902955554715,-0.11060887969633572,0.8044627118673022,NA,NA,NA,NA,NA,NA
asset_smll,-3.762546071148937,-3.5019525301711414,-0.16681801951479092,-2.453224745019166,-4.056447726658324,6.012477856292404,-1.5005394806637327,-5.846967017444604,-0.552651852990127,2.5482895303359676,-7.9610481773117705,0.1343170727811718,1.922464522903119,NA,NA,NA,NA,NA,NA
cor_h0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prod,0,0.8673661221831531,0.880952380952381,3.600963239594447,8
cor_h6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prod,6,-0.06913673752579556,0.1904761904761905,20.510089421020588,2
cor_h12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prod,12,-0.3625485081685405,-0.1904761904761905,43.23056368648489,1
cor_h24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prod,24,-0.6032037446983368,-0.5000000000000001,76.1853364504575,1
cor_h36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prod,36,-0.6582939465771653,-0.5000000000000001,98.25754778549096,2
cor_h48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prod,48,-0.6656436282186567,-0.6190476190476192,107.41466581573673,3
cor_h0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,loglevel,0,0.9504216918098519,0.904761904761905,9.505480966999059,7
cor_h6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,loglevel,6,0.9723059515559896,0.9523809523809526,5.982648101570353,8
cor_h12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,loglevel,12,0.10356462673603248,0.04761904761904762,0.6993053466070043,7
cor_h24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,loglevel,24,-0.8994383407021315,-0.8333333333333335,3.154309286108403,0
cor_h36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,loglevel,36,-0.2305895232805077,-0.23809523809523814,1.862728066404884,0
cor_h48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,loglevel,48,0.25944613049459636,-0.16666666666666669,2.7923589955265227,0
cor_h0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,level,0,0.9751679798387702,0.9761904761904763,10.054037685203962,8
cor_h6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,level,6,0.9773765280341103,0.9761904761904763,4.907130034624504,8
cor_h12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,level,12,-0.8092255718916134,-0.5476190476190477,2.53214303471046,2
cor_h24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,level,24,-0.8735261706329186,-0.8333333333333335,3.8408087194843046,1
cor_h36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,level,36,-0.2328700763800741,-0.42857142857142866,2.506944675227328,0
cor_h48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,level,48,0.3417534674263122,-0.04761904761904762,2.920723348574666,0
