variante,var,bloco,h,point,lo68,hi68,lo90,hi90,sig68,sig90
prod,asset_ibov,acoes,0,-1.7226766564462794,-5.042048896776712,-0.6326662923472044,-6.909569370107163,0.7746864489614053,TRUE,FALSE
prod,asset_ibov,acoes,1,-1.5051304991343155,-3.509402536914231,0.20761923750617872,-4.710686844963002,1.4130657921783356,FALSE,FALSE
prod,asset_ibov,acoes,2,0.9203767224156315,-1.1080077181355645,3.112631366633935,-2.5761180015220466,4.480588557569739,FALSE,FALSE
prod,asset_ibov,acoes,3,-0.8103568778510314,-2.5364441157744926,1.6722676431317227,-3.7637802633408226,3.135601112988636,FALSE,FALSE
prod,asset_ibov,acoes,4,-0.13943383400093973,-1.8692740307206046,2.282192438987114,-3.1639579253801045,3.9013886010317367,FALSE,FALSE
prod,asset_ibov,acoes,5,1.1598819670014393,-0.6361705408417775,3.201054225402335,-1.8428730766980908,4.627908559680203,FALSE,FALSE
prod,asset_ibov,acoes,6,1.1848868120784808,-0.6464393900974974,3.0220302667046774,-1.8829014672210622,4.428850882521043,FALSE,FALSE
prod,asset_ibov,acoes,7,1.7574376997263224,-0.20283600276118463,3.4142139428889973,-1.5232862024705336,4.826615983963074,FALSE,FALSE
prod,asset_ibov,acoes,8,2.007212669528503,0.3122719272545033,3.7098156066154515,-0.9354917605725709,5.032035046825862,TRUE,FALSE
prod,asset_ibov,acoes,9,1.7602878479276207,-0.0056976118720619365,3.3243053116186814,-1.3662074385797902,4.832291831934313,FALSE,FALSE
prod,asset_ibov,acoes,10,1.9561927335591878,0.058516419070266376,3.506707661996864,-1.219967011584596,5.090999164805509,TRUE,FALSE
prod,asset_ibov,acoes,11,1.7930159208376435,-0.10367656534030259,3.4905468343866124,-1.3391236674986307,4.99013548289617,FALSE,FALSE
prod,asset_ibov,acoes,12,1.8973108513686994,-0.0307939474028552,3.65232144937277,-1.3119339595197024,5.208414243598201,FALSE,FALSE
prod,asset_ibov,acoes,13,1.6507306714784973,-0.2710854097963806,3.5830389811876895,-1.451802484622269,4.99413909571784,FALSE,FALSE
prod,asset_ibov,acoes,14,1.336144134826764,-0.38599497151170215,3.4791556482620716,-1.5819168851490502,5.012861475684995,FALSE,FALSE
prod,asset_ibov,acoes,15,1.2416819334419464,-0.4351266138781577,3.3547868678203034,-1.592616405551907,5.103382370146514,FALSE,FALSE
prod,asset_ibov,acoes,16,0.9573221361126406,-0.727753645737773,3.3355124931674953,-1.8429365999838268,5.124953873140863,FALSE,FALSE
prod,asset_ibov,acoes,17,0.8187981877282674,-0.7389581886611992,3.333287956762385,-1.9272959548073532,5.147357487873095,FALSE,FALSE
prod,asset_ibov,acoes,18,0.6875647213734501,-0.7605141883439672,3.386342817103499,-2.0275568206363612,5.139122821497827,FALSE,FALSE
prod,asset_ibov,acoes,19,0.4299599937700035,-0.9570535767032002,3.215486906080493,-2.202067861557087,5.099783153742701,FALSE,FALSE
prod,asset_ibov,acoes,20,0.2605186313753189,-1.0505181401891979,3.114716515732452,-2.257810528740454,4.997445722386391,FALSE,FALSE
