block,id,name,source,unit,source_frequency,status,file,producer,reason,metadata_url
fiscal,13762,Dívida bruta do governo geral (% PIB) - Metodologia utilizada a partir de 2008,BCB/SGS,Percentual,mensal,novo download necessário,data/raw/panel_candidates/sgs_13762.csv,R/data_download/bcb.R,Série corrente; o SGS não permite reconstruir o vintage disponível em tempo real.,https://www3.bcb.gov.br/sgspub/consultarvalores/consultarValoresSeries.do?method=consultarGraficoPorId&hdOidSeriesSelecionadas=13762
fiscal,4513,Dívida Líquida do Setor Público (% PIB) - Total - Setor público consolidado,BCB/SGS,Percentual,mensal,novo download necessário,data/raw/panel_candidates/sgs_4513.csv,R/data_download/bcb.R,Série corrente; o SGS não permite reconstruir o vintage disponível em tempo real.,https://www3.bcb.gov.br/sgspub/consultarvalores/consultarValoresSeries.do?method=consultarGraficoPorId&hdOidSeriesSelecionadas=4513
fiscal,4649,NFSP sem desvalorização cambial - Fluxo mensal corrente - Resultado primário - Total - Setor público consolidado,BCB/SGS,Milhões de reais,mensal,novo download necessário,data/raw/panel_candidates/sgs_4649.csv,R/data_download/bcb.R,Muda de sinal e não admite log; série corrente sem reconstrução de vintage em tempo real.,https://www3.bcb.gov.br/sgspub/consultarvalores/consultarValoresSeries.do?method=consultarGraficoPorId&hdOidSeriesSelecionadas=4649
setor_externo,23079,Transações Correntes acumulado em 12 meses em relação ao PIB - mensal,BCB/SGS,Percentual,mensal,novo download necessário,data/raw/panel_candidates/sgs_23079.csv,R/data_download/bcb.R,Escolhida em vez do saldo mensal 22701 para manter o bloco pequeno.,https://www3.bcb.gov.br/sgspub/consultarvalores/consultarValoresSeries.do?method=consultarGraficoPorId&hdOidSeriesSelecionadas=23079
setor_externo,22708,Exportação de bens - Balanço de Pagamentos - mensal,BCB/SGS,Milhões de dólares americanos,mensal,novo download necessário,data/raw/panel_candidates/sgs_22708.csv,R/data_download/bcb.R,Total de bens no BPM6; o saldo 22707 é excluído para evitar identidade exata.,https://www3.bcb.gov.br/sgspub/consultarvalores/consultarValoresSeries.do?method=consultarGraficoPorId&hdOidSeriesSelecionadas=22708
setor_externo,22709,Importação de bens - Balanço de Pagamentos - mensal,BCB/SGS,Milhões de dólares americanos,mensal,novo download necessário,data/raw/panel_candidates/sgs_22709.csv,R/data_download/bcb.R,Total de bens no BPM6; o saldo 22707 é excluído para evitar identidade exata.,https://www3.bcb.gov.br/sgspub/consultarvalores/consultarValoresSeries.do?method=consultarGraficoPorId&hdOidSeriesSelecionadas=22709
setor_externo,3546,Reservas internacionais - Total - mensal,BCB/SGS,US$ (milhões),mensal,novo download necessário,data/raw/panel_candidates/sgs_3546.csv,R/data_download/bcb.R,Conceito liquidez; nível mensal.,https://www3.bcb.gov.br/sgspub/consultarvalores/consultarValoresSeries.do?method=consultarGraficoPorId&hdOidSeriesSelecionadas=3546
expectativas,FOCUS_IPCA12M,Expectativa Focus para IPCA suavizado nos próximos 12 meses,BCB/Focus Olinda,Percentual,diária,novo download necessário,data/raw/panel_candidates/focus_ipca12m.csv,R/data_download/focus_fred.R,Última mediana publicada dentro de cada mês; sem revisão retrospectiva.,https://dadosabertos.bcb.gov.br/dataset/expectativas-mercado
expectativas,FOCUS_SELIC_NY,Expectativa Focus para Selic no fim do ano seguinte,BCB/Focus Olinda,Percentual ao ano,diária,novo download necessário,data/raw/panel_candidates/focus_selic_ny.csv,R/data_download/focus_fred.R,Última mediana publicada dentro de cada mês para horizonte de ano seguinte.,https://dadosabertos.bcb.gov.br/dataset/expectativas-mercado
expectativas,FOCUS_PIB_NY,Expectativa Focus para PIB Total no ano seguinte,BCB/Focus Olinda,Variação percentual anual,diária,novo download necessário,data/raw/panel_candidates/focus_pib_ny.csv,R/data_download/focus_fred.R,Última mediana publicada dentro de cada mês para horizonte de ano seguinte.,https://dadosabertos.bcb.gov.br/dataset/expectativas-mercado
expectativas,FOCUS_CAMBIO_NY,Expectativa Focus para câmbio no fim do ano seguinte,BCB/Focus Olinda,R$/US$,diária,novo download necessário,data/raw/panel_candidates/focus_cambio_ny.csv,R/data_download/focus_fred.R,Última mediana publicada dentro de cada mês para horizonte de ano seguinte.,https://dadosabertos.bcb.gov.br/dataset/expectativas-mercado
eua,DGS10,"Market Yield on U.S. Treasury Securities at 10-Year Constant Maturity, Quoted on an Investment Basis",Federal Reserve Board via FRED,Percentual,diária,novo download necessário,data/raw/panel_candidates/fred_DGS10.csv,R/data_download/focus_fred.R,Última observação disponível dentro de cada mês.,https://fred.stlouisfed.org/series/DGS10
eua,FEDFUNDS,Federal Funds Effective Rate,Federal Reserve Board via FRED,Percentual,mensal,novo download necessário,data/raw/panel_candidates/fred_FEDFUNDS.csv,R/data_download/focus_fred.R,Média mensal de observações diárias publicada pela fonte.,https://fred.stlouisfed.org/series/FEDFUNDS
eua,DTWEXBGS,Nominal Broad U.S. Dollar Index,Federal Reserve Board via FRED,Índice jan/2006=100,diária,novo download necessário,data/raw/panel_candidates/fred_DTWEXBGS.csv,R/data_download/focus_fred.R,Última observação disponível dentro de cada mês.,https://fred.stlouisfed.org/series/DTWEXBGS
credito,21082,Inadimplência da carteira de crédito - Total,BCB/SGS,Percentual,mensal,novo download necessário,data/raw/panel_candidates/sgs_21082.csv,R/data_download/bcb.R,Agregado; não abre modalidades de crédito.,https://www3.bcb.gov.br/sgspub/consultarvalores/consultarValoresSeries.do?method=consultarGraficoPorId&hdOidSeriesSelecionadas=21082
credito,20714,Taxa média de juros das operações de crédito - Total,BCB/SGS,Percentual ao ano,mensal,novo download necessário,data/raw/panel_candidates/sgs_20714.csv,R/data_download/bcb.R,Agregado; não abre modalidades de crédito.,https://www3.bcb.gov.br/sgspub/consultarvalores/consultarValoresSeries.do?method=consultarGraficoPorId&hdOidSeriesSelecionadas=20714
