month,s,weight,mahal_ols,mahal_wls
2012-07-01,1,1,0.46289567680271154,0.4046060288834793
2012-08-01,1,1,0.23338195918263774,0.24365053465974046
2012-09-01,1,1,0.4898169019929445,1.1494045295953186
2012-10-01,1,1,0.6378869735701154,0.6974377924769074
2012-11-01,1,1,0.06782354804957871,0.08777598842260861
2012-12-01,1,1,0.3428808764343757,0.38273660038964036
2013-01-01,1,1,0.4955314571499425,0.9637150350855801
2013-02-01,1,1,0.4513839037126962,0.5408764138698151
2013-03-01,1,1,0.7576602359813098,0.7914684381289644
2013-04-01,1,1,1.3111098375086105,1.2594660344368174
2013-05-01,1,1,0.3353779821188321,0.5545973868637752
2013-06-01,1,1,0.5294803802364326,0.8051769990471629
2013-07-01,1,1,0.5160179081593856,0.6518849500578953
2013-08-01,1,1,0.49368365968843475,0.619047789328955
2013-09-01,1,1,0.40447216828353955,0.5359697189793936
2013-10-01,1,1,0.04812995123329273,0.02557336930230451
2013-11-01,1,1,0.1704779816891892,0.24083612162779905
2013-12-01,1,1,0.11799804477059002,0.31754506476779726
2014-01-01,1,1,0.9757292790457022,1.4062463335218716
2014-02-01,1,1,2.775844886058703,3.0993677516662475
2014-03-01,1,1,1.0005704766888008,2.2298192165227184
2014-04-01,1,1,0.42579343922727475,0.6183434894578268
2014-05-01,1,1,0.5037921401803953,0.19627586036301767
2014-06-01,1,1,0.7072400627006655,1.5700027810680626
2014-07-01,1,1,0.5378907626845763,0.7153812428740537
2014-08-01,1,1,0.5709198957353977,0.599538185951837
2014-09-01,1,1,0.8950618780437513,1.457058797934263
2014-10-01,1,1,0.14001580638286576,0.26457610861645564
2014-11-01,1,1,0.2055693206116179,0.1433941479374621
2014-12-01,1,1,0.7173603445984982,0.9955569834780486
2015-01-01,1,1,2.3438526924828524,2.769003733391733
2015-02-01,1,1,0.40874256080181237,1.1415474075667813
2015-03-01,1,1,0.6180184015489895,0.6186364992593346
2015-04-01,1,1,3.441762220327715,3.821016899752242
2015-05-01,1,1,1.0726737176648597,0.9062149505334413
2015-06-01,1,1,1.117794728156656,0.9256042146647528
2015-07-01,1,1,0.7422944700903218,1.0417866198351473
2015-08-01,1,1,1.8418176507486543,2.094207994799603
2015-09-01,1,1,2.9682350975109224,3.3869576669739403
2015-10-01,1,1,0.27635792670542153,0.19614081636089303
2015-11-01,1,1,0.9402084046545243,0.9019878210507738
2015-12-01,1,1,0.4806670114570826,0.5212053154600647
2016-01-01,1,1,4.660811185062215,8.00553925043905
2016-02-01,1,1,2.435623316071107,0.3618576181849156
2016-03-01,1,1,2.2318554680290563,2.8951412642557712
2016-04-01,1,1,0.7968893696939156,0.29788379456374414
2016-05-01,1,1,0.9075601241477163,1.2584608052302193
2016-06-01,1,1,0.45602007215841683,0.5774347364773931
2016-07-01,1,1,0.5801377838246797,0.5198145869418711
2016-08-01,1,1,0.28101513409348466,0.33518911773861243
2016-09-01,1,1,0.419755174940319,0.46041512781866156
2016-10-01,1,1,0.4476860289503586,0.6657999420313654
2016-11-01,1,1,0.45641877825449056,0.5756943421517376
2016-12-01,1,1,0.4228663493592886,0.4175507440617337
2017-01-01,1,1,0.955689340963875,1.0279434392559144
2017-02-01,1,1,0.5334511976481877,0.6760437493721629
2017-03-01,1,1,0.2471792367032815,0.30257398314974304
2017-04-01,1,1,0.32398756141815455,0.3585343391500774
2017-05-01,1,1,0.13699200818281024,0.1834425956516783
2017-06-01,1,1,0.3821389818459612,0.5204598763805375
2017-07-01,1,1,0.4960393174384718,0.6196602988024067
2017-08-01,1,1,0.3106425767481334,0.31128035739740334
2017-09-01,1,1,0.11563116669854108,0.1843578109787323
2017-10-01,1,1,0.10691288999767415,0.2520432622144098
2017-11-01,1,1,0.050463555920285286,0.07771594305860918
2017-12-01,1,1,0.5295343910881671,0.5788026181895802
2018-01-01,1,1,0.2807857091443236,0.25646198334165815
2018-02-01,1,1,0.453587479162019,0.6530796369364206
2018-03-01,1,1,0.4907800602998071,0.5360437314770473
2018-04-01,1,1,0.4339065775503704,0.5267809731286166
2018-05-01,1,1,3.389673196466667,5.667465106941332
2018-06-01,1,1,3.504914308219811,3.2962599584620826
2018-07-01,1,1,1.269575515962309,1.211611519080286
2018-08-01,1,1,0.5929759015352201,0.4457931016139587
2018-09-01,1,1,0.23935418236771105,0.1529290072767738
2018-10-01,1,1,1.846535391466242,1.9780719589937525
2018-11-01,1,1,0.4285833618781398,0.43215180062473096
2018-12-01,1,1,0.5470995389167468,0.501592016861175
2019-01-01,1,1,0.40648608378896195,0.2865055643555602
2019-02-01,1,1,0.4482531941412201,0.7298249255750255
2019-03-01,1,1,0.6363186993312454,1.9562220643956774
2019-04-01,1,1,0.7876860137433362,0.9714941336995258
2019-05-01,1,1,0.8139638964795879,0.8667226198816455
2019-06-01,1,1,1.7992955269880295,1.9124273637354086
2019-07-01,1,1,0.26014795176955224,0.12270610841177407
2019-08-01,1,1,0.4363776431541915,0.6911934587785296
2019-09-01,1,1,0.5929393616868673,0.5223634885368889
2019-10-01,1,1,0.4196122961338823,0.27468166985967996
2019-11-01,1,1,0.6838615267567079,0.8760333480321043
2019-12-01,1,1,1.0673389646839022,2.031139836399579
2020-01-01,1,1,1.7970938579097968,2.295716489011591
2020-02-01,1,1,1.0353722007583017,1.6069256287161884
2020-03-01,6.611428527060552,0.02287754326267522,10.904653037181033,1.0000135644954433
2020-04-01,12.468337921789994,0.0064325455710684066,10.228689039433513,0.999996841675076
2020-05-01,1.760352430309222,0.32270132724487033,0.8305997813270427,1.362682859462933
2020-06-01,1.7177165650438764,0.3389198396749076,0.5993331619966444,0.8144081207155821
2020-07-01,1.6774714556102515,0.35537733184777687,0.9770446118966177,1.4610083307162238
2020-08-01,1.6394830431963276,0.37203700674379026,0.4420061882433556,0.3737718824065013
2020-09-01,1.6036247861797706,0.38886108134761094,0.43216978209777795,0.335012039071376
2020-10-01,1.5697772386103925,0.4058111212939172,0.5300045745455949,0.474114224521388
2020-11-01,1.5378276523287076,0.42284837725439156,1.0906573036719558,0.8952172254872174
2020-12-01,1.5076696013952235,0.43993411728469256,3.3419115229730707,1.4168471818920294
2021-01-01,1.479202627579416,0.4570299496565516,2.8870257598538585,2.060660163459592
2021-02-01,1.4523319057274893,0.4740981311434672,0.4549442721853869,0.26417473056249696
2021-03-01,1.426967927894248,0.4911018562859609,0.5909527518490044,0.9997308860041239
2021-04-01,1.4030262051868982,0.5080055238081708,1.0345783797784636,0.9720071947556882
2021-05-01,1.380426986327607,0.5247749770643072,0.6211570843001658,0.8003886632502691
2021-06-01,1.3590949919973343,0.5413777161335495,0.46257258219478176,0.4017691227256372
2021-07-01,1.3389591640760214,0.5577830799288107,1.388933081285899,0.9353876084680989
2021-08-01,1.319952428943838,0.5739623974141228,0.1085202836364425,0.1202163860831297
2021-09-01,1.3020114740550348,0.5898891077159055,1.0090179009806242,0.6973003085561664
2021-10-01,1.2850765370401533,0.6055388495475239,4.512428000423069,3.650210188247373
2021-11-01,1.269091206634078,0.6208895209306761,0.8017760000835146,0.5852964104820834
2021-12-01,1.2540022347668165,0.635921310681818,0.36930839628423284,0.37272524242914407
2022-01-01,1.2397593591910647,0.6506167035315449,1.7177659928943214,1.5341454846176048
2022-02-01,1.226315136055724,0.664960461057741,0.8065846654845139,0.9063530028498723
2022-03-01,1.2136247818676589,0.6789395808408806,1.9291891947193396,2.308281110162173
2022-04-01,1.201646024315264,0.6925432363962096,1.4119763578546052,1.4679939012850496
2022-05-01,1.1903389614569237,0.7057627005090419,2.3190103314037662,2.64135927470427
2022-06-01,1.1796659288053113,0.7185912546039234,0.7654746708236236,1.0326024662822566
2022-07-01,1.1695913738647805,0.7310240867249087,2.550872080857839,2.05171384312638
2022-08-01,1.160081737703924,0.7430581806021106,0.3394063169754699,0.21726400973680898
2022-09-01,1.151105343168812,0.7546921981385574,1.0890064123689807,1.287424272009214
2022-10-01,1.1426322893645398,0.765926357480496,0.761932508498385,0.7207528083488941
2022-11-01,1.1346343520535993,0.7767623086422855,0.9410544005103425,0.8351619239231514
2022-12-01,1.127084889639295,0.7872030084518667,0.4526144291776668,0.3440674294648706
2023-01-01,1.119958754421027,0.7972525963714509,0.6326727899842066,1.1447339146300242
2023-02-01,1.1132322088258304,0.8069162725365391,1.1860296431913397,1.0861037815611387
2023-03-01,1.1068828463371325,0.8162001791496847,0.6927163036391562,0.7441231099283938
2023-04-01,1.1008895168573367,0.8251112861674825,1.4007356428327926,1.2765713327757833
2023-05-01,1.0952322562556105,0.8336572820332413,0.49895218109905654,0.561679916849841
2023-06-01,1.0898922198661984,0.8418464700358022,0.7835806641670283,0.5913854452093668
2023-07-01,1.08485161971574,0.8496876707184947,0.13275557629376614,0.1383631661190047
2023-08-01,1.0800936652704898,0.8571901306220432,0.8622809020332939,1.0086169844983064
2023-09-01,1.075602507506068,0.8643634375215449,0.29968792592665344,0.23758824387869212
2023-10-01,1.0713631861134343,0.8712174422102712,0.5538945207161965,0.7023960571347304
2023-11-01,1.0673615796652234,0.8777621867913379,1.4360766776585854,1.273142837874266
2023-12-01,1.0635843585764457,0.884007839361464,0.3979266398840896,0.4421560431685213
2024-01-01,1.0600189407028602,0.8899646349079998,0.7875323109613166,0.8968502422964196
2024-02-01,1.056653449429116,0.8956428221900092,0.4135168152833707,0.36746522932679715
2024-03-01,1.0534766741070531,0.9010526163351901,0.08772963200906567,0.22183703635810162
