rho,loglik,s0,s1,s2,convergence
0,-1582.2120997645773,6.218199901315408,12.427006034972722,4.642884680662717,0
0.01,-1582.3185178717904,6.218934320276733,12.413123161209457,4.540322236303798,0
0.02,-1582.416412198735,6.219670451619362,12.401018314345004,4.4543416138019944,0
0.03,-1582.5072293926787,6.220407384130717,12.3903345443967,4.380863551673271,0
0.04,-1582.5920793299128,6.22114438739739,12.380814219327677,4.317107712249616,0
0.05,-1582.6718391262254,6.221880757851215,12.372263072476942,4.2610899015615145,0
0.06,-1582.7472182981496,6.222615813928381,12.364529897325804,4.211341963853865,0
0.07,-1582.818801669024,6.223348909328628,12.35749405980638,4.166745615108515,0
0.08,-1582.8870787628452,6.224079464657731,12.35105393625078,4.126429940266287,0
0.09,-1582.9524646022835,6.224806659679229,12.345137805888044,4.08969801304615,0
0.1,-1583.0153148244035,6.225530036203739,12.33966762450037,4.055993145980021,0
0.11,-1583.0759369169407,6.226250014649345,12.334595795638354,4.024856707857103,0
0.12,-1583.1345987318407,6.226963186172813,12.329853233959469,3.995907492162195,0
0.13,-1583.1915350413155,6.227671995132235,12.325416226302048,3.9688315545277493,0
0.14,-1583.2469526560137,6.228375256168048,12.321243554332694,3.943363302396011,0
0.15,-1583.301034466284,6.229070530281614,12.31730126429538,3.919278869647787,0
0.16,-1583.3539426620405,6.229759533547472,12.31356626083745,3.8963902449303083,0
0.17,-1583.4058213152443,6.230442732924947,12.310013225536837,3.8745391049017583,0
0.18,-1583.4567984594141,6.231117882047384,12.306624446556377,3.853589654876075,0
0.19,-1583.5069877656133,6.2317855437636736,12.303381724166588,3.8334307296794363,0
0.2,-1583.5564898893615,6.232442285189105,12.300274442010611,3.8139749583225626,0
0.21,-1583.6053935446794,6.233098992695761,12.297285792203676,3.7951230387360013,0
0.22,-1583.6537763485212,6.233744222659862,12.2944113392029,3.776834741058242,0
0.23,-1583.7017054683874,6.23438076389028,12.291644035775494,3.7590534679928433,0
0.24,-1583.749238099408,6.235016683262867,12.288986809200724,3.7417420207012455,0
0.25,-1583.796421791117,6.2356404937175745,12.28642628588481,3.7248748622139565,0
0.26,-1583.843294640216,6.236265792716358,12.283971355210648,3.7084377287396935,0
0.27,-1583.889885362551,6.23688414964072,12.281620663000535,3.6924264971202705,0
0.28,-1583.9362132548915,6.237499442601215,12.279379998563428,3.6768467317817457,52
0.29,-1583.9822880552958,6.238113292533227,12.27725642544488,3.6617170882264296,0
0.3,-1584.0281097090844,6.238727395949017,12.275259647952403,3.6470669141355594,0
0.31,-1584.0736680460282,6.239343596176833,12.27340476959587,3.63293345729835,0
0.32,-1584.1189423728865,6.239964242772901,12.271705109688039,3.6193696915663964,0
0.33,-1584.1639009839869,6.240592304575215,12.2701822826011,3.606442085449861,0
0.34,-1584.2085005909003,6.241229806108731,12.268858452656874,3.5942308676340295,0
0.35000000000000003,-1584.2526856704792,6.241881867483754,12.267761408116314,3.582830106319492,0
0.36,-1584.296387728501,6.242552955855243,12.266919014914235,3.5723560868812734,0
0.37,-1584.339524473978,6.243243218068827,12.266385703022303,3.562939201241645,0
0.38,-1584.3819988970142,6.243957937480694,12.2661854743856,3.5547486291379595,0
0.39,-1584.4236982410673,6.2447181012719986,12.266379584443802,3.547928250250331,0
0.4,-1584.46449285966,6.24551457005734,12.267016821831865,3.542704006911116,0
0.41000000000000003,-1584.504234947624,6.246360162691212,12.268162237009538,3.5392950864773223,0
0.42,-1584.5427571413618,6.247264671928578,12.269890559335796,3.5379461367521188,0
0.43,-1584.5798709907908,6.248239769616654,12.272274024431608,3.5389332067947463,0
0.44,-1584.6153653225692,6.249295782261664,12.275398075678979,3.542550461537927,0
0.45,-1584.6490045421417,6.250446569718621,12.279342955429684,3.549101131058253,0
0.46,-1584.680526965809,6.251706434637282,12.284200162519463,3.55890795150145,0
0.47000000000000003,-1584.7096433372308,6.253091443388267,12.290057024243671,3.5722786950784204,0
0.48,-1584.7360357682164,6.2546182814673,12.296990842859467,3.5894999217306345,0
0.49,-1584.759357449619,6.256304923982808,12.305070342496277,3.6108097085385444,0
0.5,-1584.779233595434,6.258169373807606,12.314343737782025,3.6363713042422487,0
0.51,-1584.795264190251,6.260228115593935,12.324830876355337,3.666228938083453,0
0.52,-1584.8070291699692,6.26250274515482,12.336526279795727,3.7002812791888524,0
0.53,-1584.8140966264739,6.265003761238943,12.349374802501263,3.7382310616675785,0
0.54,-1584.8160344322732,6.26772250415474,12.363246093695228,3.7795350304337245,0
0.55,-1584.8124252902467,6.270739798915757,12.378109258194685,3.8235077804585003,0
0.56,-1584.80288464494,6.2739894918946755,12.393678321899603,3.869072489503577,0
0.5700000000000001,-1584.7870802141524,6.2774982032651545,12.409783117037737,3.9150378562683184,0
0.58,-1584.7647513169718,6.281263934374249,12.426199198889533,3.960032918314054,0
0.59,-1584.7357258426748,6.285282561187272,12.442699485643057,4.002600466129799,0
0.6,-1584.6999328005513,6.2895493676567735,12.459075540852755,4.041290728632023,0
0.61,-1584.6574088940836,6.2940567477563745,12.475127282532583,4.074739026514319,0
0.62,-1584.6082983287156,6.298800256656751,12.490709379179254,4.101751151251145,0
0.63,-1584.552845853282,6.303776756763628,12.505700373880247,4.121341777018273,0
0.64,-1584.4913836451487,6.308983948489095,12.520014335942719,4.132766215142521,0
0.65,-1584.4243129798601,6.314422295797691,12.533596435306736,4.1355246062641315,0
0.66,-1584.3520816957684,6.32009384154988,12.546417836525164,4.129349802901701,0
0.67,-1584.2751583605802,6.326002997630241,12.558465414630497,4.114185722424208,0
0.68,-1584.194003871176,6.3321539642670635,12.56974210964371,4.090155836774726,0
0.6900000000000001,-1584.1090410487684,6.3385531235323365,12.580256785749446,4.057536822692324,0
0.7000000000000001,-1584.0206226742164,6.345208381405773,12.590026609195533,4.016732728280651,0
0.71,-1583.928998363933,6.352121894210202,12.59904029024711,3.968221897421623,0
0.72,-1583.8342807237195,6.359303444195254,12.60734236431383,3.9125860161602146,0
0.73,-1583.7364113407689,6.3667638096272565,12.614893651808838,3.8504411550355377,0
0.74,-1583.6351273943883,6.374509761024141,12.621763442642811,3.7824422069178403,0
0.75,-1583.5299299976464,6.382551704957169,12.627907109897738,3.7092578632241957,0
0.76,-1583.4200558517598,6.3909067442296434,12.633351901727293,3.6315673887691116,0
0.77,-1583.304454436232,6.399597890196794,12.63811463160441,3.5500450673496777,0
0.78,-1583.1817738184827,6.408650779819651,12.642215688183995,3.465334519024334,0
0.79,-1583.0503593127,6.418103641721863,12.645682708236247,3.3780408105877666,0
0.8,-1582.9082707358875,6.42800381604788,12.648560541280455,3.2887136327885367,0
0.81,-1582.7533260046596,6.438400714702491,12.650884960600736,3.197811024808278,0
0.8200000000000001,-1582.583181388893,6.449363826861931,12.652675505287858,3.10567445608608,0
0.8300000000000001,-1582.395461912744,6.460962426159941,12.653894350186372,3.012491410130632,0
0.84,-1582.1879589778584,6.473252316438784,12.654470046843308,2.918259558812022,0
0.85,-1581.9589156321013,6.4862779303206395,12.654173050803815,2.8227516110173454,0
0.86,-1581.707421647473,6.500044862881486,12.652607120895766,2.7255008812720813,0
0.87,-1581.4339385307474,6.514498687268415,12.649151706916264,2.625817782299049,0
0.88,-1581.140966532137,6.529502588958897,12.642941758383122,2.5228597085709614,0
0.89,-1580.8338518404923,6.544798007186386,12.632905005041756,2.415760175986806,0
0.9,-1580.5217200322636,6.560031704554104,12.61784159499833,2.3038416763591307,0
0.91,-1580.2185316382408,6.574724230997312,12.596616932775968,2.1868329235472985,0
0.92,-1579.944315933672,6.588299501905371,12.568351901921638,2.0650473047511424,0
0.93,-1579.7267517579105,6.600057194176642,12.532445010051342,1.9393887126621079,0
0.9400000000000001,-1579.603309807503,6.60903681156672,12.48823468337156,1.8111322278936264,0
0.9500000000000001,-1579.6237231375635,6.613617167844301,12.434126937440071,1.6815839353885522,0
0.96,-1579.8506191030524,6.6109230253142215,12.365977663971837,1.5519711378549896,0
0.97,-1580.351311699509,6.596060136190602,12.276104423748933,1.4239530791677337,0
0.98,-1581.1668178162095,6.56187397029746,12.152922297795598,1.3008023540749947,0
0.99,-1582.2457958457558,6.500234565288398,11.983752930747368,1.1884460206523497,0
1,-1583.3672202193582,6.406520627905338,11.762692149346266,1.0953309858787073,0
