penalty,c,r_full,S_c,r_min,r_max
IC1,0.01,20,0,20,20
IC1,0.02,20,0,20,20
IC1,0.03,20,0,20,20
IC1,0.04,20,0,20,20
IC1,0.05,20,0,20,20
IC1,0.060000000000000005,20,0,20,20
IC1,0.06999999999999999,20,0,20,20
IC1,0.08,20,0,20,20
IC1,0.09,20,0,20,20
IC1,0.09999999999999999,20,0,20,20
IC1,0.11,20,0,20,20
IC1,0.12,20,0,20,20
IC1,0.13,20,0,20,20
IC1,0.14,20,0,20,20
IC1,0.15000000000000002,20,0,20,20
IC1,0.16,20,0,20,20
IC1,0.17,20,0,20,20
IC1,0.18000000000000002,20,0,20,20
IC1,0.19,20,0,20,20
IC1,0.2,20,0,20,20
IC1,0.21000000000000002,20,0,20,20
IC1,0.22,20,0,20,20
IC1,0.23,20,0,20,20
IC1,0.24000000000000002,20,0,20,20
IC1,0.25,20,0,20,20
IC1,0.26,20,0,20,20
IC1,0.27,20,0,20,20
IC1,0.28,20,0,20,20
IC1,0.29000000000000004,20,0,20,20
IC1,0.3,20,0,20,20
IC1,0.31,20,0,20,20
IC1,0.32,20,0,20,20
IC1,0.33,20,0,20,20
IC1,0.34,20,0,20,20
IC1,0.35000000000000003,20,0,20,20
IC1,0.36000000000000004,20,0,20,20
IC1,0.37,20,0,20,20
IC1,0.38,20,0,20,20
IC1,0.39,20,0,20,20
IC1,0.4,20,0,20,20
IC1,0.41000000000000003,20,0,20,20
IC1,0.42000000000000004,20,0,20,20
IC1,0.43,20,0,20,20
IC1,0.44,20,0,20,20
IC1,0.45,20,0,20,20
IC1,0.46,20,0,20,20
IC1,0.47000000000000003,20,0,20,20
IC1,0.48000000000000004,20,0,20,20
IC1,0.49,20,0,20,20
IC1,0.5,20,0,20,20
IC1,0.51,20,0,20,20
IC1,0.52,20,0,20,20
IC1,0.53,20,0,20,20
IC1,0.54,20,0,20,20
IC1,0.55,20,0,20,20
IC1,0.56,20,0,20,20
IC1,0.5700000000000001,20,0,20,20
IC1,0.5800000000000001,20,0,20,20
IC1,0.59,20,0,20,20
IC1,0.6,20,0,20,20
IC1,0.61,20,0,20,20
IC1,0.62,20,0,20,20
IC1,0.63,20,0,20,20
IC1,0.64,20,0,20,20
IC1,0.65,20,0,20,20
IC1,0.66,20,0,20,20
IC1,0.67,19,4.245555555555556,10,20
IC1,0.68,14,13.782222222222222,10,20
IC1,0.6900000000000001,14,3.582222222222222,9,14
IC1,0.7000000000000001,14,2.7955555555555556,9,14
IC1,0.7100000000000001,11,0.9155555555555556,9,11
IC1,0.72,11,0.9955555555555555,9,11
IC1,0.73,9,0.64,9,11
IC1,0.74,9,0,9,9
IC1,0.75,9,0,9,9
IC1,0.76,9,0.03222222222222222,8,9
IC1,0.77,9,0.06222222222222222,8,9
IC1,0.78,9,0.06222222222222222,8,9
IC1,0.79,9,0.9122222222222222,6,9
IC1,0.8,9,1.6055555555555556,6,9
IC1,0.81,9,2.378888888888889,5,9
IC1,0.8200000000000001,9,2.7333333333333334,5,9
IC1,0.8300000000000001,9,2.01,5,9
IC1,0.8400000000000001,8,0.6055555555555555,5,8
IC1,0.85,7,0.528888888888889,5,7
IC1,0.86,7,0.5555555555555556,5,7
IC1,0.87,7,0.5655555555555556,5,7
IC1,0.88,7,0.4488888888888889,5,7
IC1,0.89,7,0.44555555555555554,5,7
IC1,0.9,6,0.16,5,6
IC1,0.91,6,0.09,5,6
IC1,0.92,6,0.06222222222222222,5,6
IC1,0.93,5,0,5,5
IC1,0.9400000000000001,5,0,5,5
IC1,0.9500000000000001,5,0,5,5
IC1,0.9600000000000001,5,0,5,5
IC1,0.97,5,0,5,5
IC1,0.98,5,0,5,5
IC1,0.99,5,0,5,5
IC1,1,5,0,5,5
IC1,1.01,5,0,5,5
IC1,1.02,5,0,5,5
IC1,1.03,5,0,5,5
IC1,1.04,5,0.09,4,5
IC1,1.05,5,0.19555555555555557,4,5
IC1,1.06,5,0.29888888888888887,3,5
IC1,1.07,5,0.3388888888888889,3,5
IC1,1.08,5,0.26222222222222225,3,5
IC1,1.09,5,0.1288888888888889,3,5
IC1,1.1,5,0.1288888888888889,3,5
IC1,1.11,5,0.1288888888888889,3,5
IC1,1.12,5,0.1288888888888889,3,5
IC1,1.1300000000000001,5,0.1288888888888889,3,5
IC1,1.1400000000000001,5,0.24555555555555555,3,5
IC1,1.1500000000000001,5,0.27666666666666667,3,5
IC1,1.1600000000000001,5,0.27666666666666667,3,5
IC1,1.17,4,0.24,3,4
IC1,1.18,4,0.24,3,4
IC1,1.19,4,0.24,3,4
IC1,1.2,4,0.24555555555555555,3,4
IC1,1.21,4,0.25,3,4
IC1,1.22,4,0.25,3,4
IC1,1.23,4,0.4222222222222222,2,4
IC1,1.24,3,0.4666666666666667,2,4
IC1,1.25,3,0.2722222222222222,2,4
IC1,1.26,3,0.1788888888888889,2,3
IC1,1.27,3,0.19555555555555557,2,3
IC1,1.28,3,0.19555555555555557,2,3
IC1,1.29,3,0.19555555555555557,2,3
IC1,1.3,3,0.19555555555555557,2,3
IC1,1.31,3,0.19555555555555557,2,3
IC1,1.32,3,0.19555555555555557,2,3
IC1,1.33,3,0.19555555555555557,2,3
IC1,1.34,3,0.22222222222222224,2,3
IC1,1.35,3,0.24,2,3
IC1,1.36,3,0.24555555555555555,2,3
IC1,1.37,3,0.24555555555555555,2,3
IC1,1.3800000000000001,3,0.24555555555555555,2,3
IC1,1.3900000000000001,3,0.24555555555555555,2,3
IC1,1.4000000000000001,3,0.24888888888888888,2,3
IC1,1.4100000000000001,3,0.25,2,3
IC1,1.42,3,0.25,2,3
IC1,1.43,3,0.24888888888888888,2,3
IC1,1.44,3,0.29888888888888887,1,3
IC1,1.45,3,0.3288888888888889,1,3
IC1,1.46,3,0.3788888888888889,1,3
IC1,1.47,3,0.3788888888888889,1,3
IC1,1.48,3,0.3788888888888889,1,3
IC1,1.49,3,0.36,1,3
IC1,1.5,2,0.31555555555555553,1,3
IC1,1.51,2,0.27666666666666667,1,3
IC1,1.52,2,0.2222222222222222,1,2
IC1,1.53,2,0.2222222222222222,1,2
IC1,1.54,2,0.2222222222222222,1,2
IC1,1.55,2,0.24,1,2
IC1,1.56,2,0.24,1,2
IC1,1.57,2,0.24,1,2
IC1,1.58,2,0.24,1,2
IC1,1.59,2,0.24,1,2
IC1,1.6,2,0.24,1,2
IC1,1.61,2,0.24,1,2
IC1,1.62,2,0.24,1,2
IC1,1.6300000000000001,2,0.25,1,2
IC1,1.6400000000000001,2,0.25,1,2
IC1,1.6500000000000001,2,0.25,1,2
IC1,1.6600000000000001,2,0.25,1,2
IC1,1.6700000000000002,2,0.25,1,2
IC1,1.68,2,0.24,1,2
IC1,1.69,2,0.2222222222222222,1,2
IC1,1.7,2,0.2222222222222222,1,2
IC1,1.71,2,0.2222222222222222,1,2
IC1,1.72,2,0.1788888888888889,1,2
IC1,1.73,2,0.1788888888888889,1,2
IC1,1.74,2,0.1788888888888889,1,2
IC1,1.75,2,0.1788888888888889,1,2
IC1,1.76,2,0.1788888888888889,1,2
IC1,1.77,2,0.1788888888888889,1,2
IC1,1.78,2,0.1788888888888889,1,2
IC1,1.79,2,0.16,1,2
IC1,1.8,2,0.1388888888888889,1,2
IC1,1.81,2,0.1388888888888889,1,2
IC1,1.82,2,0.1388888888888889,1,2
IC1,1.83,2,0.1388888888888889,1,2
IC1,1.84,2,0.09,1,2
IC1,1.85,2,0.09,1,2
IC1,1.86,2,0.09,1,2
IC1,1.87,2,0.09,1,2
IC1,1.8800000000000001,2,0.09,1,2
IC1,1.8900000000000001,2,0.09,1,2
IC1,1.9000000000000001,2,0.09,1,2
IC1,1.9100000000000001,2,0.09,1,2
IC1,1.9200000000000002,2,0.1288888888888889,0,2
IC1,1.93,2,0.16555555555555554,0,2
IC1,1.94,2,0.2,0,2
IC1,1.95,2,0.19555555555555557,0,2
IC1,1.96,2,0.22333333333333336,0,2
IC1,1.97,2,0.22333333333333336,0,2
IC1,1.98,1,0.18222222222222223,0,2
IC1,1.99,1,0.1388888888888889,0,1
IC1,2,1,0.1388888888888889,0,1
IC1,2.01,1,0.16,0,1
IC1,2.02,1,0.19555555555555554,0,1
IC1,2.03,1,0.22222222222222224,0,1
IC1,2.04,1,0.24000000000000002,0,1
IC1,2.05,1,0.24555555555555555,0,1
IC1,2.0599999999999996,1,0.2488888888888889,0,1
IC1,2.07,1,0.2488888888888889,0,1
IC1,2.0799999999999996,1,0.2488888888888889,0,1
IC1,2.09,1,0.2488888888888889,0,1
IC1,2.0999999999999996,1,0.2488888888888889,0,1
IC1,2.11,1,0.2488888888888889,0,1
IC1,2.1199999999999997,1,0.2488888888888889,0,1
IC1,2.13,1,0.2488888888888889,0,1
IC1,2.1399999999999997,1,0.2488888888888889,0,1
IC1,2.15,1,0.2488888888888889,0,1
IC1,2.1599999999999997,1,0.2488888888888889,0,1
IC1,2.17,1,0.24555555555555555,0,1
IC1,2.1799999999999997,1,0.24555555555555555,0,1
IC1,2.19,1,0.24555555555555555,0,1
IC1,2.1999999999999997,1,0.24555555555555555,0,1
IC1,2.21,1,0.24555555555555555,0,1
IC1,2.2199999999999998,1,0.24555555555555555,0,1
IC1,2.23,1,0.24555555555555555,0,1
IC1,2.2399999999999998,1,0.24555555555555555,0,1
IC1,2.25,1,0.24000000000000002,0,1
IC1,2.26,1,0.24000000000000002,0,1
IC1,2.27,1,0.24000000000000002,0,1
IC1,2.28,1,0.24000000000000002,0,1
IC1,2.29,1,0.24000000000000002,0,1
IC1,2.3,1,0.24000000000000002,0,1
IC1,2.31,1,0.24000000000000002,0,1
IC1,2.32,1,0.24000000000000002,0,1
IC1,2.3299999999999996,1,0.24000000000000002,0,1
IC1,2.34,1,0.2322222222222222,0,1
IC1,2.3499999999999996,1,0.2322222222222222,0,1
IC1,2.36,1,0.2322222222222222,0,1
IC1,2.3699999999999997,1,0.2322222222222222,0,1
IC1,2.38,1,0.2322222222222222,0,1
IC1,2.3899999999999997,1,0.2322222222222222,0,1
IC1,2.4,1,0.20999999999999996,0,1
IC1,2.4099999999999997,1,0.20999999999999996,0,1
IC1,2.42,1,0.20999999999999996,0,1
IC1,2.4299999999999997,1,0.20999999999999996,0,1
IC1,2.44,1,0.20999999999999996,0,1
IC1,2.4499999999999997,1,0.20999999999999996,0,1
IC1,2.46,1,0.20999999999999996,0,1
IC1,2.4699999999999998,1,0.20999999999999996,0,1
IC1,2.48,1,0.20999999999999996,0,1
IC1,2.4899999999999998,1,0.20999999999999996,0,1
IC1,2.5,0,0.17888888888888888,0,1
IC1,2.51,0,0.1388888888888889,0,1
IC1,2.52,0,0.11555555555555556,0,1
IC1,2.53,0,0.11555555555555556,0,1
IC1,2.54,0,0.09000000000000001,0,1
IC1,2.55,0,0.06222222222222223,0,1
IC1,2.56,0,0.03222222222222222,0,1
IC1,2.57,0,0,0,0
IC1,2.5799999999999996,0,0,0,0
IC1,2.59,0,0,0,0
IC1,2.5999999999999996,0,0,0,0
IC1,2.61,0,0,0,0
IC1,2.6199999999999997,0,0,0,0
IC1,2.63,0,0,0,0
IC1,2.6399999999999997,0,0,0,0
IC1,2.65,0,0,0,0
IC1,2.6599999999999997,0,0,0,0
IC1,2.67,0,0,0,0
IC1,2.6799999999999997,0,0,0,0
IC1,2.69,0,0,0,0
IC1,2.6999999999999997,0,0,0,0
IC1,2.71,0,0,0,0
IC1,2.7199999999999998,0,0,0,0
IC1,2.73,0,0,0,0
IC1,2.7399999999999998,0,0,0,0
IC1,2.75,0,0,0,0
IC1,2.76,0,0,0,0
IC1,2.77,0,0,0,0
IC1,2.78,0,0,0,0
IC1,2.79,0,0,0,0
IC1,2.8,0,0,0,0
IC1,2.81,0,0,0,0
IC1,2.82,0,0,0,0
IC1,2.8299999999999996,0,0,0,0
IC1,2.84,0,0,0,0
IC1,2.8499999999999996,0,0,0,0
IC1,2.86,0,0,0,0
IC1,2.8699999999999997,0,0,0,0
IC1,2.88,0,0,0,0
IC1,2.8899999999999997,0,0,0,0
IC1,2.9,0,0,0,0
IC1,2.9099999999999997,0,0,0,0
IC1,2.92,0,0,0,0
IC1,2.9299999999999997,0,0,0,0
IC1,2.94,0,0,0,0
IC1,2.9499999999999997,0,0,0,0
IC1,2.96,0,0,0,0
