painel,escolhido,r,standardize_resid,q_hat,q,aw_ic2
atual,FALSE,4,FALSE,2,1,-0.33902542172501576
atual,TRUE,4,FALSE,2,2,-0.40576419652137075
atual,FALSE,4,FALSE,2,3,-0.40493349616197694
atual,FALSE,4,FALSE,2,4,-0.3987220837998942
atual,FALSE,4,TRUE,2,1,-0.07663418232638135
atual,TRUE,4,TRUE,2,2,-0.14887341890790343
atual,FALSE,4,TRUE,2,3,-0.14549896205902804
atual,FALSE,4,TRUE,2,4,-0.14240803516556233
atual,FALSE,5,FALSE,2,1,-0.3916710114559542
atual,TRUE,5,FALSE,2,2,-0.45111837633690643
atual,FALSE,5,FALSE,2,3,-0.45014154883372026
atual,FALSE,5,FALSE,2,4,-0.44368767944141146
atual,FALSE,5,FALSE,2,5,-0.43103999522827874
atual,FALSE,5,TRUE,2,1,-0.07173724074975694
atual,TRUE,5,TRUE,2,2,-0.14179912990469276
atual,FALSE,5,TRUE,2,3,-0.14071753195930273
atual,FALSE,5,TRUE,2,4,-0.13822422344365537
atual,FALSE,5,TRUE,2,5,-0.1262831554599843
atual,FALSE,6,FALSE,2,1,-0.44608836146831815
atual,TRUE,6,FALSE,2,2,-0.5048593913619961
atual,FALSE,6,FALSE,2,3,-0.5045433214399427
atual,FALSE,6,FALSE,2,4,-0.5015112446486989
atual,FALSE,6,FALSE,2,5,-0.4893247360403511
atual,FALSE,6,FALSE,2,6,-0.47042146147970015
atual,FALSE,6,TRUE,2,1,-0.07122715527486094
atual,TRUE,6,TRUE,2,2,-0.14258954421499417
atual,FALSE,6,TRUE,2,3,-0.1413288325687493
atual,FALSE,6,TRUE,2,4,-0.1420566864362146
atual,FALSE,6,TRUE,2,5,-0.12652458039980508
atual,FALSE,6,TRUE,2,6,-0.10549042289379967
atual,FALSE,7,FALSE,2,1,-0.48908196414745836
atual,TRUE,7,FALSE,2,2,-0.5497353870450451
atual,FALSE,7,FALSE,2,3,-0.5464586996179028
atual,FALSE,7,FALSE,2,4,-0.5457106348836003
atual,FALSE,7,FALSE,2,5,-0.5298006813707177
atual,FALSE,7,FALSE,2,6,-0.5106527608004445
atual,FALSE,7,FALSE,2,7,-0.48934550269512656
atual,FALSE,7,TRUE,2,1,-0.07358410277018208
atual,TRUE,7,TRUE,2,2,-0.14662985230475892
atual,FALSE,7,TRUE,2,3,-0.14521069170850384
atual,FALSE,7,TRUE,2,4,-0.1436867459142563
atual,FALSE,7,TRUE,2,5,-0.12515099231020643
