p,variable,share_in68,share_in90,share_in90_h12,first_out90_h,cor_path,max_abs_dev,max_abs_dev_h,rel_max_abs_dev,sign_flip_h0,ratio_h0,resto_coluna_h0,share_in90_resc,denom_ratio,veredito
6,yield_3m,1,1,1,NA,0.9858339522165074,0.0016922454583221701,20,0.2714697184692171,FALSE,1.0026388652456208,0.9327520096032607,1,0.9302970809681912,imaterial
6,yield_6m,1,1,1,NA,0.9876171151088668,0.0019440439950440182,19,0.263518583399647,FALSE,1,0.9302970809681912,0.972972972972973,0.9302970809681912,imaterial
6,yield_1y,1,1,1,NA,0.9887662704345342,0.00214943723118416,18,0.24943785568668714,FALSE,0.9960780507831516,0.9266485030600516,1,0.9302970809681912,imaterial
6,yield_2y,1,1,1,NA,0.9893167583145728,0.002167720578662571,15,0.23538297059953278,FALSE,0.9907933122537664,0.9217321262324845,1,0.9302970809681912,imaterial
6,yield_5y,1,1,1,NA,0.9896244599344114,0.002012105886367536,8,0.24103799531260428,FALSE,0.9837231634522647,0.9151547874404367,1,0.9302970809681912,imaterial
6,yield_10y,1,1,1,NA,0.9895968723044628,0.001823946883903439,8,0.25348898277820575,FALSE,0.982065669189587,0.9136128253661461,1,0.9302970809681912,imaterial
6,cambio_usd,1,1,1,NA,0.9813542530618582,0.05615065466355616,8,0.3586843071012097,FALSE,0.9932517040348291,0.9240191609302832,1,0.9302970809681912,imaterial
6,embi_perc,1,1,1,NA,0.9871508125908809,0.06467826183256756,7,0.3000096101842269,FALSE,0.9692414795198218,0.9016825191505811,1,0.9302970809681912,imaterial
6,cds_5y,1,1,1,NA,0.9889018765998819,8.363692400878584,8,0.28809139065416206,FALSE,0.976254232903808,0.9082064631532533,1,0.9302970809681912,imaterial
6,asset_ibov,1,1,1,NA,0.9358402509111359,0.6024537490230082,2,0.3602207522982467,FALSE,0.7402479377301954,0.6886504956631242,1,0.9302970809681912,parcial
3,yield_3m,0.2972972972972973,1,1,NA,0.9810911849038244,0.002517199949115252,19,0.4038087726319369,FALSE,1.0093878296297119,0.9717391016665629,1,0.9627014247071315,imaterial
3,yield_6m,0.2702702702702703,1,1,NA,0.9838801702546023,0.0028582834190919366,18,0.3874453456166521,FALSE,1,0.9627014247071314,0.972972972972973,0.9627014247071315,imaterial
3,yield_1y,0.2972972972972973,1,1,NA,0.9860332029499895,0.0030782784089365,17,0.35722800107483593,FALSE,0.9997141850517667,0.9624262702492647,1,0.9627014247071315,imaterial
3,yield_2y,0.3783783783783784,1,1,NA,0.987293757966043,0.002975339791651506,16,0.32307868716826094,FALSE,1.0134674461041764,0.9756665542587887,1,0.9627014247071315,imaterial
3,yield_5y,0.5135135135135135,1,1,NA,0.9877733132576472,0.0023025496437409196,16,0.2758313834253574,FALSE,1.0559433541283065,1.0165581714293477,1,0.9627014247071315,imaterial
3,yield_10y,0.7297297297297297,1,1,NA,0.9876841898194609,0.0018572933671195915,14,0.25812341933131566,FALSE,1.0766106883724458,1.036454643551079,1,0.9627014247071315,imaterial
3,cambio_usd,1,1,1,NA,0.9845663932807636,0.03439789464297113,4,0.2197300295015495,FALSE,1.1361656394521231,1.093788279803848,1,0.9627014247071315,imaterial
3,embi_perc,1,1,1,NA,0.9850541133822385,0.04648422931879981,0,0.21561673308025156,FALSE,1.2162956902898734,1.170929593907205,1,0.9627014247071315,imaterial
3,cds_5y,1,1,1,NA,0.9863602115945542,5.467375185240158,3,0.18832635693039518,FALSE,1.1761278283198306,1.1322599359612056,1,0.9627014247071315,imaterial
3,asset_ibov,1,1,1,NA,0.848512477416113,1.2280785399979957,2,0.7342959957952151,FALSE,0.4599737834354334,0.44281741664122126,1,0.9627014247071315,parcial
2,yield_3m,0.6756756756756757,1,1,NA,0.9815509621260411,0.0020196925129383767,10,0.3239987173169201,FALSE,1.0101793188835686,0.9734745744357797,1,0.9636651198835129,imaterial
2,yield_6m,0.6756756756756757,1,1,NA,0.9834930903033445,0.0023658273305434715,10,0.320692056508149,FALSE,1,0.9636651198835128,0.972972972972973,0.9636651198835129,imaterial
2,yield_1y,0.7297297297297297,1,1,NA,0.9847751296945774,0.0026487272517305184,9,0.30737945560129987,FALSE,0.9938655471983817,0.9577535616890216,1,0.9636651198835129,imaterial
2,yield_2y,0.7297297297297297,1,1,NA,0.9850154194354439,0.0027518467866724803,7,0.29881059286773254,FALSE,0.9949076377038906,0.9587577879609424,1,0.9636651198835129,imaterial
2,yield_5y,0.8648648648648649,1,1,NA,0.9837648799599767,0.0023607572920605266,7,0.28280430416371277,FALSE,1.0118635490852417,0.9750976083349864,1,0.9636651198835129,imaterial
2,yield_10y,1,1,1,NA,0.983119575851371,0.0019730396900946635,7,0.2742096430751108,FALSE,1.0226494094271592,0.9854915657344271,1,0.9636651198835129,imaterial
2,cambio_usd,1,1,1,NA,0.9861507448933157,0.03285333955963876,7,0.20986357873326852,FALSE,1.0748426557632473,1.035788376722003,1,0.9636651198835129,imaterial
2,embi_perc,1,1,1,NA,0.9782738440424998,0.04853581519550501,2,0.2251329980770309,FALSE,1.093622635866479,1.053885988499594,1,0.9636651198835129,imaterial
2,cds_5y,1,1,1,NA,0.9798155693119166,6.336197722472999,7,0.21825336535992487,FALSE,1.0778237972295721,1.0386611987705388,1,0.9636651198835129,imaterial
2,asset_ibov,1,1,1,NA,0.8266855137276493,1.2333877965362658,1,0.7374705206238208,FALSE,0.2927254554781961,0.2820893111463518,1,0.9636651198835129,parcial
