p,n,T_common,deterministic,logdet,n_parameters,aic,bic,selected_aic,selected_bic,aic_vars,bic_vars,aic_abs_diff,bic_abs_diff
1,5,141,trend,8.58974209807068,35,9.0861959987799,9.818157673696467,FALSE,FALSE,9.086195998779898,9.818157673696465,1.7763568394002505e-15,1.7763568394002505e-15
2,5,141,trend,7.40525889143903,60,8.256322721226264,9.511114163940379,FALSE,TRUE,8.256322721226262,9.511114163940375,1.7763568394002505e-15,3.552713678800501e-15
3,5,141,trend,7.01973192290082,85,8.225405681766068,10.003026892277731,FALSE,FALSE,8.22540568176607,10.003026892277731,1.7763568394002505e-15,0
4,5,141,trend,6.512923209382597,110,8.07320689732586,10.37365787563507,TRUE,FALSE,8.07320689732586,10.373657875635068,0,1.7763568394002505e-15
5,5,141,trend,6.299006985205117,135,8.213900602226394,11.037181348333151,FALSE,FALSE,8.213900602226392,11.03718134833315,1.7763568394002505e-15,1.7763568394002505e-15
6,5,141,trend,6.0971736453757535,160,8.366677191475045,11.712787705379348,FALSE,FALSE,8.366677191475047,11.712787705379352,1.7763568394002505e-15,3.552713678800501e-15
7,5,141,trend,5.767339196123965,185,8.39145267130127,12.260392953003123,FALSE,FALSE,8.391452671301273,12.260392953003127,3.552713678800501e-15,3.552713678800501e-15
8,5,141,trend,5.539762970669796,210,8.518486374925114,12.910256424424515,FALSE,FALSE,8.518486374925114,12.910256424424514,0,1.7763568394002505e-15
9,5,141,trend,5.340704864538592,235,8.674038197871926,13.588638015168874,FALSE,FALSE,8.674038197871926,13.588638015168875,0,1.7763568394002505e-15
10,5,141,trend,4.931366635635068,260,8.619309898046415,14.056739483140909,FALSE,FALSE,8.619309898046417,14.056739483140912,1.7763568394002505e-15,3.552713678800501e-15
11,5,141,trend,4.7149957616837455,285,8.757548953173107,14.71780830606515,FALSE,FALSE,8.757548953173108,14.717808306065152,1.7763568394002505e-15,1.7763568394002505e-15
12,5,141,trend,4.370295704656116,310,8.767458825223493,15.25054794591308,FALSE,FALSE,8.767458825223489,15.250547945913077,3.552713678800501e-15,3.552713678800501e-15
