p,variable,h,point,lo68,hi68,lo90,hi90
4,yield_3m,0,0.003920463345940036,0.003766076192379258,0.004225774388619081,0.0035712758920433945,0.004385414838454718
4,yield_3m,1,0.004733575150942627,0.00421240484342208,0.005370469174318817,0.003882869192870528,0.0056931129237210755
4,yield_3m,2,0.005435515592344385,0.004578963478977971,0.0063433878277228736,0.00390914228410721,0.006954468193836124
4,yield_3m,3,0.005959763168696342,0.004791140297641066,0.007224460001817089,0.004113100009445806,0.008136430987003436
4,yield_3m,4,0.006069699180346071,0.004712725182396545,0.00775760131071546,0.003688012428355801,0.008802013631401796
4,yield_3m,5,0.006129171911501105,0.004537596851055479,0.008190809419364658,0.003432006680986113,0.0094221210002535891
4,yield_3m,6,0.006233643545455181,0.004532251735160631,0.008653123308233058,0.0033067024521839074,0.009931746308957053
4,yield_3m,7,0.006122525092112286,0.004315644406594498,0.008772819729873383,0.003199980407119431,0.010341257839077748
4,yield_3m,8,0.005951104294204941,0.004138204652085883,0.008880389957529785,0.00290488499809318,0.010653212365718069
4,yield_3m,9,0.00576700477309222,0.003970013433907199,0.008863722210412853,0.002717407146826328,0.010675027135830212
4,yield_3m,10,0.005514515590496509,0.00379785317041747,0.008856819193964048,0.0024836994864091,0.01074560326914911
4,yield_3m,11,0.0052118519383571385,0.00351905229509461,0.008564716138432446,0.002138900695010207,0.010925592236706727
4,yield_3m,12,0.004892981231991681,0.0032064005475210587,0.008319855037822227,0.0017691926128322183,0.010654129553310313
4,yield_3m,13,0.004545711443691778,0.0028446394132237633,0.008098444782091924,0.0013887740444243919,0.010425250208048334
4,yield_3m,14,0.0041718546507507545,0.002517461689103029,0.007834039919509858,0.001114551300664842,0.010264080201231086
4,yield_3m,15,0.003786594791164412,0.0021795143604376897,0.007520491333258302,7.72245247022408e-4,0.00991178418621906
4,yield_3m,16,0.0033910161078264567,0.0018410242719134784,0.007274141203286923,3.635507391006912e-4,0.009474983164920394
4,yield_3m,17,0.0029859926913811214,0.0014453217488135466,0.006948200380295725,-8.863105796277926e-5,0.009031137565068655
4,yield_3m,18,0.002578264575632314,0.0010451956437691928,0.006476868838473839,-4.393026055154443e-4,0.008529988825525556
4,yield_3m,19,0.0021712443950019054,6.346910071518308e-4,0.006096601517218821,-7.374342600771909e-4,0.008170312168867114
4,yield_3m,20,0.0017667763455000735,2.663133327665114e-4,0.0056975187992854585,-0.0012591936487849418,0.007963715823124832
4,yield_3m,21,0.0013684273118906008,-8.470636274328323e-5,0.005257129676774089,-0.0015042767153003915,0.007424097458711832
4,yield_3m,22,9.791841460375992e-4,-4.5819355517947343e-4,0.004828972977910985,-0.0017824414494338723,0.00721804380424876
4,yield_3m,23,6.01068882397455e-4,-7.893224550880552e-4,0.004442250457016959,-0.0023290602711033767,0.006697260408838975
4,yield_3m,24,2.3635675397725526e-4,-0.0011757472405853455,0.0040322248627481985,-0.0027054629857774103,0.006285360542843479
4,yield_3m,25,-1.1283143577687198e-4,-0.001503557851278444,0.0037232872642921316,-0.0029243590789265646,0.005900532214693179
4,yield_3m,26,-4.4488124646161305e-4,-0.0017864156953424338,0.003344366066182174,-0.0031813745173066275,0.005458186345946523
4,yield_3m,27,-7.583305896419355e-4,-0.0020752685467117903,0.002983267271811175,-0.0035461348347242336,0.005089750944592324
