r,IC1,IC2,IC3
1,-0.09890298149988101,-0.09109922096258313,-0.11985638537690585
2,-0.15961469526575298,-0.14400717419115722,-0.20152150301980265
3,-0.1903244585001081,-0.16691317688821444,-0.2531846701311826
4,-0.20525140181378537,-0.17403635966459385,-0.2890650173218847
5,-0.21556453372264767,-0.17654573103615823,-0.3203315531077719
6,-0.21087269591809255,-0.16405013269430524,-0.3365931191802416
7,-0.20447317228251694,-0.14984684852143176,-0.35114699942169086
8,-0.19474489462825328,-0.13231481032987025,-0.36237212564445204
9,-0.18475911915414567,-0.11452527431846482,-0.37333975404736924
10,-0.16730103892942283,-0.08926343355644395,-0.3768350776996713
11,-0.1502059330328116,-0.06436456712253491,-0.3806933756800849
12,-0.13040591712133354,-0.036760790673758925,-0.3818467636456316
13,-0.11225936893409971,-0.01081048194922729,-0.38465361933542275
14,-0.09472416965367803,0.014528477868492318,-0.3880718239320259
15,-0.07400896334086138,0.043047444718606886,-0.38831002149623406
16,-0.053057247484908254,0.07180292111185782,-0.38831170951730576
17,-0.03196508921188346,0.10069883992218065,-0.3881729551213057
18,-0.012222426625845051,0.12824526304551664,-0.3893836964122922
19,0.007726910107761276,0.155998360316421,-0.3903877635557109
20,0.028328585581221866,0.18440379632717963,-0.39073949195927504
