r,q,p,variable,h,point,lo68,hi68,lo90,hi90,cell
5,5,2,yield_6m,0,0.005,0.005,0.005,0.005,0.005,q=5
5,5,2,yield_6m,1,0.004520697204156833,0.003856045849824714,0.005309962635359992,0.003302694660763379,0.006234584225149934,q=5
5,5,2,yield_6m,2,0.0041874860807951456,0.0032062348454507334,0.0053310075156945405,0.0023727337426954296,0.006647970226703258,q=5
5,5,2,yield_6m,3,0.0037753079640978726,0.0026971414995864613,0.005037231467950877,0.0017855381608743485,0.006496313481192334,q=5
5,5,2,yield_6m,4,0.003291753815976717,0.002227409460121813,0.0045879571817995955,0.0013650308170558548,0.006141127665601412,q=5
5,5,2,yield_6m,5,0.0028278769112372415,0.0018120969819513451,0.004109514889749317,0.0010201013363454888,0.005693597809534273,q=5
5,5,2,yield_6m,6,0.0024411618846197007,0.0014919066902839416,0.003685599978670386,7.822131951552789e-4,0.005274750082692483,q=5
5,5,2,yield_6m,7,0.0020753483590364376,0.0011868984248590538,0.0032824496094916145,5.484285304455838e-4,0.004870297012913022,q=5
5,5,2,yield_6m,8,0.0017261922784190696,8.894424289727297e-4,0.0029025126661340554,3.105820486377502e-4,0.004493076483064689,q=5
5,5,2,yield_6m,9,0.0013811733499278598,5.818023182533297e-4,0.0025368973861782367,4.592612428896256e-5,0.00413447805311826,q=5
5,5,2,yield_6m,10,0.0010412237246093387,2.6478326171947475e-4,0.0021869631839412157,-2.4387681014820508e-4,0.0037958985203730006,q=5
5,5,2,yield_6m,11,7.049217038909285e-4,-6.28437953149437e-5,0.0018504185920181831,-5.595964502458686e-4,0.00347256965821964,q=5
5,5,2,yield_6m,12,3.74152379545272e-4,-3.9750442880751366e-4,0.001527637535891893,-8.957068546850875e-4,0.003163444695750814,q=5
5,5,2,yield_6m,13,5.0051148912991014e-5,-7.364517918480427e-4,0.0012180610335407354,-0.0012480085293583255,0.0028662649259043093,q=5
5,5,2,yield_6m,14,-2.653728091648603e-4,-0.0010759361393679226,9.22093998603301e-4,-0.001611303433790878,0.002580393056958593,q=5
