variable,max_gap_q,max_gap_h,h0_q5,h6_q5,h12_q5,h24_q5,h36_q5,h48_q5,h0_q4,h6_q4,h12_q4,h24_q4,h36_q4,h48_q4,h0_q3,h6_q3,h12_q3,h24_q3,h36_q3,h48_q3,h0_q2,h6_q2,h12_q2,h24_q2,h36_q2,h48_q2,share_q2_in_q5_band90,share_q3_in_q5_band90,share_q4_in_q5_band90
asset_ibov,1.5664851437901444,1,-4.868532127349062,-0.9316369689588747,-0.784174123128727,-0.0628441733873281,0.5268769791118685,0.5296790901322418,-4.841710351722374,-0.928523476584194,-0.7768324837075008,-0.05238388296625639,0.5313194750424022,0.5262703595631458,-4.295812569856923,-0.9257517429681178,-0.7912804914063604,-0.06645718132897992,0.5315242921654367,0.5367910756948092,-4.878326209501383,-1.0343434887908332,-0.9509414427389241,0.10620580558813669,0.8681968436922726,0.7275301501853715,1,1,1
cambio_usd,0.059491006694751075,3,0.05802604085126032,0.07441186250525764,0.02701824259224028,-0.04295392056439878,-0.05728641206480289,-0.021588987921919066,0.05949541319365003,0.07349551978348716,0.025974780893136734,-0.04357456952802661,-0.057100940784907114,-0.02097409044630388,0.06276414747078492,0.07624197418347159,0.027910452562048608,-0.0432246836158344,-0.0579954543898583,-0.022027988991298063,0.0864705001319194,0.1098415096594156,0.02633548680161153,-0.07498245818279789,-0.08199606846366769,-0.02090545288900401,1,1,1
cds_5y,12.56755720644432,3,31.616845912608714,22.059173038251835,8.291475977815475,-13.502503017245447,-18.1120147843858,-6.904875011186392,31.85464214826144,21.767678238134256,7.960257377992236,-13.700029391804406,-18.054890338046988,-6.711045759035154,31.70218074123919,22.480254249302234,8.525155886488012,-13.591112110553427,-18.33611611708422,-7.044430057064893,36.836070172072006,29.575398027097176,6.9976801055558555,-23.701207338068418,-25.960320069515824,-6.739102351076092,1,1,1
dlsp_exchange_adjustment,13358.806859586111,1,-39383.516589655614,-15572.12241324928,-12370.565603622972,-661.0610095941181,8345.730206852219,8126.052969254812,-39329.8326364527,-15531.498319670056,-12254.321222599783,-499.3183884567302,8411.151889119801,8070.224682716298,-36252.31573610579,-15678.217683988694,-12531.102622699767,-717.7945077526061,8420.471413581061,8236.232750388272,-46004.673743989886,-21192.394013372766,-15973.082185183235,2016.5097669364848,13652.77331111017,11095.720127442237,1,1,1
embi_perc,0.09416464093720048,26,0.28486300569709316,0.16992736369021733,0.04576377604211505,-0.135190785138246,-0.15517731600193121,-0.045214681698164484,0.2862018104271942,0.16713900570840817,0.04281771746819503,-0.13668415939009937,-0.1544293024892281,-0.043459720661026664,0.28172589093653844,0.17325494941833824,0.04747011766700654,-0.13623869326384522,-0.15717891055524688,-0.046281035614964695,0.31448524655902527,0.21671416438959729,0.01942245093670538,-0.22858344218765095,-0.2176773564625676,-0.035208792897571346,1,1,1
expect_focus_cambio_ny,0.033125870766545884,2,0.008213859300548168,0.028896038902795556,-0.005678417012330763,-0.04177814207733032,-0.033124390810025356,-3.301732261052998e-4,0.008799039751314824,0.02812695842399533,-0.00637261060413601,-0.04196329733005078,-0.0327916787064457,1.076480533228248e-4,0.012586200706050717,0.030022516610944273,-0.005328591769003447,-0.04217785092978641,-0.0336047602321785,-4.712725688730881e-4,0.029034098057837885,0.04117553825598234,-0.017234431870226746,-0.06534405068438327,-0.04326302625065636,0.007550979454379874,1,1,1
expect_focus_fiscal_dlsp_ny,0.33480768915370807,15,-0.40496009333058774,0.10021150108282553,0.3984458167105589,0.5703240670631425,0.23942240812458238,-0.18879751061582062,-0.39523835614017344,0.10976972859818665,0.40500121440083775,0.5689390647568944,0.23347332282233485,-0.1932537880266025,-0.38497458700445486,0.10000862578149297,0.4013575193708804,0.5773004074821998,0.2440237370357907,-0.18954988324854502,-0.22111442822358732,0.35535981960121354,0.7233345599852639,0.826058427948582,0.24794390227224317,-0.3634356434813492,1,1,1
expect_focus_fiscal_nominal_balance_ny,0.10991707646231225,0,-0.4183212314386742,-0.2706557207233006,-0.1758986236323752,0.06022599708672518,0.18259209001075202,0.12426328838178988,-0.42262323281211517,-0.2687923131296788,-0.17295119971449802,0.06300003254522843,0.1830305656122707,0.12267962777300223,-0.4253554361997,-0.2733528165538359,-0.17855869101906882,0.060066914012029245,0.1845382395217682,0.12617739739201145,-0.31543835973738776,-0.35068870009050607,-0.20275950787724145,0.14129101385170256,0.28045161316452855,0.15627086643112267,1,1,1
expect_focus_fiscal_primary_balance_ny,0.0770833995001462,4,-0.23176511117964496,-0.17878483296222444,-0.1333244702789714,0.00839458811202685,0.10376724470442429,0.08909186902322222,-0.23502853786825348,-0.17810628901701678,-0.1317923145943482,0.01023471286690741,0.10435902978123432,0.08831681769832857,-0.2388563089609414,-0.1806275334573737,-0.1352126794468535,0.00792308181623931,0.10476529263316461,0.09035096957918644,-0.19042307445206555,-0.2463353174632303,-0.16844380471823636,0.04652942833032118,0.1656651896887282,0.11865658824256223,1,1,1
expect_focus_ipca12m,0.06717721652653018,16,0.028826068171276514,-0.01223286316186602,-0.0796256096020431,-0.11884663267489133,-0.05122812532667327,0.038220105285563556,0.027192057059063947,-0.01420917903926755,-0.08100315781079465,-0.11858062287372344,-0.04999538189401081,0.03915906958119172,0.03066409988623783,-0.011463199431130357,-0.07998987012968894,-0.12027453664022744,-0.05219826529931119,0.03836100874616082,0.04538670137807535,-0.04778255351900469,-0.14180975144363075,-0.1721737185723051,-0.053752984462914634,0.07425354229258342,1,1,1
expect_focus_pib_ny,0.1916853505231617,23,-0.5553181956123224,-0.21356048667190042,0.008930574600590437,0.3103698335675967,0.28024134648000965,0.03470080418805887,-0.5551328719143658,-0.2075563610625717,0.014647027948464396,0.31239957779136623,0.2780204729182178,0.031214638484320725,-0.5570371988687327,-0.21630514897921518,0.007669293576412602,0.3133110392741366,0.2841372159375733,0.03619155055995555,-0.38846555743002614,-0.1782550687858945,0.1270291704449317,0.5010364925377253,0.3772952487095579,-0.012254154347471902,1,1,1
expect_focus_selic_ny,0.2242317420189961,22,0.6554176094750911,0.21465292567660008,-0.0415153667113903,-0.37181405899316183,-0.31381588479200767,-0.021521833806196326,0.6533369532866771,0.20757395354567906,-0.048051838669255435,-0.3738396523617501,-0.3110074435005177,-0.017500772680466674,0.6492303695662918,0.21733033038659028,-0.04048363234558775,-0.37546778999074604,-0.3182800203391734,-0.023030422691380382,0.49842532810175827,0.1524237861306788,-0.19302503395287093,-0.5928273556214908,-0.41660464103549916,0.04173265969009735,1,1,1
fiscal_dbgg,0.3034752001739749,9,0.38478064665577216,0.40449966726556463,0.528645456646707,0.38348159699969003,-0.027321215871672612,-0.2995739506644324,0.39249039191431856,0.4098709926651991,0.5303523950673298,0.3790543175584126,-0.03259849224696758,-0.3012380182009276,0.36824007771067097,0.40723718027586403,0.5341267677836617,0.38924242738366227,-0.02597545127123438,-0.30246636488015904,0.6133925176123003,0.7010698351847721,0.8196672677945129,0.4906699604085784,-0.13766645096874544,-0.4773985343958808,1,1,1
fiscal_dlsp,0.3451653120483197,18,-0.296906658021696,-0.06975178754598306,0.32458350525941093,0.6239755795145578,0.33395173802468014,-0.1413193395558516,-0.292152032910914,-0.05899676857692252,0.3327307807692838,0.6237805326417298,0.3279155066550587,-0.1467109920626179,-0.3015204731943552,-0.07627680305312418,0.3247838332263219,0.6310616245802815,0.33964603725424675,-0.14123785301940628,-0.3691906479944024,0.03732518797359801,0.6146518612680482,0.9253461228357275,0.3870995883457845,-0.3098180524468362,1,1,1
fiscal_primary_balance,4911.588022660235,0,9491.69864891918,2771.987681150057,1636.6543856342541,-1206.6001047752638,-2359.1964028936086,-1304.6105706707533,9514.167125436,2739.9523511279617,1595.7947344190675,-1238.1865985054924,-2359.291415722355,-1282.123755186078,9055.071251996524,2762.9661597979057,1653.2420077479069,-1211.8347852546688,-2386.191151756582,-1326.556657425412,4602.579102775766,2541.0976553760206,1388.8278322316007,-2408.085226664077,-3523.3248892543634,-1533.230273794033,1,1,1
ibc_br,0.4981269910399578,0,-0.4153097533357586,-0.4064454009940528,-0.47832937552808796,-0.28191707566180013,0.0850073108304451,0.2797674730125738,-0.4170379137395998,-0.4101441563340682,-0.47865176947876903,-0.2774566391943132,0.08932761644834032,0.2805316449274558,-0.4086363419125478,-0.4095304731678164,-0.48353131453010123,-0.28651770755626393,0.08462087285857543,0.2827168242616166,-0.9067633329525056,-0.6673853356980104,-0.7163903687731807,-0.33831010423425656,0.20616029406407754,0.4313320030302491,1,1,1
price_ipca,0.11332586793413663,0,-0.26108422162299544,-0.136849836272985,-0.12218909122956197,-0.014628518202090822,0.07693697963914393,0.08120659127076606,-0.26309169085993545,-0.13662741476626789,-0.12115069303933419,-0.013046238895511725,0.0776572120224461,0.08073487005722067,-0.26279326655748486,-0.1368956822251031,-0.1233874808886986,-0.015243326577858712,0.07759240641236441,0.08228087735530439,-0.14976582292579882,-0.16656412247975588,-0.15264033537143776,0.008224862715466864,0.12807659688575745,0.11247218835977,1,1,1
yield_2y,0.002577549902866489,24,0.0068530989586741906,0.0037639375537881705,4.720180573700745e-4,-0.0040220645406750756,-0.004001779094848943,-7.840236273087327e-4,0.006866227179049306,0.003684567048161801,3.930004645229258e-4,-0.004055132646809572,-0.003975406798381227,-7.361844050825213e-4,0.0068755266566445615,0.0038376405054849744,5.058690824723465e-4,-0.004057188105987465,-0.004055647704890155,-8.079818926171972e-4,0.007265293208394508,0.004350150117032649,-6.726584909275173e-4,-0.006599614443541565,-0.005484033624654201,-2.9084940449004533e-4,1,1,1
yield_5y,0.002606407113819117,25,0.0070487346451286546,0.00428711390772456,8.811324260223005e-4,-0.0039147710959649635,-0.00418113828440648,-0.001023704541874412,0.007067548195499554,0.0042084683619006405,8.002448911699654e-4,-0.003952232496839237,-0.004157375190839875,-9.751024980885749e-4,0.007057015040251544,0.004374341378628478,9.230233827024672e-4,-0.0039470306310078595,-0.0042362076651292595,-0.001050632332817029,0.008455884654201095,0.00531935155265556,-4.0253033854968886e-5,-0.00651497770852285,-0.005798984769779692,-6.342984860058112e-4,1,1,1
yield_6m,0.0016858688151872685,24,0.005,0.0024411618846197007,3.74152379545272e-4,-0.002586630291463025,-0.0026393128848574868,-5.658293563109133e-4,0.005,0.002389730352354739,3.222916859801837e-4,-0.002609146229587127,-0.002622826347993403,-5.346102500212826e-4,0.005,0.0024808973168772975,3.942651974869875e-4,-0.0026090872250213583,-0.0026745812292480924,-5.820841640807041e-4,0.005,0.0026471727633618288,-4.0292977461882617e-4,-0.0042724991066502935,-0.003634069879003366,-2.7067642043533956e-4,1,1,1
