r,q,p,variable,h,point,lo68,hi68,lo90,hi90,cell
5,5,4,yield_6m,0,0.005,0.005,0.005,0.005,0.005,q=5
5,5,4,yield_6m,1,0.005879572297246036,0.005149452846032526,0.006506579502541355,0.0043342681352524694,0.00702588685630114,q=5
5,5,4,yield_6m,2,0.006617668530266867,0.005560942227990019,0.007475496207035836,0.004320860276863037,0.008144844787880814,q=5
5,5,4,yield_6m,3,0.007403149152490637,0.005948860657201363,0.008479414344732919,0.004104401991445687,0.009239146993693657,q=5
5,5,4,yield_6m,4,0.0072616770478835385,0.005257287720815263,0.008740753883880561,0.0027091594437691287,0.009781514436716538,q=5
5,5,4,yield_6m,5,0.006909043443483298,0.004491483862454229,0.008708811664073321,0.0014400368925462724,0.009987525693398327,q=5
5,5,4,yield_6m,6,0.006537387441353954,0.0037651460256243508,0.008601647879697203,2.6663655153395056e-4,0.010068628134882752,q=5
5,5,4,yield_6m,7,0.005900577551239326,0.0028021168239444356,0.0082301049056535,-0.0010773523711138783,0.009903143893836687,q=5
5,5,4,yield_6m,8,0.0051596756508693374,0.0017979226401548273,0.007723802505923491,-0.0023614885564272403,0.009594450454983314,q=5
5,5,4,yield_6m,9,0.0044213946524043245,8.366415775616924e-4,0.0071863971444851285,-0.0035574909931919483,0.009228281117765325,q=5
5,5,4,yield_6m,10,0.0036182774041015144,-1.7381035098471218e-4,0.006578700451649959,-0.00477519690449699,0.008793651200160438,q=5
5,5,4,yield_6m,11,0.002784389698972863,-0.0011892727346732497,0.00592381028494773,-0.005962438910412834,0.008303145632867708,q=5
5,5,4,yield_6m,12,0.001966092172261116,-0.00216736745981661,0.005260431764681074,-0.007095547256854135,0.007780782914928437,q=5
5,5,4,yield_6m,13,0.0011457351407165482,-0.003137053430183097,0.0045817955326135015,-0.00821427682432301,0.007229358962633549,q=5
5,5,4,yield_6m,14,3.301178281845762e-4,-0.004090440885793655,0.003894270544429055,-0.009308715445683182,0.006655114942756411,q=5
5,5,4,yield_6m,15,-4.618926084521455e-4,-0.005009945868548345,0.0032143043339830993,-0.010367039950768169,0.00606963404598812,q=5
5,5,4,yield_6m,16,-0.0012331630194245637,-0.005903719628817613,0.002544376160931091,-0.011402180711254293,0.005480351727474112,q=5
5,5,4,yield_6m,17,-0.001981901305270901,-0.0067716015490658,0.0018892608126860663,-0.012413780526257676,0.0048957234346070685,q=5
5,5,4,yield_6m,18,-0.0027004481310486366,-0.007607155198869412,0.001257414579857339,-0.013397100610292988,0.004324680856056783,q=5
5,5,4,yield_6m,19,-0.0033881526078611284,-0.008411866267791899,6.522194971786551e-4,-0.014354912973126426,0.0037735984392079846,q=5
5,5,4,yield_6m,20,-0.004044172523110552,-0.00918582899972761,7.670384354862551e-5,-0.015286644960574358,0.003248423281050948,q=5
5,5,4,yield_6m,21,-0.004665437651224375,-0.009926281473312551,-4.6523776479920115e-4,-0.016189199278945993,0.002754195519388159,q=5
5,5,4,yield_6m,22,-0.005251125767088748,-0.010632569066806059,-9.719384347434506e-4,-0.01706123813087534,0.002293841687457411,q=5
5,5,4,yield_6m,23,-0.005800908656653431,-0.011304075997102115,-0.0014424386977475209,-0.01790071126433293,0.0018695233202202857,q=5
5,5,4,yield_6m,24,-0.006313786637922919,-0.011939237028364427,-0.0018756911033860322,-0.018704736741431804,0.0014827310750790742,q=5
5,5,4,yield_6m,25,-0.006789525849044823,-0.012537086202645228,-0.0022716227682724115,-0.019470921271398024,0.0011337493067272097,q=5
5,5,4,yield_6m,26,-0.007228298253830683,-0.013096938890388635,-0.002630628937449926,-0.02019694807412015,8.223678888845491e-4,q=5
5,5,4,yield_6m,27,-0.007630151515886956,-0.0136179740923179,-0.0029531259261418308,-0.020880520426219826,5.481295488794125e-4,q=5
5,5,4,yield_6m,28,-0.007995430422118926,-0.014099655714306717,-0.0032399033787482647,-0.021519696283245335,3.1008984785531205e-4,q=5
5,5,4,yield_6m,29,-0.008324724815403401,-0.014541720318533069,-0.0034919713027138093,-0.022112834816834653,1.0710420098717194e-4,q=5
5,5,4,yield_6m,30,-0.008618650694339933,-0.014944021987329354,-0.003710342064439707,-0.022658586632696785,-6.199430488817869e-5,q=5
5,5,4,yield_6m,31,-0.008877957109152389,-0.015306620408600306,-0.003896141170263378,-0.023155946313701083,-1.9849840659647683e-4,q=5
5,5,4,yield_6m,32,-0.009103525094156554,-0.015629786381495835,-0.004050571116428302,-0.023604227296066402,-3.0373933755854755e-4,q=5
5,5,4,yield_6m,33,-0.009296280602829261,-0.01591394198600388,-0.004174816782665134,-0.02400305388969649,-3.7899687917740974e-4,q=5
5,5,4,yield_6m,34,-0.009457213125557485,-0.016159664064494757,-0.004270077169226095,-0.024352348717184204,-4.2554135292582993e-4,q=5
5,5,4,yield_6m,35,-0.009587376792166239,-0.016367678104235058,-0.004337561528960528,-0.02465230423377976,-4.4461713480647454e-4,q=5
