r,q,p,variable,h,point,lo68,hi68,lo90,hi90,cell
5,5,4,yield_6m,0,0.005,0.005,0.005,0.005,0.005,q=5
5,5,4,yield_6m,1,0.006082398244895232,0.005215356411602902,0.006694506075591702,0.004797434687730081,0.007153941987780123,q=5
5,5,4,yield_6m,2,0.007019529200289408,0.005678190573029884,0.0080194890011629,0.00488827739172677,0.008741398121778399,q=5
5,5,4,yield_6m,3,0.007903490553692268,0.006253849139309731,0.009278137349691924,0.005154405965121965,0.010255787995160644,q=5
5,5,4,yield_6m,4,0.007971160928280943,0.005962087456767522,0.009949860138910666,0.004770922947302603,0.011139379707845582,q=5
5,5,4,yield_6m,5,0.007849939847472866,0.0057041106709302715,0.010558777423950961,0.004242336196777715,0.011987109217977188,q=5
5,5,4,yield_6m,6,0.007680009001908051,0.005577360636781631,0.011021762364098736,0.0037372387441750713,0.012823790376849085,q=5
5,5,4,yield_6m,7,0.00726131235088463,0.005195504573345453,0.011245785103599408,0.0034980089990261603,0.013647552202262669,q=5
5,5,4,yield_6m,8,0.006724764521209486,0.004786827712111838,0.011214399371134392,0.0029324364936141375,0.013854008094623279,q=5
5,5,4,yield_6m,9,0.006160956974507442,0.004319634623208772,0.01120283871535078,0.002376234025103788,0.014175756511181602,q=5
5,5,4,yield_6m,10,0.00550759421325683,0.003723205454896044,0.01097863763931216,0.0018442539481073955,0.014278910422573678,q=5
5,5,4,yield_6m,11,0.004780147006050342,0.0032383771524521266,0.010536149467613748,0.0011312231677073647,0.014386569513425004,q=5
5,5,4,yield_6m,12,0.004022813217032068,0.002604829424300444,0.010189912611868693,5.288002609021436e-4,0.01425454492672494,q=5
5,5,4,yield_6m,13,0.003230031021206048,0.0019837200136076792,0.009648756816695294,-8.573394775905922e-5,0.013904718405140336,q=5
5,5,4,yield_6m,14,0.002405669194033851,0.0013419084436677104,0.00910028366994704,-7.873238918231644e-4,0.013512250009713766,q=5
5,5,4,yield_6m,15,0.001572858911073465,6.971573719212969e-4,0.008626823167405852,-0.001434481503484833,0.013041101665728689,q=5
5,5,4,yield_6m,16,7.397481049284416e-4,-1.4698540114268082e-4,0.008058928315194005,-0.0021584062274367247,0.012531457428419858,q=5
5,5,4,yield_6m,17,-9.009719572479908e-5,-8.20011394664692e-4,0.007488330530933775,-0.002873096956998237,0.01190765622959552,q=5
5,5,4,yield_6m,18,-9.052481470255651e-4,-0.0014834336227939379,0.007021689547326858,-0.0037167125594076656,0.011097488052230736,q=5
5,5,4,yield_6m,19,-0.0016982459249124762,-0.0021682101360470944,0.006458489959537959,-0.004628970903682453,0.010172237291357564,q=5
5,5,4,yield_6m,20,-0.0024655278498886776,-0.002914126508344008,0.005802274810862979,-0.005425596019363519,0.009444503273563812,q=5
5,5,4,yield_6m,21,-0.0032014299166094194,-0.0035214355201551436,0.005241260350696201,-0.006014046598562759,0.008706510763468489,q=5
5,5,4,yield_6m,22,-0.003901171919601174,-0.004167179248825125,0.0045689305250130215,-0.00677299559235567,0.008329549600649511,q=5
5,5,4,yield_6m,23,-0.004562086522113097,-0.004789617862518027,0.004067144262299553,-0.007400276113524586,0.007674286568583155,q=5
5,5,4,yield_6m,24,-0.005181412988049592,-0.00532085338272486,0.0035914980886187966,-0.00831504328768444,0.007215463249525042,q=5
5,5,4,yield_6m,25,-0.005756675582036343,-0.005913828652213687,0.0031035998497506933,-0.008984455492366542,0.006920982723481638,q=5
5,5,4,yield_6m,26,-0.006286455816639872,-0.006377548775307575,0.0023832251663188967,-0.009585066531511432,0.0064674969946275605,q=5
5,5,4,yield_6m,27,-0.006769699239039311,-0.006836939590606364,0.0020561869587248757,-0.009954468982921051,0.006035244609862142,q=5
5,5,4,yield_6m,28,-0.007205590823614796,-0.0072426970634720715,0.0014912014765642715,-0.010335570824636466,0.005536314800292424,q=5
5,5,4,yield_6m,29,-0.007593868757820156,-0.0075467903889404565,0.0011216620227448995,-0.010934710026625133,0.004827568381014691,q=5
5,5,4,yield_6m,30,-0.007934642420496898,-0.007838488467955004,7.119469976798133e-4,-0.011215463313466132,0.0045117902611624015,q=5
5,5,4,yield_6m,31,-0.00822825906436256,-0.008163650412721761,4.6959151309440865e-4,-0.0115369945960042,0.004098141755243588,q=5
5,5,4,yield_6m,32,-0.008475394039422606,-0.008418735603218718,1.6822385275299336e-4,-0.011780765157422131,0.0038818863663996135,q=5
5,5,4,yield_6m,33,-0.008677008927826394,-0.008661129550699092,3.0183346230438527e-5,-0.011984111350292282,0.0036859986118868227,q=5
5,5,4,yield_6m,34,-0.00883427166043741,-0.008993503312096073,-1.856311106150597e-4,-0.01215879533610276,0.003432805955853308,q=5
5,5,4,yield_6m,35,-0.008948564660699142,-0.009212654649406429,-3.2980563497649035e-4,-0.012119916372723609,0.003313306009435663,q=5
5,5,4,yield_6m,36,-0.009021469709728041,-0.009266753043803193,-4.700124237033761e-4,-0.012161886840698988,0.003214913664774759,q=5
5,5,4,yield_6m,37,-0.009054723860048072,-0.009320216390155811,-4.997327681359422e-4,-0.012302297194914765,0.0029937977193773375,q=5
5,5,4,yield_6m,38,-0.009050203840533263,-0.009221694619782297,-5.268372543481819e-4,-0.012341050292981198,0.0030305815164185005,q=5
5,5,4,yield_6m,39,-0.00900991201678381,-0.009166195987161549,-5.307700920487853e-4,-0.012354713269963307,0.003008177505382036,q=5
