window_cell,q,variable,h,point,lo68,hi68,lo90,hi90,set_type68,set_type90
cheia_p4,5,cambio_usd,0,0.13424190947918324,0.09788217655113311,0.1866597752464808,0.07265281192767749,0.26226398844215987,interval,interval
cheia_p4,5,yield_6m,0,0.005,0.005,0.005,0.005,0.005,singleton,singleton
cheia_p4,5,yield_2y,0,0.00702636423396999,0.006246298604352081,0.007939151887453434,0.005562776842322891,0.009039026653991618,interval,interval
cheia_p4,5,ibc_br,0,-0.6303767189964696,-1.2398041858695268,-0.23532160184383316,-2.165895769829342,0.018277434984704636,interval,interval
cheia_p4,5,asset_ibov,0,-0.9965048308800585,-4.165069142796673,1.7742667110257422,-7.901908516582008,4.263218129653312,interval,interval
cheia_p4,5,cds_5y,0,29.908729763520856,20.971292111834444,42.621721909431585,14.67402663370218,60.76301606927213,interval,interval
cheia_p4,5,price_ipca,0,-0.04363183113577674,-0.18069939689548856,0.04614734222135702,-0.38737060073920915,0.10447342833871315,interval,interval
cheia_p4,5,cambio_usd,1,0.145890093174015,0.08102228342876489,0.2313938611240713,0.031197754873687162,0.34595401492999595,interval,interval
cheia_p4,5,yield_6m,1,0.006082398244895232,0.005342786553807519,0.006633174275463841,0.004336119991822526,0.007047457656981149,interval,interval
cheia_p4,5,yield_2y,1,0.008455433043610336,0.007016086498398496,0.009881626034944498,0.005513918986785347,0.011342530450068911,interval,interval
cheia_p4,5,ibc_br,1,-0.15629033990797495,-0.8772125957990168,0.3508285415019037,-1.9054737154833719,0.7083820065954695,interval,interval
cheia_p4,5,asset_ibov,1,-0.9096193398148971,-2.356711697519429,0.4333401771018757,-3.9686522097405903,1.7186128171244712,interval,interval
cheia_p4,5,cds_5y,1,29.472744188251596,17.788353476360236,44.603925017305585,8.63366989512966,64.57129348229385,interval,interval
cheia_p4,5,price_ipca,1,-0.0015965605051662727,-0.13543996114002008,0.08859794196126947,-0.3329118798906383,0.14914194651476512,interval,interval
cheia_p4,5,cambio_usd,2,0.11876638245030009,0.0457524738741575,0.2090531087875168,-0.014467971581084222,0.32345890616630735,interval,interval
cheia_p4,5,yield_6m,2,0.007019529200289408,0.005734930858386929,0.007899040048804994,0.0038629322995512127,0.00850026688454274,interval,interval
cheia_p4,5,yield_2y,2,0.008551113362313725,0.006679523926306075,0.010115218040754576,0.004377403919822478,0.011452749059480091,interval,interval
cheia_p4,5,ibc_br,2,0.03560496975529795,-0.6989840157452846,0.5446114312577003,-1.7594037316924367,0.8973719441887646,interval,interval
cheia_p4,5,asset_ibov,2,1.9775711405105194,0.46994909908908256,3.7026396972039124,-0.8834831838527931,5.73820827762431,interval,interval
cheia_p4,5,cds_5y,2,21.60684870284551,10.516287531351423,34.978894573804176,1.1109069112409418,51.541361724826594,interval,interval
cheia_p4,5,price_ipca,2,-0.029003439790188896,-0.15932694607054487,0.06315720372354566,-0.3444184595950479,0.12853066209206698,interval,interval
cheia_p4,5,cambio_usd,3,0.13055293074032726,0.06357259419168328,0.21424120651584028,0.008958404911468943,0.3212687066668142,interval,interval
cheia_p4,5,yield_6m,3,0.007903490553692268,0.005876435352415681,0.009212076613026594,0.002786558825218136,0.010048093703920418,interval,interval
cheia_p4,5,yield_2y,3,0.009738183936670895,0.007282163812981432,0.01153024938289464,0.003882067777967092,0.012847499506059946,interval,interval
cheia_p4,5,ibc_br,3,-0.20819775091859952,-0.9523350088830672,0.2898533952755777,-2.056026334812015,0.621565142989964,interval,interval
cheia_p4,5,asset_ibov,3,0.9120804167114246,-0.6496541088927396,2.7960416779196122,-1.9733500942967095,5.1305726822183075,interval,interval
cheia_p4,5,cds_5y,3,28.255674351115132,18.337334159650858,39.77172829556297,9.57297043105844,53.5481684077556,interval,interval
cheia_p4,5,price_ipca,3,-0.027616292768497464,-0.16583591726609664,0.06678680864404743,-0.36764308134843926,0.13114021409411367,interval,interval
cheia_p4,5,cambio_usd,4,0.11138824325081778,0.04257980171260406,0.19316316984373813,-0.0167021337225138,0.29312136120995624,interval,interval
cheia_p4,5,yield_6m,4,0.007971160928280943,0.005187268840194125,0.009786184566079666,9.750279081216574e-4,0.01095905585547605,interval,interval
cheia_p4,5,yield_2y,4,0.009615782654876755,0.006387236015258941,0.011912137104404039,0.0018232610404579133,0.013551796974447158,interval,interval
cheia_p4,5,ibc_br,4,-0.1772689152132068,-0.8118707962224209,0.24676617479696142,-1.754302608415336,0.5286435927086869,interval,interval
cheia_p4,5,asset_ibov,4,0.7007113462335142,-0.3671653849725723,1.9738930199132767,-1.2839816623365112,3.5347571135316223,interval,interval
cheia_p4,5,cds_5y,4,26.61064500434799,16.254707657578937,37.67792021077797,6.25733810664655,49.90677814973324,interval,interval
cheia_p4,5,price_ipca,4,-0.0033913461129562567,-0.13444655334552655,0.09141768115275682,-0.3171659112917945,0.1604316758771344,interval,interval
cheia_p4,5,cambio_usd,5,0.07455083762075825,0.006093922104265129,0.15174212069204357,-0.05633714229078312,0.24157316037384582,interval,interval
cheia_p4,5,yield_6m,5,0.007849939847472866,0.004565920141193304,0.010015351696834532,-3.608160479375401e-4,0.011432981194170225,interval,interval
cheia_p4,5,yield_2y,5,0.008793592810885476,0.004983555456143404,0.011469249263250976,-4.579854597370612e-4,0.013352202966502505,interval,interval
cheia_p4,5,ibc_br,5,-0.1147740398679751,-0.685977600033349,0.27339104348636817,-1.5232555377881531,0.5364717414655528,interval,interval
cheia_p4,5,asset_ibov,5,1.9673750198006312,1.0303741850252228,3.1032517724121025,0.24044856256073585,4.517057166325981,interval,interval
cheia_p4,5,cds_5y,5,19.82799766909775,9.093315144298895,30.362451973158883,-2.2195674528025053,41.04721258369301,interval,interval
cheia_p4,5,price_ipca,5,0.0030131347570266117,-0.12826822051048195,0.10135342955472015,-0.30606788554625297,0.17581599123064887,interval,interval
cheia_p4,5,cambio_usd,6,0.060655976434813165,-0.005629127684854083,0.13334077485923226,-0.06790573424017167,0.21569341607796091,interval,interval
cheia_p4,5,yield_6m,6,0.007680009001908051,0.003976824502826603,0.010127180110561304,-0.0015694758834955708,0.011733328489119243,interval,interval
cheia_p4,5,yield_2y,6,0.008370166452451705,0.004143328707166076,0.011290217702587705,-0.001972864580602671,0.013306982216888016,interval,interval
cheia_p4,5,ibc_br,6,-0.20164705321639567,-0.7504452319998537,0.18569344254210593,-1.5310928815261444,0.4598434553490445,interval,interval
cheia_p4,5,asset_ibov,6,1.853071854827307,1.0347761525839791,2.7891559426918526,0.29997114766877847,3.8934666771108795,interval,interval
cheia_p4,5,cds_5y,6,18.8115820932375,8.317892035767352,28.544648867450718,-3.3776536543276108,37.85409630452042,interval,interval
cheia_p4,5,price_ipca,6,-0.011976433604189119,-0.15001203301827354,0.08965152481519252,-0.33968857145998677,0.16511619190549254,interval,interval
cheia_p4,5,cambio_usd,7,0.04122536715862925,-0.024694298416310188,0.11142889813293748,-0.0885634642767393,0.18873667936398777,interval,interval
cheia_p4,5,yield_6m,7,0.00726131235088463,0.003267301475474729,0.009949267791819755,-0.002631432480702697,0.011750866333984753,interval,interval
cheia_p4,5,yield_2y,7,0.0076651696711005825,0.003105291746818424,0.010839328910211898,-0.003453155304419758,0.013050734519709608,interval,interval
cheia_p4,5,ibc_br,7,-0.22448377056254817,-0.7494396894928599,0.1563047000062281,-1.4797288826403039,0.43433624570749796,interval,interval
cheia_p4,5,asset_ibov,7,1.6695273301969058,0.9597058648140394,2.423928420682162,0.270485767245706,3.2529961509995995,interval,interval
cheia_p4,5,cds_5y,7,16.447339835917226,5.9166477872049645,25.868559167545936,-6.23658211685863,34.54133958986785,interval,interval
cheia_p4,5,price_ipca,7,-0.014164263196727424,-0.15617918512799003,0.08915223359606238,-0.35326511862133547,0.16484003656893212,interval,interval
cheia_p4,5,cambio_usd,8,0.01663973673242739,-0.04855374384916028,0.08421493355947247,-0.1135254763184209,0.1566581819520341,interval,interval
cheia_p4,5,yield_6m,8,0.006724764521209486,0.002523670979111365,0.009622464605642035,-0.00356283771138812,0.011620188583920445,interval,interval
cheia_p4,5,yield_2y,8,0.006676862895879738,0.0018712717229981575,0.010077929255684124,-0.0049494749452335144,0.012492639089934136,interval,interval
cheia_p4,5,ibc_br,8,-0.199739383528025,-0.6975836048738542,0.17282641789273018,-1.3723833624511323,0.45462398173620716,interval,interval
cheia_p4,5,asset_ibov,8,1.991101718141342,1.2853898036538696,2.656668835361189,0.511618557247617,3.3045046381163194,interval,interval
cheia_p4,5,cds_5y,8,12.012052674469274,1.3755167123210412,21.320779884439258,-11.159082425138285,29.690002792081025,interval,interval
cheia_p4,5,price_ipca,8,-0.024899774047177796,-0.1719576847946266,0.08188993876353186,-0.3763502707024114,0.15995996938757118,interval,interval
cheia_p4,5,cambio_usd,9,0.001675569328391697,-0.06270801348690744,0.06680199140751487,-0.12850432615808938,0.13492861332468686,interval,interval
cheia_p4,5,yield_6m,9,0.006160956974507442,0.0017821057415168663,0.009251794799089552,-0.004446255342887791,0.011439618851132066,interval,interval
cheia_p4,5,yield_2y,9,0.005799941927766334,8.07694982962287e-4,0.009377650564041214,-0.006206367538890453,0.01195426361371076,interval,interval
cheia_p4,5,ibc_br,9,-0.2352442729832184,-0.7222802389987691,0.14048339397117796,-1.365519897508866,0.434545550578121,interval,interval
cheia_p4,5,asset_ibov,9,2.001562426463341,1.2227809181225364,2.6773397714405074,0.2976428867176469,3.2793506258756016,interval,interval
cheia_p4,5,cds_5y,9,9.470696912545073,-1.083386156579364,18.520667998041763,-13.760844093373565,26.47968113372383,interval,interval
cheia_p4,5,price_ipca,9,-0.04960889812354032,-0.20319430688021645,0.06055670953572133,-0.41882365573819097,0.13997682863988178,interval,interval
cheia_p4,5,cambio_usd,10,-0.01157571671698445,-0.07576696698091603,0.05209470040646281,-0.14268979171679605,0.11738365582229511,interval,interval
cheia_p4,5,yield_6m,10,0.00550759421325683,9.76393496031557e-4,0.008796492962482654,-0.0053238584565187055,0.011199606054280989,interval,interval
cheia_p4,5,yield_2y,10,0.0048956662308196,-2.585291242588864e-4,0.008661203489395893,-0.007386566255890788,0.011432978157005948,interval,interval
cheia_p4,5,ibc_br,10,-0.2659125388226137,-0.7450314723237376,0.10896947548435344,-1.3700971532001274,0.4070407870523107,interval,interval
cheia_p4,5,asset_ibov,10,1.84232035346223,1.0087463248340647,2.5268862217184536,-0.03298626059618195,3.1011756996650996,interval,interval
cheia_p4,5,cds_5y,10,7.235642491677764,-3.266523495448398,16.18510824199551,-15.954879163022749,24.002596288141866,interval,interval
cheia_p4,5,price_ipca,10,-0.06954018629906512,-0.22797326156997572,0.04310365266088918,-0.45201035859936023,0.12349852998185307,interval,interval
cheia_p4,5,cambio_usd,11,-0.026540402392587745,-0.09097906478780053,0.03625638591941263,-0.15936692298313174,0.09949363543909893,interval,interval
