ref.date,dlsp_monthly_change,dlsp_nfsp,dlsp_exchange_adjustment,dlsp_debt_recognition,dlsp_privatizations,rhs,residual,rhs_including_external_other_adjustments,residual_including_external_other_adjustments
2013-01-01,13176.446872429922,-7602.152838079994,17843.21573207,-1019.00000001,0,9222.062893980004,3954.383978449918,13176.446872380004,4.991852620150894e-8
2013-02-01,30458.217001289595,23281.928669579996,4139.95102174,333.28808002,0,27755.16777134,2703.0492299495963,30458.21700133,-4.0403392631560564e-8
2013-03-01,2562.1242057899944,15859.161607780006,-12454.954528919998,-338.4227099900007,0,3065.7843688700077,-503.66016308001326,2562.1242056100077,1.7998672774410807e-7
2013-04-01,6541.474396670004,7679.333851989999,3944.0572533,-2520.37068001,0,9103.02042528,-2561.546028609995,6541.474396659999,1.0005351214203984e-8
2013-05-01,-19044.92629598966,14518.586627649991,-42044.73284659,-90.41780999000001,0,-27616.564028930006,8571.637732940348,-19044.926296010002,2.034357748925686e-8
2013-06-01,-3505.3941541903187,12198.428832079997,-26748.168257949997,3723,0,-10826.73942587,7321.345271679682,-3505.39415446,2.6968154998030514e-7
2013-07-01,-6481.667631450109,21106.659631610004,-23901.52863719,-194,0,-2988.869005579996,-3492.798625870113,-6481.6676311899955,-2.6011366571765393e-7
2013-08-01,-689.196625680197,22302.889285749992,-26350.971455870003,522.99999999,-547.408917,-4072.491087130011,3383.2944614498138,-689.1966261500115,4.6981449486338533e-7
2013-09-01,62496.56568284007,22896.351310880018,45479.41491292001,-100.99999999000084,0,68274.76622381002,-5778.200540969949,62496.565683620014,-7.799462764523923e-7
2013-10-01,19367.764476769837,11528.31120802,8655.92580548,-253,0,19931.237013500002,-563.4725367301653,19367.76447633,4.398352757561952e-7
2013-11-01,-40877.81502653984,174.77217844998813,-38883.52026196,-3501.99999998,0,-42210.74808349001,1332.933056950169,-40877.81502626001,-2.7983332984149456e-7
2013-12-01,12248.194624290336,13605.299017269976,-5601.912100890001,1012.0000000099999,0,9015.386916389974,3232.8077079003615,12248.194623849975,4.4036096369381994e-7
2014-01-01,-13131.891746860463,10478.00737148006,-26491.783244180002,53.00000001,0,-15960.775872689941,2828.884125829478,-13131.891747109941,2.494780346751213e-7
2014-02-01,36333.196220740676,9515.670920259992,29521.977795029998,238.00000001,0,39275.64871529999,-2942.452494559315,36333.19622073999,6.83940015733242e-10
2014-03-01,36145.114836019464,13021.959548009992,22206.845583010003,-78,0,35150.805131019995,994.3097049994685,36145.11483643999,-4.2052852222695947e-7
2014-04-01,10296.306375420187,4615.337830499986,8527.611742020003,-453,0,12689.949572519989,-2393.643197099802,10296.306374719989,7.001981430221349e-7
2014-05-01,29891.571565550053,32443.701716430012,-951.5744714699998,-637.9999999900001,0,30854.127244970012,-962.5556794199583,29891.571566230014,-6.799600669182837e-7
2014-06-01,29277.833178609842,20791.593855379993,11534.428991919998,-757.99999998,0,31568.022847319993,-2290.1896687101507,29277.833178419995,1.8984792404808104e-7
2014-07-01,17733.407440669136,32710.99414809001,-20490.903407989994,361,0,12581.090740100015,5152.316700569121,17733.407440420015,2.491215127520263e-7
2014-08-01,39615.08074807096,31476.431844820003,8683.506372709999,-1638,0,38521.93821753,1093.1425305409648,39615.080748349996,-2.790329745039344e-7
2014-09-01,10295.965140920365,69375.59018817003,-65547.13133312999,-493,0,3335.4588550400367,6960.5062858803285,10295.965140750037,1.7032834875863045e-7
2014-10-01,19299.64173630881,17778.970674979973,2095.47767782,188,0,20062.448352799973,-762.8066164911615,19299.641737309972,-1.0011608537752181e-6
2014-11-01,6810.823497060919,41606.24637327,-35697.11906763001,2,0,5911.127305639988,899.6961914209314,6810.823496369987,6.909322110004723e-7
2014-12-01,34245.07049145992,60101.82234339999,-29465.84223768,-295,0,30340.980105719987,3904.0903857399317,34245.07049156999,-1.1007068678736687e-7
2015-01-01,1861.892863939982,-3041.2688588499877,-1822.5770171300005,-369,0,-5232.845875979989,7094.738739919971,1861.8928640300092,-9.002724254969507e-8
2015-02-01,-7945.540040199412,58636.71005992001,-65757.44032068,-255.99999998999996,0,-7376.730260749992,-568.8097794494197,-7945.540040409993,2.105807652696967e-7
2015-03-01,-29405.26975351083,69249.27419132003,-100629.04756905,-94.00000000999945,0,-31473.773377739974,2068.5036242291426,-29405.269753499975,-1.0855728760361671e-8
2015-04-01,50045.202648690436,-11232.215257499993,65610.04439581001,-358.00000001,0,54019.82913830002,-3974.6264896095818,50045.20264909002,-3.995810402557254e-7
2015-05-01,5962.789104409749,59777.43555878,-57308.70183204999,462.00000001,0,2930.73372674001,3032.055377669739,5962.789104570011,-1.6026206139940768e-7
2015-06-01,59143.04758198024,36256.21656634001,23711.20490093,-318.00000001,0,59649.42146726001,-506.37388527976873,59143.047581700004,2.8023350751027465e-7
2015-07-01,-11991.319461360108,72771.56809269,-90708.30816678,-462.00000001000006,0,-18398.740074100006,6407.4206127398975,-11991.319461160008,-2.000997483264655e-7
2015-08-01,-20888.46341968025,57013.19462778,-78693.97713169,30.000000010000008,0,-21650.782503899998,762.3190842197473,-20888.463420049997,3.6974597605876625e-7
2015-09-01,-23910.452913209796,77311.4087181,-101745.20419198,1179,0,-23254.79547387999,-655.657439329807,-23910.45291265999,-5.498077371157706e-7
2015-10-01,66494.6917763208,29413.93430236,35600.11954212999,2293.02298,0,67307.07682449,-812.3850481691916,66494.69177595999,3.608147380873561e-7
2015-11-01,54996.43740524934,43057.09553384001,2722.4873739799996,1500.49602998,0,47280.07893780001,7716.358467449325,54996.43740510001,1.4932447811588645e-7
2015-12-01,109378.00749035925,123821.43590009,-16721.507274679996,1011.2999540499999,0,108111.22857946,1266.7789108992438,109378.00749069,-3.307504812255502e-7
2016-01-01,-15483.079205139074,28305.423720919993,-42271.74044857,116.00000001000171,0,-13850.316727640009,-1632.7624774990654,-15483.079205350008,2.109336492139846e-7
