ref.date,dlsp_monthly_change,dlsp_nfsp,dlsp_primary_result,dlsp_nominal_interest,dlsp_exchange_adjustment,dlsp_debt_recognition,dlsp_privatizations
2013-01-01,13176.446872429922,-7602.152838079994,-30251.410474209995,22649.25763613,17843.21573207,-1019.00000001,0
2013-02-01,30458.217001289595,23281.928669579996,3031.334773839994,20250.593895740003,4139.95102174,333.28808002,0
2013-03-01,2562.1242057899944,15859.161607780006,-3500.0178577199913,19359.179465499998,-12454.954528919998,-338.4227099900007,0
2013-04-01,6541.474396670004,7679.333851989999,-10328.337742649997,18007.671594639996,3944.0572533,-2520.37068001,0
2013-05-01,-19044.92629598966,14518.586627649991,-5680.962145960001,20199.548773609993,-42044.73284659,-90.41780999000001,0
2013-06-01,-3505.3941541903187,12198.428832079997,-5428.558810020001,17626.987642099997,-26748.168257949997,3723,0
2013-07-01,-6481.667631450109,21106.659631610004,-2286.790477199996,23393.45010881,-23901.52863719,-194,0
2013-08-01,-689.196625680197,22302.889285749992,431.86782317999723,21871.021462569995,-26350.971455870003,522.99999999,-547.408917
2013-09-01,62496.56568284007,22896.351310880018,9047.866794890015,13848.484515990005,45479.41491292001,-100.99999999000084,0
2013-10-01,19367.764476769837,11528.31120802,-6188.412631539996,17716.723839559996,8655.92580548,-253,0
2013-11-01,-40877.81502653984,174.77217844998813,-29745.360082250005,29920.132260699993,-38883.52026196,-3501.99999998,0
2013-12-01,12248.194624290336,13605.299017269976,-10407.339536650023,24012.63855392,-5601.912100890001,1012.0000000099999,0
2014-01-01,-13131.891746860463,10478.00737148006,-19921.30149268994,30399.30886417,-26491.783244180002,53.00000001,0
2014-02-01,36333.196220740676,9515.670920259992,-2130.2243826100053,11645.895302869998,29521.977795029998,238.00000001,0
2014-03-01,36145.114836019464,13021.959548009992,-3579.574288330009,16601.53383634,22206.845583010003,-78,0
2014-04-01,10296.306375420187,4615.337830499986,-16895.80178788001,21511.139618379995,8527.611742020003,-453,0
2014-05-01,29891.571565550053,32443.701716430012,11046.362507210008,21397.339209220005,-951.5744714699998,-637.9999999900001,0
2014-06-01,29277.833178609842,20791.593855379993,2100.478560329989,18691.115295050004,11534.428991919998,-757.99999998,0
2014-07-01,17733.407440669136,32710.99414809001,4715.14216619,27995.851981900007,-20490.903407989994,361,0
2014-08-01,39615.08074807096,31476.431844820003,14460.017661440004,17016.41418338,8683.506372709999,-1638,0
2014-09-01,10295.965140920365,69375.59018817003,25490.98536480001,43884.60482337001,-65547.13133312999,-493,0
2014-10-01,19299.64173630881,17778.970674979973,-3728.637425970021,21507.608100949994,2095.47767782,188,0
2014-11-01,6810.823497060919,41606.24637327,8084.222217260001,33522.02415601,-35697.11906763001,2,0
2014-12-01,34245.07049145992,60101.82234339999,12894.235531999986,47207.586811400004,-29465.84223768,-295,0
2015-01-01,1861.892863939982,-3041.2688588499877,-21062.81374864999,18021.544889800003,-1822.5770171300005,-369,0
2015-02-01,-7945.540040199412,58636.71005992001,2299.6529514300078,56337.05710849001,-65757.44032068,-255.99999998999996,0
2015-03-01,-29405.26975351083,69249.27419132003,-239.3586282199875,69488.63281954001,-100629.04756905,-94.00000000999945,0
2015-04-01,50045.202648690436,-11232.215257499993,-13445.007775059992,2212.7925175599985,65610.04439581001,-358.00000001,0
2015-05-01,5962.789104409749,59777.43555878,6900.412374560001,52877.02318422,-57308.70183204999,462.00000001,0
2015-06-01,59143.04758198024,36256.21656634001,9323.14740326,26933.069163080007,23711.20490093,-318.00000001,0
2015-07-01,-11991.319461360108,72771.56809269,10018.645126379999,62752.92296630999,-90708.30816678,-462.00000001000006,0
2015-08-01,-20888.46341968025,57013.19462778,7309.983367660015,49703.211260119984,-78693.97713169,30.000000010000008,0
2015-09-01,-23910.452913209796,77311.4087181,7318.328660990006,69993.08005711,-101745.20419198,1179,0
2015-10-01,66494.6917763208,29413.93430236,11530.19239267,17883.74190969,35600.11954212999,2293.02298,0
2015-11-01,54996.43740524934,43057.09553384001,19566.96354316,23490.131990680005,2722.4873739799996,1500.49602998,0
2015-12-01,109378.00749035925,123821.43590009,71728.72739362998,52092.70850646002,-16721.507274679996,1011.2999540499999,0
2016-01-01,-15483.079205139074,28305.423720919993,-27912.843499739996,56218.26722065999,-42271.74044857,116.00000001000171,0
2016-02-01,65366.412236658856,52827.24408309997,23039.95511714997,29787.28896595,19247.45020912,-420.00000001000444,0
2016-03-01,128071.5736187296,9995.05596643,10643.528969960002,-648.4730035300023,129173.11186523002,-1452.9999999999968,0
2016-04-01,41768.12856974127,13162.862458290008,-10181.710644769992,23344.57310306,33448.56543579,-1083,0
2016-05-01,22519.26752202958,60622.977683170044,18125.33082106004,42497.64686211,-44521.61894781,-997,0
2016-06-01,150572.70447934046,32173.91740490003,10061.413646200022,22112.503758700008,118772.31237578,4283.683603490001,0
2016-07-01,42171.648692900315,53403.39310717998,12816.073042359982,40587.32006482,-9045.85406076,-2414.9999999899974,0
2016-08-01,66442.78698639106,62943.27898992,22266.94822095,40676.33076897,-386.6793611900001,1245.9999998800067,0
