ref.date,dlsp_fx_internal_indexed,dlsp_fx_external_methodological,dlsp_external_other_adjustments
2013-01-01,1095.96322207,16747.25251,3954.3839783999993
2013-02-01,253.74817869999998,3886.2028430400005,2703.04922999
2013-03-01,-758.8784834899999,-11696.076045429998,-503.6601632600001
2013-04-01,239.87418617999998,3704.18306712,-2561.5460286200005
2013-05-01,-2385.76039951,-39658.97244708,8571.637732920002
2013-06-01,-1419.9188204,-25328.24943755,7321.34527141
2013-07-01,-1213.92073515,-22687.60790204,-3492.79862561
2013-08-01,-1347.24483947,-25003.726616400003,3383.2944609799993
2013-09-01,2120.41393305,43359.000979870005,-5778.2005401900005
2013-10-01,283.42174828,8372.5040572,-563.4725371699998
2013-11-01,-1329.14932767,-37554.370934290004,1332.9330572299998
2013-12-01,-194.69759118000002,-5407.214509710001,3232.80770746
2014-01-01,-970.28171701,-25521.501527170003,2828.88412558
2014-02-01,1073.0367375199999,28448.941057509997,-2942.4524945600006
2014-03-01,658.64910173,21548.196481280003,994.3097054200001
2014-04-01,251.49591633,8276.115825690002,-2393.6431978
2014-05-01,-25.26201504,-926.3124564299998,-962.55567874
2014-06-01,312.46868162,11221.960310299999,-2290.1896689
2014-07-01,-562.33476033,-19928.568647659995,5152.316700320001
2014-08-01,246.93047467000002,8436.575898039999,1093.1425308199996
2014-09-01,-1899.53193296,-63647.599400169995,6960.50628571
2014-10-01,62.521724850000005,2032.95595297,-762.80661549
2014-11-01,-1077.66686607,-34619.45220156001,899.6961907299997
2014-12-01,-911.68805359,-28554.15418409,3904.09038585
2015-01-01,-61.30270951,-1761.2743076200004,7094.738740009998
2015-02-01,-2095.87652622,-63661.56379446,-568.8097796600001
2015-03-01,-3235.7600313499997,-97393.2875377,2068.503624239999
2015-04-01,2167.82613707,63442.21825874,-3974.62648921
2015-05-01,-2503.70453586,-54804.99729618999,3032.0553778300005
2015-06-01,1177.74979749,22533.45510344,-506.3738855600007
2015-07-01,-4525.09730652,-86183.21086026,6407.420612939997
2015-08-01,-3913.60297553,-74780.37415616,762.3190838499999
2015-09-01,-5044.84115819,-96700.36303379,-655.6574387799997
2015-10-01,1766.6073096500002,33833.512232479996,-812.3850485299997
2015-11-01,127.36862298,2595.1187509999995,7716.3584673
2015-12-01,-705.57849131,-16015.928783369996,1266.7789112300004
2016-01-01,-1607.5892940600002,-40664.15115451,-1632.7624777099998
2016-02-01,493.2019245899999,18754.24828453,-6288.282055469999
2016-03-01,3314.36105631,125858.75080892003,-9643.59421295
2016-04-01,857.02247491,32591.54296088,-3760.2993246899996
2016-05-01,-1140.9838445699997,-43380.63510324,7414.90878628
2016-06-01,3006.93513711,115765.37723867,-4657.208904260002
2016-07-01,-227.83506696999999,-8818.018993790001,229.1096459500004
2016-08-01,-19.53446145,-367.14489974000014,2640.1873584500004
2016-09-01,-50.31532389,-1761.7330451199996,-2796.34315514
2016-10-01,500.76790893,19569.965704170005,7068.43445762
2016-11-01,-1600.29561503,-64196.45881988,6222.00061681
2016-12-01,986.13522186,40694.50462434001,3179.7564340999984
2017-01-01,913.5532618699998,39362.4282143,-5022.4254162199995
2017-02-01,184.54100885999998,8316.511439470001,-749.0941653
2017-03-01,-418.01949053000004,-20734.51534254,1021.3325904600001
2017-04-01,-106.57605093000001,-9055.827583979999,-1328.1042692600001
2017-05-01,-207.99583748000006,-13652.494277460002,-3179.65823746
2017-06-01,-290.23382030000005,-19471.165747400002,-1029.5528967600003
2017-07-01,737.8652644599998,53965.64482676,-5663.16730609
2017-08-01,-65.84850193,-5005.38927664,-1679.8017780300002
2017-09-01,-35.856687670000014,-6374.82647963,2547.46661915
2017-10-01,-283.31214927999997,-33057.67281621001,3602.035721279999
2017-11-01,41.63418918000001,4632.134976989999,6.887693759999962
2017-12-01,-93.55625019000001,-14157.677318750002,-2086.4111982200006
2018-01-01,208.97153602000003,44403.02039091999,-1068.2591484500003
2018-02-01,-103.64477952000004,-25153.185729439996,4805.161378330001
2018-03-01,-46.62906601999998,-24017.11213122,-2851.40111981
2018-04-01,-43.79906813000002,-47858.14616761,4438.7067521399995
2018-05-01,-32.02757915999973,-77761.96005175,-2261.1868831700003
2018-06-01,-275.58418876999986,-35932.73370527,2357.88604025
2018-07-01,339.74660373000006,30417.2658933,5357.26363884
2018-08-01,-1073.6011087000002,-115166.91294390999,-4615.917267119999
2018-09-01,324.5077879600001,39865.75946652,5173.84219639
2018-10-01,719.4392252499997,86773.31275156997,3690.98199436
2018-11-01,-553.3305786200001,-43997.16006633,-3517.0788329800002
2018-12-01,25.672772969999983,-3525.6262781000005,-10162.60208183
2019-01-01,2829.7599713700006,66290.59151901,-4181.011804159999
2019-02-01,-1064.71718823,-25877.768284329995,1778.7727909599998
2019-03-01,-1634.7528278599998,-47745.71502805,-10232.33506236
2019-04-01,-406.03361961,-14804.355351629998,996.75805613
2019-05-01,-31.983937509999997,1523.5236854,-6373.762580879999
2019-06-01,809.80465889,33331.78729107999,-13751.26072387
2019-07-01,374.13526251999997,20777.821911949995,6820.38852022
2019-08-01,1710.3455352699998,-114902.60113573998,-11406.13862397
2019-09-01,14.47449794000002,-7523.18386075,6740.320972490001
2019-10-01,-371.30716492,46998.914115730004,-6209.361496649999
2019-11-01,516.73325905,-63336.78101649001,3957.17812318
2019-12-01,-479.86756279999986,54207.82550558999,-4294.32993404
2020-01-01,654.9143043700001,-65948.57517439,-6714.76043703
2020-02-01,646.9318154299999,-64173.832912729995,-10590.60888727
2020-03-01,635.4612114499996,-190805.51156179002,-15584.860285969999
2020-04-01,-256.1788353499999,-59472.223954680005,-6250.971384760001
2020-05-01,-461.90414928,1562.9506059800003,-2679.32469443
2020-06-01,330.8891418,-13101.95748197,-2855.35075822
2020-07-01,-674.8985788699999,72552.94895481001,-12354.232959340003
2020-08-01,731.4868833199998,-72359.59386454002,-4644.48753633
2020-09-01,435.10406932,-46251.001174560006,6571.34585437
2020-10-01,323.09674015999997,-35434.21503418,6148.484855899998
2020-11-01,-1085.9691037099997,119153.44847538,-6219.955820390001
2020-12-01,-377.2364842200001,36840.20205256,-8779.6824889
2021-01-01,429.85698925999986,-75290.24236194999,4582.19129551
2021-02-01,95.02364285000004,-14838.0194733,10262.55940494
2021-03-01,278.46138605,-45067.19647322,4713.165512319999
2021-04-01,-493.23150531999977,78254.45476075001,-7537.26792269
2021-05-01,-288.01695291,46179.61686265,-8039.4338867199995
2021-06-01,-396.01799729000004,62250.51655313,11510.98201299
2021-07-01,214.04984290000016,-31979.197948650002,-6712.39408811
2021-08-01,29.034124119999987,-5802.48385163,4208.210555530001
2021-09-01,601.22087571,-79581.68811312999,14507.707691639998
2021-10-01,402.83271917000013,-54580.30150806,3592.7461924799995
2021-11-01,-49.29576827000001,6176.94507037,2070.1989346299997
2021-12-01,-75.45723484999996,10158.65847723,-933.40057917
2022-01-01,-428.69805307000024,57940.28621388,22903.136130319996
2022-02-01,-415.44589358999997,56441.67636121001,8680.315490550001
2022-03-01,-688.4762126,102851.52840254999,22203.153868609996
2022-04-01,290.70982962000005,-44924.02002748999,32887.30881422
2022-05-01,-272.92080968000005,47086.53478125,-2462.81200506
